"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",1980,0,1980,0,"","CNP0000460"
"CNP0000460_P01T",559,0,559,0,"","CNP0000460"
"CNP0000460_P02N",1817,0,1817,0,"","CNP0000460"
"CNP0000460_P02T",1857,0,1857,0,"","CNP0000460"
"CNP0000460_P03N",2126,0,2126,0,"","CNP0000460"
"CNP0000460_P03T",2187,0,2187,0,"","CNP0000460"
"CNP0000460_P04T",2425,0,2425,0,"","CNP0000460"
"CNP0000460_P05N",411,0,411,0,"","CNP0000460"
"CNP0000460_P05T",739,0,739,0,"","CNP0000460"
"CNP0000460_P06T",2381,0,2381,0,"","CNP0000460"
"CNP0000460_P07N",1073,0,1073,0,"","CNP0000460"
"CNP0000460_P07T",630,0,630,0,"","CNP0000460"
"GSE326225_BC1",24,0,24,0,"","GSE326225"
"GSE326225_BC2",32,0,32,0,"","GSE326225"
"GSE326225_BC3",158,0,158,0,"","GSE326225"
"GSE326225_BC4",2800,0,2800,0,"","GSE326225"
"GSE326225_BC5",3,0,3,0,"","GSE326225"
"GSE326225_BC6",512,0,512,0,"","GSE326225"
"GSE326225_BC7",255,0,255,0,"","GSE326225"
"GSE326225_BC8",463,0,463,0,"","GSE326225"
"HRA003620_BC-01",5771,0,5771,0,"","HRA003620"
"HRA003620_BC-04",146,0,146,0,"","HRA003620"
"HRA003620_BC-05",2402,0,2402,0,"","HRA003620"
"HRA003620_BC-11",6356,0,6356,0,"","HRA003620"
"HRA003620_BC-24",3809,0,3809,0,"","HRA003620"
"HRA003620_BC-27",2545,0,2545,0,"","HRA003620"
"HRA003620_BC-30",4444,0,4444,0,"","HRA003620"
"HRA003620_NC-01",663,0,663,0,"","HRA003620"
"HRA003620_NC-04",390,0,390,0,"","HRA003620"
"HRA003620_NC-05",2198,0,2198,0,"","HRA003620"
"HRA003620_NC-11",3630,0,3630,0,"","HRA003620"
"HRA003620_NC-24",1494,0,1494,0,"","HRA003620"
"HRA003620_NC-27",3137,0,3137,0,"","HRA003620"
"HRA003620_NC-30",3645,0,3645,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",1584,1584,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",2895,2895,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",3892,3892,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",2098,2098,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",1828,1828,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",2526,2526,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",155,155,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",1602,1602,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",29,29,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",1089,1089,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",21,21,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",2450,0,2450,0,"","InhouseData"
"T4295396",4500,0,4500,0,"","InhouseData"
"T4380845",2045,0,2045,0,"","InhouseData"
"T4398343",5476,0,5476,0,"","InhouseData"
"T4450398",5971,0,5971,0,"","InhouseData"
"T4463209a",4647,0,4647,0,"","InhouseData"
"T4463209b",2832,0,2832,0,"","InhouseData"
"T4465219",1372,0,1372,0,"","InhouseData"
"T4465935",2734,0,2734,0,"","InhouseData"
"T4466585",1170,0,1170,0,"","InhouseData"
"T4469479",2733,0,2733,0,"","InhouseData"
"T4471438",6075,0,6075,0,"","InhouseData"
"T8009218",1960,0,1960,0,"","InhouseData"
