"program","gene","present"
"Pan_T","CD3D",TRUE
"Pan_T","CD3E",TRUE
"Pan_T","TRAC",TRUE
"CD4_naive_memory","CD4",TRUE
"CD4_naive_memory","IL7R",TRUE
"CD4_naive_memory","CCR7",TRUE
"CD4_naive_memory","SELL",TRUE
"CD4_naive_memory","TCF7",TRUE
"CD4_naive_memory","LEF1",TRUE
"CD4_naive_memory","LTB",TRUE
"Treg","FOXP3",TRUE
"Treg","IL2RA",TRUE
"Treg","CTLA4",TRUE
"Treg","TIGIT",TRUE
"Treg","IKZF2",TRUE
"Treg","TNFRSF4",TRUE
"CD4_activated_CXCL13","CXCL13",TRUE
"CD4_activated_CXCL13","PDCD1",TRUE
"CD4_activated_CXCL13","ICOS",TRUE
"CD4_activated_CXCL13","MAF",TRUE
"CD4_activated_CXCL13","TOX",TRUE
"CD8_identity","CD8A",TRUE
"CD8_identity","CD8B",TRUE
"CD8_GZMK_memory","GZMK",TRUE
"CD8_GZMK_memory","CCL5",TRUE
"CD8_cytotoxic","NKG7",TRUE
"CD8_cytotoxic","PRF1",TRUE
"CD8_cytotoxic","GZMB",TRUE
"CD8_cytotoxic","GNLY",TRUE
"CD8_cytotoxic","FGFBP2",TRUE
"CD8_cytotoxic","CTSW",TRUE
"exhausted_tumor_reactive","PDCD1",TRUE
"exhausted_tumor_reactive","LAG3",TRUE
"exhausted_tumor_reactive","HAVCR2",TRUE
"exhausted_tumor_reactive","ENTPD1",TRUE
"exhausted_tumor_reactive","CXCL13",TRUE
"exhausted_tumor_reactive","TOX",TRUE
"TRM","ITGAE",TRUE
"TRM","CD69",TRUE
"TRM","CXCR6",TRUE
"TRM","ZNF683",TRUE
"NK","KLRD1",TRUE
"NK","FCGR3A",TRUE
"NK","KLRC1",TRUE
"NK","KLRC2",TRUE
"NK","XCL1",TRUE
"NK","XCL2",TRUE
"MAIT_gammadelta_check","KLRB1",TRUE
"MAIT_gammadelta_check","SLC4A10",TRUE
"MAIT_gammadelta_check","ZBTB16",TRUE
"MAIT_gammadelta_check","TRDC",TRUE
"MAIT_gammadelta_check","TRGC1",TRUE
"Cycling","MKI67",TRUE
"Cycling","TOP2A",TRUE
"Cycling","STMN1",TRUE
