"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"0","CNP0000460",9953,0.2,"dataset","dataset",0.241127019890011
"1","CNP0000460",1,0.2,"dataset","dataset",3.44459371017189e-05
"2","CNP0000460",2541,0.2,"dataset","dataset",0.154
"3","CNP0000460",1240,0.2,"dataset","dataset",0.111862877762742
"4","CNP0000460",2961,0.2,"dataset","dataset",0.288849868305531
"5","CNP0000460",0,0.2,"dataset","dataset",0
"6","CNP0000460",1489,0.2,"dataset","dataset",0.202971646673937
"0","GSE326225",1628,0.2,"dataset","dataset",0.0394408508370279
"1","GSE326225",5,0.2,"dataset","dataset",0.000172229685508594
"2","GSE326225",1598,0.2,"dataset","dataset",0.0968484848484849
"3","GSE326225",337,0.2,"dataset","dataset",0.0304014433919711
"4","GSE326225",507,0.2,"dataset","dataset",0.0494585894059116
"5","GSE326225",8,0.2,"dataset","dataset",0.000863371465573063
"6","GSE326225",164,0.2,"dataset","dataset",0.0223555070883315
"0","HRA003620",18635,0.2,"dataset","dataset",0.451462073309591
"1","HRA003620",9,0.2,"dataset","dataset",0.00031001343391547
"2","HRA003620",10399,0.2,"dataset","dataset",0.630242424242424
"3","HRA003620",3379,0.2,"dataset","dataset",0.304826341903473
"4","HRA003620",4111,0.2,"dataset","dataset",0.40103404545898
"5","HRA003620",3,0.2,"dataset","dataset",0.000323764299589899
"6","HRA003620",4094,0.2,"dataset","dataset",0.558069792802617
"0","InhouseData",677,0.2,"dataset","dataset",0.016401385759624
"1","InhouseData",29016,0.2,"dataset","dataset",0.999483310943474
"2","InhouseData",18,0.2,"dataset","dataset",0.00109090909090909
"3","InhouseData",4537,0.2,"dataset","dataset",0.409291835814163
"4","InhouseData",239,0.2,"dataset","dataset",0.0233147985562384
"5","InhouseData",9254,0.2,"dataset","dataset",0.99870494280164
"6","InhouseData",224,0.2,"dataset","dataset",0.0305343511450382
"0","PRJNA662018",10384,0.2,"dataset","dataset",0.251568670203745
"1","PRJNA662018",0,0.2,"dataset","dataset",0
"2","PRJNA662018",1944,0.2,"dataset","dataset",0.117818181818182
"3","PRJNA662018",1592,0.2,"dataset","dataset",0.14361750112765
"4","PRJNA662018",2433,0.2,"dataset","dataset",0.237342698273339
"5","PRJNA662018",1,0.2,"dataset","dataset",0.000107921433196633
"6","PRJNA662018",1365,0.2,"dataset","dataset",0.186068702290076
"0","CNP0000460_P01N",1262,0.2,"specimen_orig_ident","orig.ident",0.0305739273687526
"1","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P01N",287,0.2,"specimen_orig_ident","orig.ident",0.0173939393939394
"3","CNP0000460_P01N",166,0.2,"specimen_orig_ident","orig.ident",0.0149751917004962
"4","CNP0000460_P01N",169,0.2,"specimen_orig_ident","orig.ident",0.0164861964686372
"5","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
