"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",9953,0.241127019890011,0.1457762172735,1.65409025148196,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",1,3.44459371017189e-05,0.1457762172735,0.000236293256513116,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",2541,0.154,0.1457762172735,1.05641374759417,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",1240,0.111862877762742,0.1457762172735,0.767360272168879,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",2961,0.288849868305531,0.1457762172735,1.98146085629045,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",0,0,0.1457762172735,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",1489,0.202971646673937,0.1457762172735,1.39235089557255,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","GSE326225",1628,0.0394408508370279,0.0340451798053645,1.15848560831549,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","GSE326225",5,0.000172229685508594,0.0340451798053645,0.00505885668670947,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","GSE326225",1598,0.0968484848484849,0.0340451798053645,2.84470475415802,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","GSE326225",337,0.0304014433919711,0.0340451798053645,0.892973500676909,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","GSE326225",507,0.0494585894059116,0.0340451798053645,1.45273397551916,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","GSE326225",8,0.000863371465573063,0.0340451798053645,0.0253595801375977,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","GSE326225",164,0.0223555070883315,0.0340451798053645,0.656642356308218,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","HRA003620",18635,0.451462073309591,0.325701826110657,1.38612079244593,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","HRA003620",9,0.00031001343391547,0.325701826110657,0.000951832041034191,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","HRA003620",10399,0.630242424242424,0.325701826110657,1.93502883225561,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","HRA003620",3379,0.304826341903473,0.325701826110657,0.935906149325392,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","HRA003620",4111,0.40103404545898,0.325701826110657,1.23129197722929,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","HRA003620",3,0.000323764299589899,0.325701826110657,0.000994051226104885,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","HRA003620",4094,0.558069792802617,0.325701826110657,1.71343771530778,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","InhouseData",677,0.016401385759624,0.352436150257323,0.046537183395202,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","InhouseData",29016,0.999483310943474,0.352436150257323,2.83592733098953,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","InhouseData",18,0.00109090909090909,0.352436150257323,0.00309533823392575,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","InhouseData",4537,0.409291835814163,0.352436150257323,1.1613219458768,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","InhouseData",239,0.0233147985562384,0.352436150257323,0.0661532551051181,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","InhouseData",9254,0.99870494280164,0.352436150257323,2.83371879437583,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","InhouseData",224,0.0305343511450382,0.352436150257323,0.0866379658350718,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","PRJNA662018",10384,0.251568670203745,0.142040626553156,1.77110363639237,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","PRJNA662018",0,0,0.142040626553156,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","PRJNA662018",1944,0.117818181818182,0.142040626553156,0.829468192848971,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","PRJNA662018",1592,0.14361750112765,0.142040626553156,1.01110157433658,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","PRJNA662018",2433,0.237342698273339,0.142040626553156,1.67094938985304,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","PRJNA662018",1,0.000107921433196633,0.142040626553156,0.000759792714348844,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","PRJNA662018",1365,0.186068702290076,0.142040626553156,1.30996818871708,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
