"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.871380344649969,0.983,0.556,0,"0","MT-CO1"
0,0.765790408365163,0.979,0.554,0,"0","MT-CO2"
0,0.918970932796508,0.972,0.55,0,"0","RPS27"
0,0.744338307229682,0.974,0.552,0,"0","RPLP1"
0,0.883885518927267,0.967,0.546,0,"0","RPL10"
0,0.864197393565787,0.971,0.55,0,"0","RPL13"
0,0.889629374587232,0.964,0.544,0,"0","MT-CO3"
0,0.853433047339414,0.963,0.545,0,"0","RPS18"
0,0.970431221130439,0.965,0.547,0,"0","RPL28"
0,0.959920827769692,0.956,0.54,0,"0","RPS12"
0,0.833096501794401,0.953,0.538,0,"0","RPS27A"
0,0.900841934417008,0.95,0.535,0,"0","RPL41"
0,0.931749309122474,0.95,0.535,0,"0","RPS29"
0,0.930265788830999,0.956,0.541,0,"0","RPS15A"
0,0.785900457850052,0.959,0.544,0,"0","MT-ATP6"
0,0.720892158511078,0.954,0.54,0,"0","RPL32"
0,0.784841079013706,0.962,0.548,0,"0","RPS19"
0,0.795992492137209,0.96,0.546,0,"0","MT-ND4"
0,0.701107312076554,0.954,0.541,0,"0","RPL34"
0,0.938086564277238,0.946,0.533,0,"0","RPS14"
0,0.826948190740837,0.95,0.538,0,"0","RPL39"
0,0.940506364836574,0.93,0.52,0,"0","MT-RNR2"
0,0.974547704595852,0.944,0.534,0,"0","RPLP2"
0,0.811219850894618,0.945,0.535,0,"0","RPS2"
0,0.972680542600389,0.938,0.529,0,"0","RPS3"
0,0.856995957898396,0.944,0.535,0,"0","RPS15"
0,0.799034141517962,0.946,0.537,0,"0","RPS28"
0,0.898912568392161,0.932,0.526,0,"0","RPL30"
0,1.01353062763011,0.92,0.515,0,"0","RPL23A"
0,0.724237063252029,0.94,0.535,0,"0","RPL11"
0,0.766478687462777,0.936,0.532,0,"0","RPL18A"
0,0.881161751034432,0.934,0.53,0,"0","MT-CYB"
0,0.854649415450935,0.929,0.526,0,"0","RPS24"
0,0.752504223628647,0.931,0.528,0,"0","RPL21"
0,0.801024313162105,0.931,0.528,0,"0","RPL26"
0,0.854257185479444,0.923,0.521,0,"0","RPL35A"
0,0.807424617506457,0.926,0.524,0,"0","RPS23"
0,0.806385121866856,0.932,0.53,0,"0","RPL19"
0,0.82868245681959,0.932,0.53,0,"0","MT-ND3"
0,0.715999907773027,0.932,0.531,0,"0","RPS6"
0,0.838460571267111,0.92,0.519,0,"0","RPL3"
0,0.697599627886528,0.929,0.529,0,"0","RPS8"
0,0.913672391626612,0.91,0.513,0,"0","RPS25"
0,0.780220349226479,0.922,0.525,0,"0","RPL36"
0,0.747622717519785,0.915,0.519,0,"0","RPS4X"
0,0.657859114610083,0.924,0.529,0,"0","RPL37"
0,0.660570281027919,0.921,0.526,0,"0","RPL12"
0,1.0511832134972,0.888,0.494,0,"0","RPL27A"
0,0.749393759962869,0.911,0.518,0,"0","RPS3A"
0,0.839045157523454,0.901,0.509,0,"0","RPS21"
0,0.820680181495792,0.902,0.512,0,"0","RPS9"
0,0.882627398940772,0.902,0.513,0,"0","MT-ND2"
0,1.22081986915323,0.88,0.492,0,"0","H3-3B"
0,0.822366065835348,0.9,0.512,0,"0","RPS16"
0,0.888846100234526,0.895,0.508,0,"0","RPS7"
0,0.906510016388557,0.894,0.507,0,"0","RPL14"
0,0.756892157826767,0.901,0.514,0,"0","RPL18"
0,0.794562751894037,0.889,0.503,0,"0","RPL9"
0,0.782239327069534,0.901,0.516,0,"0","RPL35"
0,0.740895848801242,0.892,0.507,0,"0","RPS13"
0,0.864758516930836,0.88,0.495,0,"0","MT-RNR1"
0,0.949592555502559,0.883,0.5,0,"0","RPL13A"
0,0.747281193457431,0.895,0.513,0,"0","RPL8"
0,0.729381270517869,0.894,0.513,0,"0","RPL15"
0,0.726356647131671,0.885,0.509,0,"0","RPL29"
0,0.885095294789459,0.868,0.495,0,"0","RPL7A"
0,0.82697130605243,0.86,0.488,0,"0","RPS10"
0,0.813252890707958,0.87,0.499,0,"0","RPL24"
0,0.776984841123107,0.863,0.492,0,"0","RPL10A"
0,0.873977137222233,0.853,0.483,0,"0","RPL38"
0,0.907284654968549,0.847,0.48,0,"0","MT-ND1"
0,0.699726112674164,0.867,0.502,0,"0","RPL37A"
0,0.696887784537428,0.863,0.5,0,"0","RPL6"
0,0.841431001588023,0.845,0.483,0,"0","RPL27"
0,0.78725660679064,0.843,0.481,0,"0","RPS5"
0,0.728728054740189,0.822,0.477,0,"0","RPL5"
0,0.715057396427285,0.814,0.476,0,"0","RPS11"
0,0.874162846557009,0.726,0.408,0,"0","RPS20"
0,0.528563652671266,0.916,0.601,0,"0","CCL5"
0,0.814018849418263,0.742,0.428,0,"0","RPL31"
0,0.682309801401544,0.755,0.444,0,"0","RPLP0"
0,0.623340960180139,0.774,0.464,0,"0","RPSA"
0,0.974535394417428,0.697,0.396,0,"0","RPL36AL"
0,0.700822026915572,0.721,0.425,0,"0","RPL7"
0,0.764677974244832,0.718,0.422,0,"0","RPS26"
0,0.770579783867017,0.722,0.427,0,"0","MT-ND5"
0,0.78063288310384,0.717,0.424,0,"0","RPL36A"
0,0.641488434864974,0.706,0.43,0,"0","RPL23"
0,0.947900171632125,0.582,0.317,0,"0","AOAH"
0,0.631083778216162,0.662,0.403,0,"0","RPL4"
0,1.28773385373325,0.446,0.203,0,"0","GZMK"
0,0.751956050151392,0.584,0.353,0,"0","RPL17"
0,1.09372146741913,0.518,0.292,0,"0","H2AZ1"
0,0.879322355681425,0.535,0.321,0,"0","CYRIB"
0,0.695459810773133,0.507,0.294,0,"0","CD8A"
0,0.890030979501244,0.512,0.3,0,"0","ENSG00000279483"
0,0.847395273421819,0.487,0.286,0,"0","RPS4Y1"
0,0.718876991807485,0.511,0.311,0,"0","RPS17"
0,1.1193831968327,0.889,0.69,0,"0","LINC-PINT"
0,1.51802020902219,0.33,0.137,0,"0","ENSG00000232855"
0,0.834818789766535,0.473,0.281,0,"0","ENSG00000294512"
0,1.05527578010642,0.418,0.229,0,"0","RPS27P3"
0,1.17563755080324,0.394,0.211,0,"0","AUTS2"
0,0.855990875501048,0.442,0.262,0,"0","TALAM1"
0,0.769608516675466,0.477,0.3,0,"0","MT-ND4L"
0,0.70687092936108,0.653,0.478,0,"0","ANXA1"
0,0.331510808185557,0.633,0.458,0,"0","GZMA"
0,0.379165878248457,0.564,0.389,0,"0","CCL4"
0,0.70587687929241,0.408,0.239,0,"0","CD8B"
0,0.510271243869218,0.513,0.345,0,"0","RPL22"
0,1.34085350746169,0.286,0.128,0,"0","MIR23AHG"
0,0.537476981462046,0.428,0.273,0,"0","GZMH"
0,1.24293562378854,0.305,0.151,0,"0","FAM66A"
0,0.713786054328527,0.425,0.271,0,"0","H3-3A"
0,1.81797695534923,0.225,0.077,0,"0","ENSG00000307107"
0,0.888408325540757,0.382,0.234,0,"0","CHASERR"
0,2.64580071836194,0.188,0.043,0,"0","LINC00987"
0,1.38018414558145,0.269,0.125,0,"0","ENSG00000283674"
0,0.661223893276636,0.388,0.247,0,"0","CAST.1"
0,0.783203616958479,0.384,0.243,0,"0","ATP5MK"
