"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.64580071836194,0.188,0.043,0,"0","LINC00987"
0,2.18718972354671,0.111,0.029,0,"0","ENSG00000288915"
0,1.99957247308322,0.171,0.052,0,"0","ENSG00000274767"
0,1.97317467218425,0.112,0.035,0,"0","ENSG00000301019"
0,1.82855017800432,0.14,0.047,0,"0","GPR84-AS1"
0,1.82185514670985,0.148,0.045,0,"0","CCL3L3"
0,1.81797695534923,0.225,0.077,0,"0","ENSG00000307107"
0,1.68924769879619,0.155,0.057,0,"0","ENSG00000270240"
0,1.58727173053654,0.135,0.054,0,"0","ENSG00000267379"
0,1.51802020902219,0.33,0.137,0,"0","ENSG00000232855"
0,1.50642737165252,0.14,0.06,0,"0","ENSG00000300496"
8.44284759896021e-283,1.44064051713435,0.106,0.047,7.59949155230008e-278,"0","ENSG00000309856"
0,1.43948216646638,0.194,0.083,0,"0","LINC00869.1"
3.55885969472946e-276,1.39046519690523,0.107,0.047,3.20336519982294e-271,"0","C2CD5-AS1"
0,1.38594282505645,0.161,0.074,0,"0","PEBP1P3"
0,1.38018414558145,0.269,0.125,0,"0","ENSG00000283674"
2.72217857127161e-264,1.36549745128944,0.106,0.048,2.45026015378729e-259,"0","ENSG00000301208"
0,1.34085350746169,0.286,0.128,0,"0","MIR23AHG"
0,1.34020963926499,0.151,0.07,0,"0","LINC01145.1"
4.20298600780874e-149,1.33999414028627,0.128,0.078,3.78314973548873e-144,"0","LINC00910"
0,4.71773874424817,0.288,0.013,0,"1","AC243829.1"
0,4.68391704136352,0.207,0.01,0,"1","AC022126.1"
0,4.43518593228118,0.235,0.015,0,"1","CCL3L1"
0,4.12253443979475,0.174,0.01,0,"1","AC243829.4"
0,3.7923877684274,0.153,0.011,0,"1","AC022075.1"
0,3.66571720477784,0.125,0.01,0,"1","AC015849.1"
0,3.58762685285006,0.148,0.013,0,"1","AL096794.1"
0,3.42292713788877,0.103,0.011,0,"1","AC104078.2"
0,3.32719161652232,0.595,0.073,0,"1","KLRK1"
0,3.03292014828416,0.163,0.024,0,"1","AL138720.1"
0,2.99929503781919,0.117,0.015,0,"1","AC022706.1"
0,2.8079210752825,0.195,0.034,0,"1","CARS"
0,2.80041951909541,0.222,0.034,0,"1","LRMP"
0,2.78004136921485,0.108,0.017,0,"1","TMEFF2"
0,2.74300901040877,0.261,0.046,0,"1","AL137856.1"
0,2.68502915095225,0.141,0.025,0,"1","HIST1H3D"
0,2.59262065613625,0.448,0.083,0,"1","C5orf56"
0,2.5745654781779,0.118,0.024,0,"1","MIR99AHG"
0,2.57070522619833,0.129,0.025,0,"1","AL035530.2"
0,2.54441869597606,0.26,0.05,0,"1","YARS"
0,2.66456665113175,0.293,0.064,0,"2","ABTB3"
0,2.1739137939759,0.103,0.026,0,"2","ENSG00000249806"
0,2.02856958221615,0.127,0.034,0,"2","ENSG00000248969"
0,1.97443884186375,0.267,0.096,0,"2","ENSG00000310385"
0,1.72625067637118,0.106,0.035,0,"2","ENSG00000298758"
0,1.67425388139921,0.127,0.048,0,"2","MAGI3"
0,1.65876937505816,0.24,0.101,0,"2","LNCRNA-IUR"
0,1.60996404681297,0.174,0.077,0,"2","TAF4B"
0,1.59482625809671,0.247,0.09,0,"2","CCR7"
0,1.57146645547399,0.145,0.057,0,"2","SVIL"
0,1.56241613760206,0.122,0.043,0,"2","ENSG00000293060"
0,1.5512903759107,0.134,0.048,0,"2","PELI2"
5.49653762691259e-264,1.46478650702747,0.109,0.045,4.94748848336029e-259,"2","SCML1"
0,1.45463180525805,0.17,0.068,0,"2","RASGRF2"
0,1.4515221463251,0.165,0.074,0,"2","CMTM8"
0,1.44120764978043,0.18,0.075,0,"2","ENSG00000290048"
0,1.4258382943642,0.281,0.105,0,"2","PLAC8"
0,1.4215467170485,0.222,0.084,0,"2","NR3C2"
0,1.41330432042878,0.173,0.072,0,"2","ARHGAP15-AS1"
0,1.3705671766135,0.536,0.269,0,"2","BACH2"
0,3.96666428138832,0.449,0.038,0,"3","PELO-AS1"
0,3.81145885799717,0.111,0.007,0,"3","ENSG00000294673"
0,3.73693601028964,0.288,0.028,0,"3","LINC02937"
0,3.58705199630354,0.106,0.009,0,"3","ENSG00000258760"
0,3.51355363048839,0.14,0.012,0,"3","ENSG00000287347"
0,3.42229219281889,0.284,0.028,0,"3","CCL3-AS1"
0,3.41080931800277,0.179,0.021,0,"3","ENSG00000301254"
0,3.37820761605903,0.216,0.021,0,"3","ENSG00000289485"
0,3.37043096244897,0.107,0.012,0,"3","ITGA9"
0,3.35616097100476,0.135,0.016,0,"3","ENSG00000304809"
0,3.29817248258659,0.218,0.022,0,"3","ENSG00000290036"
0,3.13000657369835,0.168,0.02,0,"3","ENSG00000286084"
0,3.07715851253583,0.1,0.011,0,"3","ATP8A1-DT"
0,3.04280009295831,0.125,0.016,0,"3","ENSG00000302621"
0,3.01866491866379,0.119,0.015,0,"3","ENSG00000310242"
0,2.78057224346836,0.275,0.044,0,"3","KIR2DL4"
0,2.72010919793107,0.103,0.017,0,"3","ENSG00000287277"
0,2.65764402133804,0.206,0.034,0,"3","AFAP1L2"
0,2.64947066662535,0.128,0.02,0,"3","TTC24"
0,2.64122586924962,0.248,0.042,0,"3","ENSG00000234261"
0,3.98625753169418,0.282,0.024,0,"4","BTBD11"
0,3.47766962393435,0.139,0.016,0,"4","AC139720.1"
0,3.42503271666351,0.11,0.01,0,"4","AC004585.1"
0,3.35643797628161,0.144,0.016,0,"4","AP003086.1"
0,3.15072195046798,0.134,0.018,0,"4","AL109930.1"
0,3.11786181759032,0.106,0.014,0,"4","AL133405.2"
0,3.07733545610825,0.101,0.013,0,"4","AL121935.1"
0,3.00827720655068,0.213,0.031,0,"4","AC018816.1"
0,3.00520330318038,0.102,0.014,0,"4","KIAA1324"
0,2.80973760039744,0.106,0.017,0,"4","Z94721.1"
0,2.80049056739717,0.229,0.04,0,"4","CCR6"
0,2.7997654061004,0.301,0.057,0,"4","AP000787.1"
0,2.74176996490917,0.282,0.051,0,"4","AC068587.4"
0,2.56211710896242,0.103,0.017,0,"4","AL365361.1"
0,2.52019150497165,0.286,0.058,0,"4","CD40LG"
0,2.48418340392425,0.281,0.058,0,"4","AC022217.3"
0,2.48055924242865,0.401,0.084,0,"4","P2RY8"
0,2.44747738311878,0.256,0.053,0,"4","TMEM173"
0,2.44527981835456,0.179,0.035,0,"4","AL499604.1"
0,2.41398809009886,0.452,0.101,0,"4","AC079793.1"
0,5.32290878587956,0.215,0.008,0,"5","IL1R1-AS1"
0,4.96959536602727,0.191,0.008,0,"5","ENSG00000287780"
0,4.87501622753089,0.103,0.004,0,"5","ATP13A3-DT"
0,4.70692448559645,0.152,0.006,0,"5","SOCAR"
0,4.61581395756212,0.212,0.011,0,"5","ENSG00000289707"
0,4.01329020423456,0.26,0.019,0,"5","ENSG00000273118"
0,3.89991172589045,0.117,0.01,0,"5","GNG8"
0,3.71797000298661,0.119,0.01,0,"5","ENSG00000255580"
0,3.66312312838318,0.297,0.029,0,"5","IL1R2"
0,3.61289344437261,0.128,0.01,0,"5","ENSG00000308356"
0,3.57413304869641,0.169,0.018,0,"5","HERC2P3"
0,3.54790736161404,0.101,0.01,0,"5","LINC00589"
0,3.53502218144312,0.132,0.016,0,"5","MITA1"
0,3.29949667236085,0.154,0.02,0,"5","LINC01727"
0,3.27133795359709,0.574,0.1,0,"5","IL2RA"
0,3.25057524509404,0.452,0.056,0,"5","FOXP3"
0,3.19665131108363,0.148,0.019,0,"5","LINC00519"
0,3.1889414587089,0.247,0.036,0,"5","ENSG00000280878"
0,3.18018707385949,0.377,0.057,0,"5","IL1R1"
0,3.15814686008574,0.263,0.029,0,"5","LINC02099"
0,6.45485336610133,0.3,0.004,0,"6","AC104850.2"
0,5.93190715899932,0.168,0.003,0,"6","LINC00884"
0,5.30768056087201,0.161,0.004,0,"6","AC017002.3"
0,5.17215072061451,0.37,0.011,0,"6","AC093865.1"
0,4.83142645368922,0.12,0.004,0,"6","AC012368.1"
0,4.49473130491827,0.661,0.054,0,"6","AL136456.1"
0,4.13170717318249,0.386,0.027,0,"6","AC013652.1"
0,4.06821908383858,0.167,0.011,0,"6","AC133644.2"
0,4.03575732525928,0.145,0.011,0,"6","AC083837.1"
0,3.74003972946142,0.318,0.021,0,"6","FANK1"
0,3.70965155942033,0.304,0.027,0,"6","LINC02099"
0,3.6430012370562,0.222,0.016,0,"6","CCR8"
0,3.63762691837161,0.116,0.008,0,"6","METTL7A"
0,3.60822154933605,0.148,0.011,0,"6","AL121935.1"
0,3.5789664695944,0.616,0.069,0,"6","RTKN2"
0,3.51738224557134,0.267,0.047,0,"6","DLGAP1"
0,3.44233667804563,0.337,0.032,0,"6","AC017002.5"
0,3.3725672290196,0.101,0.009,0,"6","AC092640.1"
0,3.3657815422196,0.328,0.034,0,"6","COX10-AS1"
0,3.32883754234427,0.557,0.051,0,"6","FOXP3"
0,5.07824008295308,0.118,0.004,0,"7","IL17A"
0,3.73487650339905,0.103,0.007,0,"7","COL5A3"
0,3.68740887409543,0.482,0.059,0,"7","PTPN13"
0,3.60506222800585,0.165,0.015,0,"7","IL26"
0,3.48150192665264,0.148,0.013,0,"7","NTRK2"
0,3.36781237720823,0.124,0.011,0,"7","LINC03062"
0,3.30364025780334,0.124,0.012,0,"7","ENSG00000282849"
0,3.21246233694075,0.141,0.016,0,"7","PDE7B-AS1"
0,3.05703516336916,0.116,0.02,0,"7","RNF144B"
0,2.98662300227287,0.165,0.028,0,"7","GNG4"
0,2.90837463384284,0.129,0.022,0,"7","LHFPL6"
0,2.90795268871608,0.12,0.014,0,"7","IL21"
0,2.80544658895885,0.134,0.022,0,"7","ENSG00000287347"
0,2.61799166748355,0.293,0.055,0,"7","ENSG00000234261"
0,2.58687838719118,0.111,0.016,0,"7","ENSG00000266088"
0,2.56918951134098,0.191,0.033,0,"7","ENSG00000271774"
0,2.46748472611364,0.166,0.027,0,"7","HLF"
0,2.38114255057976,0.104,0.02,0,"7","ENSG00000286313"
0,2.35521228430258,0.176,0.043,0,"7","CPM"
0,2.34176959065898,0.333,0.063,0,"7","CD40LG"
0,6.36419634602182,0.219,0.004,0,"8","ADGRG3"
0,5.78477818396325,0.158,0.003,0,"8","CCNJL"
0,5.18323096427741,0.15,0.005,0,"8","B3GNT7"
0,5.12907460038361,0.279,0.011,0,"8","LINC00996"
0,5.1160877624316,0.268,0.011,0,"8","LDB2"
0,5.02687624014729,0.11,0.005,0,"8","RASSF8"
0,4.97413162102225,0.354,0.011,0,"8","SH2D1B"
0,4.84603068115492,0.614,0.033,0,"8","FCER1G"
0,4.83748066009879,0.172,0.007,0,"8","PPP1R9A"
0,4.76228123465198,0.172,0.009,0,"8","GAB1"
0,4.44325077072038,0.813,0.059,0,"8","TYROBP"
0,4.42120575291463,0.207,0.009,0,"8","SYK"
0,4.38782100911268,0.182,0.012,0,"8","PLXNA4"
0,4.2511398774864,0.644,0.036,0,"8","TRDC"
0,4.16755613793418,0.123,0.009,0,"8","BCO2"
0,4.14947590495086,0.281,0.021,0,"8","KRT81"
0,3.98670873135119,0.462,0.038,0,"8","NCAM1"
0,3.83003223085953,0.349,0.024,0,"8","KLRF1"
0,3.74753937284212,0.122,0.01,0,"8","FES"
0,3.5725647651108,0.18,0.018,0,"8","IGFBP2"
0,6.81327724108173,0.623,0.01,0,"9","FGFBP2"
0,5.2743371747732,0.241,0.01,0,"9","CX3CR1"
0,5.07978196416105,0.14,0.01,0,"9","MYOM2"
0,4.91731527790954,0.211,0.007,0,"9","S1PR5"
0,4.88796692094028,0.5,0.028,0,"9","FCGR3A"
0,4.78768861578432,0.132,0.021,0,"9","PTGDS"
0,4.5156568948416,0.184,0.015,0,"9","LINGO2"
0,4.41759336098005,0.429,0.026,0,"9","KLRF1"
0,4.36095193508271,0.174,0.013,0,"9","BNC2"
0,4.09872487507629,0.243,0.019,0,"9","SGCD"
0,4.02380747504752,0.109,0.007,0,"9","SLCO4C1"
0,3.92288016428786,0.223,0.018,0,"9","PRSS23"
0,3.85672546905067,0.129,0.01,0,"9","ITGAM"
0,3.85290633666066,0.148,0.012,0,"9","LILRB1"
0,3.74635081059199,0.101,0.01,0,"9","MIR181A2HG"
0,3.73149190215408,0.112,0.019,0,"9","GNAL"
0,3.70807017787985,0.117,0.009,0,"9","ENSG00000298352"
0,3.57003068329766,0.332,0.038,0,"9","RAP1GAP2"
0,3.54039760971101,0.193,0.021,0,"9","OSBPL5"
0,3.35496135329441,0.106,0.012,0,"9","EPB41L4A"
