"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.56464570230025,0.199,0.05,0,"0","LINC00987"
0,2.10188845498448,0.122,0.038,0,"0","ENSG00000301019"
0,2.09035195543833,0.179,0.058,0,"0","ENSG00000274767"
0,1.94617995098392,0.109,0.034,0,"0","ENSG00000288915"
0,1.67785796953514,0.212,0.088,0,"0","ENSG00000307107"
0,1.62054746303967,0.344,0.147,0,"0","ENSG00000232855"
0,1.5763764666858,0.133,0.054,0,"0","GPR84-AS1"
8.36278367625881e-242,1.44696215036874,0.135,0.066,7.52742521483732e-237,"0","ENSG00000300496"
0,1.43736496993561,0.182,0.088,0,"0","ENSG00000295475"
1.04292897128016e-201,1.42833287550154,0.107,0.05,9.38750796338983e-197,"0","ENSG00000309856"
0,1.42829947679561,0.48,0.213,0,"0","GZMK"
5.34052752189556e-195,1.37364367204424,0.107,0.051,4.80706222773341e-190,"0","C2CD5-AS1"
0,1.36543505369569,0.188,0.091,0,"0","LINC00869.1"
6.33238823232953e-261,1.36281932748582,0.152,0.075,5.69984597180214e-256,"0","LINC01145.1"
2.52794525481585e-225,1.33445359211438,0.129,0.063,2.2754288033123e-220,"0","MIR142HG"
0,1.31900587382311,0.261,0.135,0,"0","ENSG00000283674"
8.83510485594633e-297,1.30345039900138,0.129,0.055,7.95256623188585e-292,"0","CCL3L3"
7.63846221813488e-143,1.30014164081926,0.109,0.059,6.87545622716538e-138,"0","ENSG00000309168"
5.78313294047333e-293,1.29502764232674,0.176,0.089,5.20545579104945e-288,"0","EEIG1"
8.98002820119228e-79,1.28801607889785,0.155,0.112,8.08301318417519e-74,"0","MT1F"
0,4.09057243381013,0.101,0.005,0,"1","ENSG00000289963"
0,3.8985057539735,0.455,0.04,0,"1","PELO-AS1"
0,3.76032289147756,0.113,0.008,0,"1","ENSG00000294673"
0,3.69466939314162,0.294,0.029,0,"1","LINC02937"
0,3.54278380772658,0.108,0.009,0,"1","ENSG00000258760"
0,3.54152077327106,0.145,0.012,0,"1","ENSG00000287347"
0,3.43034750987637,0.111,0.012,0,"1","ITGA9"
0,3.42159078529886,0.183,0.022,0,"1","ENSG00000301254"
0,3.36737589923533,0.139,0.016,0,"1","ENSG00000304809"
0,3.35536959653714,0.289,0.029,0,"1","CCL3-AS1"
0,3.33496352832199,0.22,0.021,0,"1","ENSG00000289485"
0,3.1980948418596,0.221,0.023,0,"1","ENSG00000290036"
0,3.12986293314526,0.172,0.021,0,"1","ENSG00000286084"
0,3.06238588039362,0.129,0.016,0,"1","ENSG00000302621"
0,3.04544616580881,0.102,0.011,0,"1","ATP8A1-DT"
0,3.00964970338788,0.122,0.016,0,"1","ENSG00000310242"
0,2.78327902701023,0.282,0.044,0,"1","KIR2DL4"
0,2.69517264549225,0.256,0.042,0,"1","ENSG00000234261"
0,2.6887601813194,0.104,0.017,0,"1","ENSG00000287277"
0,2.68136832674126,0.213,0.034,0,"1","AFAP1L2"
0,2.39827937009266,0.29,0.073,0,"2","ABTB3"
0,2.11866076976277,0.107,0.029,0,"2","ENSG00000249806"
0,2.10470526471689,0.11,0.035,0,"2","ENSG00000271774"
0,1.78996747302631,0.249,0.105,0,"2","LNCRNA-IUR"
0,1.68055502102438,0.262,0.094,0,"2","CCR7"
0,1.64918977189448,0.79,0.444,0,"2","RPL7"
4.56917419460883e-124,1.61860811269751,0.21,0.14,4.11275938430936e-119,"2","FILIP1L"
