"resolution","cluster","n_cells","fraction"
0.2,"0",41277,0.330888365158001
0.2,"1",29031,0.232720888846135
0.2,"2",16500,0.132268770140926
0.2,"3",11085,0.0888605646674042
0.2,"4",10251,0.0821749795584628
0.2,"5",9266,0.0742789347955045
0.2,"6",7336,0.0588074968335658
0.4,"0",23806,0.190835778301509
0.4,"1",17678,0.141711958700079
0.4,"2",17460,0.139964407676398
0.4,"3",16509,0.132340916742821
0.4,"4",11393,0.0913295817100348
0.4,"5",10224,0.0819585397527776
0.4,"6",9272,0.0743270325301012
0.4,"7",7317,0.0586551873406763
0.4,"8",6467,0.0518413416061437
0.4,"9",4620,0.0370352556394594
0.6,"0",17022,0.136453273050839
0.6,"1",15777,0.126472993122024
0.6,"2",13262,0.106312026036907
0.6,"3",11713,0.0938947942218588
0.6,"4",11422,0.0915620540939188
0.6,"5",10248,0.0821509306911644
0.6,"6",9280,0.0743911628428968
0.6,"7",8980,0.0719862761130617
0.6,"8",8613,0.0690442980135636
0.6,"9",7340,0.0588395619899636
0.6,"10",6461,0.051793243871547
0.6,"11",4628,0.037099385952255
0.8,"0",12789,0.102520321292867
0.8,"1",12008,0.0962595995061966
0.8,"2",10277,0.0823834030750485
0.8,"3",10234,0.0820387026437722
0.8,"4",9747,0.07813476985234
0.8,"5",9288,0.0744552931556924
0.8,"6",8996,0.0721145367386529
0.8,"7",8831,0.0707918490372437
0.8,"8",8746,0.0701104644637904
0.8,"9",8244,0.0660862873358665
0.8,"10",6471,0.0518734067625415
0.8,"11",5594,0.0448431212223238
0.8,"12",5194,0.0416366055825437
0.8,"13",4621,0.0370432719285588
0.8,"14",3134,0.0251230500376766
0.8,"15",572,0.00458531736488545
