"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",23617,0.57215882937229
0.2,0.4,"2","0",174,0.0105454545454545
0.2,0.4,"3","0",2,0.00018042399639152
0.2,0.4,"6","0",13,0.00177208287895311
0.2,0.4,"0","1",5,0.000121132834266056
0.2,0.4,"1","1",17669,0.60862526265027
0.2,0.4,"3","1",4,0.00036084799278304
0.2,0.4,"0","2",17378,0.421009278775105
0.2,0.4,"1","2",2,6.88918742034377e-05
0.2,0.4,"4","2",30,0.00292654375182909
0.2,0.4,"6","2",50,0.00681570338058888
0.2,0.4,"0","3",187,0.0045303680015505
0.2,0.4,"2","3",16317,0.988909090909091
0.2,0.4,"4","3",2,0.000195102916788606
0.2,0.4,"6","3",3,0.000408942202835333
0.2,0.4,"1","4",11344,0.390754710481899
0.2,0.4,"5","4",7,0.00075545003237643
0.2,0.4,"6","4",42,0.00572519083969466
0.2,0.4,"0","5",3,7.26797005596337e-05
0.2,0.4,"4","5",10214,0.996390596039411
0.2,0.4,"6","5",7,0.000954198473282443
0.2,0.4,"1","6",12,0.000413351245220626
0.2,0.4,"5","6",9259,0.999244549967624
0.2,0.4,"6","6",1,0.000136314067611778
0.2,0.4,"0","7",84,0.00203503161566974
0.2,0.4,"1","7",1,3.44459371017189e-05
0.2,0.4,"2","7",9,0.000545454545454545
0.2,0.4,"4","7",5,0.000487757291971515
0.2,0.4,"6","7",7218,0.98391494002181
0.2,0.4,"0","8",1,2.42265668532112e-05
0.2,0.4,"3","8",6464,0.583130356337393
0.2,0.4,"6","8",2,0.000272628135223555
0.2,0.4,"0","9",2,4.84531337064225e-05
0.2,0.4,"1","9",3,0.000103337811305157
0.2,0.4,"3","9",4615,0.416328371673433
0.4,0.6,"0","0",16306,0.684953373099219
0.4,0.6,"2","0",146,0.00836197021764032
0.4,0.6,"3","0",530,0.0321037010115694
0.4,0.6,"5","0",1,9.78090766823161e-05
0.4,0.6,"7","0",38,0.00519338526718601
0.4,0.6,"9","0",1,0.000216450216450216
0.4,0.6,"0","1",39,0.00163824245988406
0.4,0.6,"2","1",2,0.00011454753722795
0.4,0.6,"3","1",15727,0.952631897752741
0.4,0.6,"7","1",7,0.000956676233429001
0.4,0.6,"8","1",2,0.000309262409154167
0.4,0.6,"0","2",111,0.00466269007813156
0.4,0.6,"1","2",3,0.000169702455028849
0.4,0.6,"2","2",13109,0.750801832760596
0.4,0.6,"3","2",5,0.000302865103882731
0.4,0.6,"4","2",1,8.77731940665321e-05
0.4,0.6,"5","2",7,0.000684663536776213
0.4,0.6,"7","2",24,0.003280032800328
0.4,0.6,"8","2",2,0.000309262409154167
0.4,0.6,"0","3",7331,0.307947576241284
0.4,0.6,"2","3",4127,0.236368843069874
0.4,0.6,"3","3",239,0.0144769519655945
0.4,0.6,"7","3",10,0.00136668033347
0.4,0.6,"8","3",5,0.000773156022885418
0.4,0.6,"9","3",1,0.000216450216450216
0.4,0.6,"1","4",113,0.00639212580608666
0.4,0.6,"4","4",11301,0.991924866145879
0.4,0.6,"6","4",8,0.000862812769628991
0.4,0.6,"2","5",20,0.0011454753722795
0.4,0.6,"3","5",2,0.000121146041553092
0.4,0.6,"5","5",10213,0.998924100156495
0.4,0.6,"7","5",13,0.001776684433511
0.4,0.6,"1","6",2,0.000113134970019233
0.4,0.6,"4","6",14,0.00122882471693145
0.4,0.6,"5","6",3,0.000293427230046948
0.4,0.6,"6","6",9261,0.99881363244176
0.4,0.6,"1","7",8973,0.507580042991289
0.4,0.6,"4","7",5,0.00043886597033266
0.4,0.6,"6","7",2,0.000215703192407248
0.4,0.6,"1","8",8586,0.485688426292567
0.4,0.6,"4","8",26,0.00228210304572983
0.4,0.6,"6","8",1,0.000107851596203624
0.4,0.6,"0","9",9,0.000378055952280938
0.4,0.6,"2","9",55,0.00315005727376861
0.4,0.6,"3","9",5,0.000302865103882731
0.4,0.6,"4","9",46,0.00403756692706048
0.4,0.6,"7","9",7225,0.987426540932076
0.4,0.6,"0","10",1,4.20062169201042e-05
0.4,0.6,"1","10",1,5.65674850096165e-05
0.4,0.6,"2","10",1,5.72737686139748e-05
0.4,0.6,"3","10",1,6.05730207765461e-05
0.4,0.6,"8","10",6446,0.996752744703881
0.4,0.6,"9","10",11,0.00238095238095238
0.4,0.6,"0","11",9,0.000378055952280938
0.4,0.6,"8","11",12,0.001855574454925
0.4,0.6,"9","11",4607,0.997186147186147
0.6,0.8,"0","0",20,0.00117495006462225
0.6,0.8,"1","0",12704,0.805222792672878
0.6,0.8,"2","0",1,7.54034082340522e-05
0.6,0.8,"3","0",49,0.0041833859813882
0.6,0.8,"5","0",2,0.000195160031225605
0.6,0.8,"9","0",13,0.00177111716621253
0.6,0.8,"0","1",129,0.00757842791681354
0.6,0.8,"2","1",9956,0.750716332378224
0.6,0.8,"3","1",1886,0.161017672671391
0.6,0.8,"5","1",2,0.000195160031225605
0.6,0.8,"9","1",35,0.00476839237057221
0.6,0.8,"0","2",7752,0.455410645047585
0.6,0.8,"1","2",2424,0.153641376687583
0.6,0.8,"2","2",63,0.00475041471874529
0.6,0.8,"3","2",38,0.0032442585161786
0.6,0.8,"0","3",1,5.87475032311127e-05
0.6,0.8,"2","3",8,0.000603227265872417
0.6,0.8,"5","3",10218,0.997072599531616
0.6,0.8,"6","3",3,0.000323275862068966
0.6,0.8,"9","3",4,0.000544959128065395
0.6,0.8,"0","4",8446,0.496181412289978
0.6,0.8,"1","4",18,0.00114090131203651
0.6,0.8,"2","4",7,0.000527823857638365
0.6,0.8,"3","4",1268,0.108255784171433
0.6,0.8,"9","4",5,0.000681198910081744
0.6,0.8,"10","4",1,0.000154774802662127
0.6,0.8,"11","4",2,0.000432152117545376
0.6,0.8,"4","5",20,0.00175100682892663
0.6,0.8,"6","5",9267,0.998599137931034
0.6,0.8,"8","5",1,0.000116103564379426
0.6,0.8,"0","6",468,0.0274938315121607
0.6,0.8,"1","6",56,0.00354947074855803
0.6,0.8,"2","6",58,0.00437339767757503
0.6,0.8,"3","6",8411,0.718091009988901
0.6,0.8,"9","6",2,0.000272479564032698
0.6,0.8,"11","6",1,0.000216076058772688
0.6,0.8,"4","7",7,0.000612852390124322
0.6,0.8,"7","7",8792,0.979064587973274
0.6,0.8,"8","7",32,0.00371531406014165
0.6,0.8,"4","8",41,0.0035895639992996
0.6,0.8,"7","8",173,0.0192650334075724
0.6,0.8,"8","8",8532,0.990595611285266
0.6,0.8,"4","9",8191,0.717124846786902
0.6,0.8,"6","9",9,0.000969827586206897
0.6,0.8,"8","9",44,0.00510855683269476
0.6,0.8,"3","10",2,0.000170750448219927
0.6,0.8,"10","10",6459,0.999690450394676
0.6,0.8,"11","10",10,0.00216076058772688
0.6,0.8,"0","11",153,0.00898836799436024
0.6,0.8,"1","11",6,0.000380300437345503
0.6,0.8,"2","11",98,0.00738953400693711
0.6,0.8,"3","11",57,0.00486638777426791
0.6,0.8,"5","11",10,0.000975800156128025
0.6,0.8,"9","11",5270,0.717983651226158
0.6,0.8,"2","12",1,7.54034082340522e-05
0.6,0.8,"4","12",3162,0.276834179653301
0.6,0.8,"5","12",3,0.000292740046838407
0.6,0.8,"7","12",14,0.00155902004454343
0.6,0.8,"8","12",3,0.000348310693138279
0.6,0.8,"9","12",2011,0.273978201634877
0.6,0.8,"0","13",6,0.000352485019386676
0.6,0.8,"3","13",1,8.53752241099633e-05
0.6,0.8,"11","13",4614,0.996974935177182
0.6,0.8,"0","14",44,0.00258489014216896
0.6,0.8,"2","14",3070,0.23148846327854
0.6,0.8,"3","14",1,8.53752241099633e-05
0.6,0.8,"4","14",1,8.75503414463316e-05
