"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",9962,0.2,"dataset",0.244652373584813
"1","CNP0000460",0,0.2,"dataset",0
"2","CNP0000460",2569,0.2,"dataset",0.148617378225153
"3","CNP0000460",1272,0.2,"dataset",0.112566371681416
"4","CNP0000460",3257,0.2,"dataset",0.293080176370017
"5","CNP0000460",0,0.2,"dataset",0
"6","CNP0000460",1125,0.2,"dataset",0.190452006094464
"7","CNP0000460",0,0.2,"dataset",0
"singleton","CNP0000460",0,0.2,"dataset",0
"0","GSE326225",1514,0.2,"dataset",0.0371816596674771
"1","GSE326225",10,0.2,"dataset",0.000383670963781461
"2","GSE326225",1670,0.2,"dataset",0.0966099733888696
"3","GSE326225",355,0.2,"dataset",0.0314159292035398
"4","GSE326225",551,0.2,"dataset",0.0495815711329074
"5","GSE326225",3,0.2,"dataset",0.000324956672443674
"6","GSE326225",144,0.2,"dataset",0.0243778567800914
"7","GSE326225",0,0.2,"dataset",0
"singleton","GSE326225",0,0.2,"dataset",0
"0","HRA003620",18293,0.2,"dataset",0.449249735995481
"1","HRA003620",0,0.2,"dataset",0
"2","HRA003620",10968,0.2,"dataset",0.634501909059354
"3","HRA003620",3480,0.2,"dataset",0.307964601769912
"4","HRA003620",4363,0.2,"dataset",0.392603257446234
"5","HRA003620",0,0.2,"dataset",0
"6","HRA003620",3525,0.2,"dataset",0.596749619095988
"7","HRA003620",0,0.2,"dataset",0
"singleton","HRA003620",1,0.2,"dataset",1
"0","InhouseData",716,0.2,"dataset",0.0175839288784106
"1","InhouseData",26054,0.2,"dataset",0.999616329036219
"2","InhouseData",12,0.2,"dataset",0.000694203401596668
"3","InhouseData",4545,0.2,"dataset",0.402212389380531
"4","InhouseData",244,0.2,"dataset",0.0219562674345361
"5","InhouseData",9229,0.2,"dataset",0.999675043327556
"6","InhouseData",41,0.2,"dataset",0.00694091755544269
"7","InhouseData",3124,0.2,"dataset",1
"singleton","InhouseData",0,0.2,"dataset",0
"0","PRJNA662018",10234,0.2,"dataset",0.251332301873818
"1","PRJNA662018",0,0.2,"dataset",0
"2","PRJNA662018",2067,0.2,"dataset",0.119576535925026
"3","PRJNA662018",1648,0.2,"dataset",0.145840707964602
"4","PRJNA662018",2698,0.2,"dataset",0.242778727616305
"5","PRJNA662018",0,0.2,"dataset",0
"6","PRJNA662018",1072,0.2,"dataset",0.181479600474014
"7","PRJNA662018",0,0.2,"dataset",0
"singleton","PRJNA662018",0,0.2,"dataset",0
"0","CNP0000460_P01N",1282,0.2,"orig.ident",0.0314840737739139
"1","CNP0000460_P01N",0,0.2,"orig.ident",0
"2","CNP0000460_P01N",274,0.2,"orig.ident",0.0158509776697906
"3","CNP0000460_P01N",173,0.2,"orig.ident",0.0153097345132743
"4","CNP0000460_P01N",188,0.2,"orig.ident",0.0169171240889049
"5","CNP0000460_P01N",0,0.2,"orig.ident",0
"6","CNP0000460_P01N",63,0.2,"orig.ident",0.01066531234129
"7","CNP0000460_P01N",0,0.2,"orig.ident",0
"singleton","CNP0000460_P01N",0,0.2,"orig.ident",0
"0","CNP0000460_P01T",163,0.2,"orig.ident",0.00400304526142587
"1","CNP0000460_P01T",0,0.2,"orig.ident",0
"2","CNP0000460_P01T",273,0.2,"orig.ident",0.0157931273863242
"3","CNP0000460_P01T",40,0.2,"orig.ident",0.00353982300884956
"4","CNP0000460_P01T",71,0.2,"orig.ident",0.00638891388463961
"5","CNP0000460_P01T",0,0.2,"orig.ident",0
"6","CNP0000460_P01T",12,0.2,"orig.ident",0.00203148806500762
"7","CNP0000460_P01T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P01T",0,0.2,"orig.ident",0
"0","CNP0000460_P02N",1262,0.2,"orig.ident",0.0309929025761929
"1","CNP0000460_P02N",0,0.2,"orig.ident",0
"2","CNP0000460_P02N",38,0.2,"orig.ident",0.00219831077172278
"3","CNP0000460_P02N",36,0.2,"orig.ident",0.0031858407079646
"4","CNP0000460_P02N",319,0.2,"orig.ident",0.028705120129578
"5","CNP0000460_P02N",0,0.2,"orig.ident",0
"6","CNP0000460_P02N",162,0.2,"orig.ident",0.0274250888776028
"7","CNP0000460_P02N",0,0.2,"orig.ident",0
"singleton","CNP0000460_P02N",0,0.2,"orig.ident",0
"0","CNP0000460_P02T",909,0.2,"orig.ident",0.0223237309364179
"1","CNP0000460_P02T",0,0.2,"orig.ident",0
"2","CNP0000460_P02T",89,0.2,"orig.ident",0.00514867522850862
"3","CNP0000460_P02T",65,0.2,"orig.ident",0.00575221238938053
"4","CNP0000460_P02T",573,0.2,"orig.ident",0.0515612345901197
"5","CNP0000460_P02T",0,0.2,"orig.ident",0
"6","CNP0000460_P02T",221,0.2,"orig.ident",0.037413238530557
"7","CNP0000460_P02T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P02T",0,0.2,"orig.ident",0
"0","CNP0000460_P03N",1215,0.2,"orig.ident",0.0298386502615487
"1","CNP0000460_P03N",0,0.2,"orig.ident",0
"2","CNP0000460_P03N",242,0.2,"orig.ident",0.0139997685988661
"3","CNP0000460_P03N",191,0.2,"orig.ident",0.0169026548672566
"4","CNP0000460_P03N",363,0.2,"orig.ident",0.0326644470440025
"5","CNP0000460_P03N",0,0.2,"orig.ident",0
"6","CNP0000460_P03N",115,0.2,"orig.ident",0.0194684272896563
"7","CNP0000460_P03N",0,0.2,"orig.ident",0
"singleton","CNP0000460_P03N",0,0.2,"orig.ident",0
"0","CNP0000460_P03T",1557,0.2,"orig.ident",0.0382376777425772
"1","CNP0000460_P03T",0,0.2,"orig.ident",0
"2","CNP0000460_P03T",147,0.2,"orig.ident",0.00850399166955918
"3","CNP0000460_P03T",173,0.2,"orig.ident",0.0153097345132743
