"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",9962,0.2,"dataset",0.244652373584813,0.1457762172735,1.67827357686066,FALSE
"1","CNP0000460",0,0.2,"dataset",0,0.1457762172735,0,FALSE
"2","CNP0000460",2569,0.2,"dataset",0.148617378225153,0.1457762172735,1.01948987979516,FALSE
"3","CNP0000460",1272,0.2,"dataset",0.112566371681416,0.1457762172735,0.772186120526253,FALSE
"4","CNP0000460",3257,0.2,"dataset",0.293080176370017,0.1457762172735,2.0104800484715,FALSE
"5","CNP0000460",0,0.2,"dataset",0,0.1457762172735,0,FALSE
"6","CNP0000460",1125,0.2,"dataset",0.190452006094464,0.1457762172735,1.3064682954226,FALSE
"7","CNP0000460",0,0.2,"dataset",0,0.1457762172735,0,FALSE
"singleton","CNP0000460",0,0.2,"dataset",0,0.1457762172735,0,FALSE
"0","GSE326225",1514,0.2,"dataset",0.0371816596674771,0.0340451798053645,1.0921269877276,FALSE
"1","GSE326225",10,0.2,"dataset",0.000383670963781461,0.0340451798053645,0.0112694650454161,FALSE
"2","GSE326225",1670,0.2,"dataset",0.0966099733888696,0.0340451798053645,2.83769902057168,FALSE
"3","GSE326225",355,0.2,"dataset",0.0314159292035398,0.0340451798053645,0.922771722256835,FALSE
"4","GSE326225",551,0.2,"dataset",0.0495815711329074,0.0340451798053645,1.45634628503548,FALSE
"5","GSE326225",3,0.2,"dataset",0.000324956672443674,0.0340451798053645,0.00954486580189748,FALSE
"6","GSE326225",144,0.2,"dataset",0.0243778567800914,0.0340451798053645,0.716044295241178,FALSE
"7","GSE326225",0,0.2,"dataset",0,0.0340451798053645,0,FALSE
"singleton","GSE326225",0,0.2,"dataset",0,0.0340451798053645,0,FALSE
"0","HRA003620",18293,0.2,"dataset",0.449249735995481,0.325701826110657,1.37932826892671,FALSE
"1","HRA003620",0,0.2,"dataset",0,0.325701826110657,0,FALSE
"2","HRA003620",10968,0.2,"dataset",0.634501909059354,0.325701826110657,1.94810669819144,FALSE
"3","HRA003620",3480,0.2,"dataset",0.307964601769912,0.325701826110657,0.945541526270967,FALSE
"4","HRA003620",4363,0.2,"dataset",0.392603257446234,0.325701826110657,1.2054069887617,FALSE
"5","HRA003620",0,0.2,"dataset",0,0.325701826110657,0,FALSE
