"resolution","cluster","n_cells","fraction"
0.2,"0",40719,0.326415275840508
0.2,"1",26064,0.208936559088067
0.2,"2",17286,0.138569573373094
0.2,"3",11300,0.0905840668237859
0.2,"4",11113,0.0890850207621888
0.2,"5",9232,0.0740063809661232
0.2,"6",5907,0.0473522197104516
0.2,"7",3124,0.0250428871466821
0.2,"singleton",1,8.01628909945008e-06
0.4,"0",22172,0.177737161913007
0.4,"1",17876,0.14329918394177
0.4,"2",17853,0.143114809292482
0.4,"3",17732,0.142144838311449
0.4,"4",11306,0.0906321645583826
0.4,"5",11081,0.0888284995110064
0.4,"6",9243,0.0740945601462171
0.4,"7",8267,0.0662706619851538
0.4,"8",6043,0.0484424350279768
0.4,"9",3172,0.0254276690234557
0.4,"singleton",1,8.01628909945008e-06
0.6,"0",20328,0.162955124813621
0.6,"1",19960,0.160005130425024
0.6,"2",17535,0.140565629358857
0.6,"3",11067,0.0887162714636141
0.6,"4",9458,0.0758180623025989
0.6,"5",9248,0.0741346415917144
0.6,"6",8799,0.0705353277860613
0.6,"7",7657,0.0613807256344893
0.6,"8",6451,0.0517130809805525
0.6,"9",6129,0.0491318358905296
0.6,"10",4854,0.0389110672887307
0.6,"11",3259,0.0261250861751078
0.6,"singleton",1,8.01628909945008e-06
0.8,"0",14602,0.11705385343017
0.8,"1",11545,0.0925480576531512
0.8,"2",11352,0.0910009138569573
0.8,"3",11029,0.088411652477835
0.8,"4",10610,0.0850528273451654
0.8,"5",9240,0.0740705112789188
0.8,"6",9206,0.0737979574495375
0.8,"7",8958,0.0718099177528738
0.8,"8",8717,0.0698779920799064
0.8,"9",8129,0.0651644140894297
0.8,"10",6276,0.0503102303881487
0.8,"11",5034,0.0403539993266317
0.8,"12",4800,0.0384781876773604
0.8,"13",3124,0.0250428871466821
0.8,"14",1368,0.0109662834880477
0.8,"15",755,0.00605229827008481
0.8,"singleton",1,8.01628909945008e-06
