"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",22063,0.541835506765883
0.2,0.4,"2","0",101,0.00584287863010529
0.2,0.4,"3","0",4,0.000353982300884956
0.2,0.4,"4","0",2,0.000179969405201116
0.2,0.4,"6","0",2,0.000338581344167936
0.2,0.4,"0","1",17865,0.438738672364253
0.2,0.4,"2","1",1,5.7850283466389e-05
0.2,0.4,"4","1",1,8.99847026005579e-05
0.2,0.4,"6","1",9,0.00152361604875571
0.2,0.4,"0","2",670,0.0164542351236523
0.2,0.4,"2","2",17176,0.993636468818697
0.2,0.4,"3","2",5,0.000442477876106195
0.2,0.4,"6","2",2,0.000338581344167936
0.2,0.4,"1","3",17732,0.680325352977287
0.2,0.4,"0","4",6,0.00014735135931629
0.2,0.4,"1","4",8,0.000306936771025169
0.2,0.4,"2","4",1,5.7850283466389e-05
0.2,0.4,"3","4",11291,0.999203539823009
0.2,0.4,"0","5",66,0.00162086495247919
0.2,0.4,"4","5",11008,0.990551606226941
0.2,0.4,"6","5",7,0.00118503470458778
0.2,0.4,"1","6",20,0.000767341927562922
0.2,0.4,"5","6",9222,0.998916811091854
0.2,0.4,"7","6",1,0.000320102432778489
0.2,0.4,"1","7",8218,0.315300798035605
0.2,0.4,"5","7",10,0.00108318890814558
0.2,0.4,"7","7",39,0.0124839948783611
0.2,0.4,"0","8",47,0.00115425231464427
0.2,0.4,"2","8",7,0.000404951984264723
0.2,0.4,"4","8",102,0.00917843966525691
0.2,0.4,"6","8",5887,0.996614186558321
0.2,0.4,"0","9",2,4.91171197720966e-05
0.2,0.4,"1","9",86,0.00329957028852056
0.2,0.4,"7","9",3084,0.98719590268886
0.2,0.4,"singleton","singleton",1,1
0.4,0.6,"0","0",19789,0.892522099945878
0.4,0.6,"1","0",163,0.00911837100022376
0.4,0.6,"2","0",365,0.0204447431804179
0.4,0.6,"3","0",2,0.000112790435371081
0.4,0.6,"4","0",3,0.000265345834070405
0.4,0.6,"5","0",5,0.000451222813825467
0.4,0.6,"8","0",1,0.000165480721495946
0.4,0.6,"0","1",2108,0.0950748692044019
0.4,0.6,"1","1",17632,0.986350413962855
0.4,0.6,"2","1",186,0.0104184170727609
0.4,0.6,"4","1",2,0.000176897222713603
0.4,0.6,"5","1",29,0.00261709232018771
0.4,0.6,"8","1",3,0.000496442164487837
0.4,0.6,"0","2",238,0.0107342594263034
0.4,0.6,"1","2",8,0.000447527411053927
0.4,0.6,"2","2",17286,0.968240631826584
0.4,0.6,"4","2",1,8.84486113568017e-05
0.4,0.6,"8","2",2,0.000330961442991891
0.4,0.6,"0","3",19,0.000856936676889771
0.4,0.6,"1","3",15,0.000839113895726113
0.4,0.6,"5","3",11029,0.995307282736215
0.4,0.6,"6","3",2,0.000216379963215406
0.4,0.6,"8","3",2,0.000330961442991891
0.4,0.6,"3","4",8933,0.503778479584931
0.4,0.6,"4","4",10,0.000884486113568017
0.4,0.6,"7","4",512,0.0619329865731221
0.4,0.6,"9","4",3,0.00094577553593947
0.4,0.6,"3","5",1,5.63952176855403e-05
0.4,0.6,"6","5",9240,0.999675430055177
0.4,0.6,"7","5",7,0.000846740050804403
0.4,0.6,"3","6",8789,0.495657568238213
0.4,0.6,"4","6",1,8.84486113568017e-05
0.4,0.6,"6","6",1,0.000108189981607703
0.4,0.6,"9","6",8,0.00252206809583859
0.4,0.6,"3","7",4,0.000225580870742161
0.4,0.6,"7","7",7653,0.925728801258014
0.4,0.6,"0","8",3,0.000135305791087859
0.4,0.6,"2","8",7,0.000392090965103904
0.4,0.6,"4","8",6440,0.569609057137803
0.4,0.6,"5","8",1,9.02445627650934e-05
0.4,0.6,"0","9",10,0.000451019303626195
0.4,0.6,"1","9",58,0.00324457373014097
0.4,0.6,"2","9",9,0.000504116955133591
0.4,0.6,"5","9",17,0.00153415756700659
0.4,0.6,"8","9",6035,0.998676154228032
0.4,0.6,"0","10",5,0.000225509651813098
0.4,0.6,"4","10",4849,0.428887316469131
0.4,0.6,"3","11",3,0.000169185653056621
0.4,0.6,"7","11",95,0.0114914721180598
0.4,0.6,"9","11",3161,0.996532156368222
0.4,0.6,"singleton","singleton",1,1
0.6,0.8,"0","0",34,0.00167256985438804
0.6,0.8,"1","0",11,0.000551102204408818
0.6,0.8,"2","0",14551,0.829826062161392
0.6,0.8,"9","0",6,0.000978952520802741
0.6,0.8,"0","1",9079,0.446625344352617
0.6,0.8,"1","1",335,0.0167835671342685
0.6,0.8,"2","1",2095,0.119475335044197
0.6,0.8,"3","1",26,0.0023493268275052
0.6,0.8,"4","1",1,0.000105730598435187
0.6,0.8,"8","1",1,0.000155014726399008
0.6,0.8,"9","1",5,0.000815793767335618
0.6,0.8,"10","1",1,0.000206015657189946
0.6,0.8,"11","1",2,0.000613685179502915
0.6,0.8,"0","2",87,0.00427981109799292
0.6,0.8,"1","2",11197,0.560971943887776
0.6,0.8,"2","2",40,0.00228115198175078
0.6,0.8,"3","2",13,0.0011746634137526
0.6,0.8,"9","2",15,0.00244738130200685
0.6,0.8,"0","3",1,4.91932310114128e-05
0.6,0.8,"1","3",23,0.00115230460921844
0.6,0.8,"3","3",10998,0.993765248034698
0.6,0.8,"9","3",7,0.00114211127426986
0.6,0.8,"0","4",10524,0.517709563164109
0.6,0.8,"1","4",45,0.00225450901803607
0.6,0.8,"2","4",34,0.00193897918448817
0.6,0.8,"3","4",4,0.000361434896539261
0.6,0.8,"10","4",3,0.000618046971569839
0.6,0.8,"3","5",2,0.00018071744826963
0.6,0.8,"5","5",9238,0.998918685121107
0.6,0.8,"4","6",9115,0.963734404736731
0.6,0.8,"5","6",1,0.000108131487889273
0.6,0.8,"6","6",85,0.00966018865780202
0.6,0.8,"7","6",2,0.000261198902964608
0.6,0.8,"11","6",3,0.000920527769254373
0.6,0.8,"0","7",443,0.0217926013380559
0.6,0.8,"1","7",8282,0.414929859719439
0.6,0.8,"2","7",221,0.0126033646991731
0.6,0.8,"8","7",4,0.000620058905596032
0.6,0.8,"9","7",8,0.00130527002773699
0.6,0.8,"4","8",8,0.000845844787481497
0.6,0.8,"6","8",8709,0.989771564950563
0.6,0.8,"4","9",332,0.0351025586804821
0.6,0.8,"5","9",8,0.000865051903114187
0.6,0.8,"6","9",1,0.000113649278327083
0.6,0.8,"7","9",7654,0.999608201645553
0.6,0.8,"11","9",134,0.0411169070266953
0.6,0.8,"1","10",2,0.000100200400801603
0.6,0.8,"8","10",6274,0.972562393427376
0.6,0.8,"0","11",10,0.000491932310114128
0.6,0.8,"4","11",2,0.000211461196870374
0.6,0.8,"8","11",172,0.0266625329406294
0.6,0.8,"10","11",4850,0.99917593737124
0.6,0.8,"0","12",6,0.000295159386068477
0.6,0.8,"1","12",38,0.00190380761523046
0.6,0.8,"2","12",9,0.000513259195893926
0.6,0.8,"3","12",22,0.00198789193096593
0.6,0.8,"9","12",4725,0.770925110132159
0.6,0.8,"5","13",1,0.000108131487889273
0.6,0.8,"6","13",4,0.00045459711330833
0.6,0.8,"7","13",1,0.000130599451482304
0.6,0.8,"11","13",3118,0.956735194845045
0.6,0.8,"2","14",1,5.70287995437696e-05
0.6,0.8,"3","14",2,0.00018071744826963
0.6,0.8,"9","14",1363,0.222385380975689
0.6,0.8,"11","14",2,0.000613685179502915
0.6,0.8,"0","15",144,0.00708382526564345
0.6,0.8,"1","15",27,0.00135270541082164
0.6,0.8,"2","15",584,0.0333048189335615
0.6,0.8,"singleton","singleton",1,1
