"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","singleton"
"0",34,9079,87,1,10524,0,0,443,0,0,0,10,6,0,0,144,0
"1",11,335,11197,23,45,0,0,8282,0,0,2,0,38,0,0,27,0
"2",14551,2095,40,0,34,0,0,221,0,0,0,0,9,0,1,584,0
"3",0,26,13,10998,4,2,0,0,0,0,0,0,22,0,2,0,0
"4",0,1,0,0,0,0,9115,0,8,332,0,2,0,0,0,0,0
"5",0,0,0,0,0,9238,1,0,0,8,0,0,0,1,0,0,0
"6",0,0,0,0,0,0,85,0,8709,1,0,0,0,4,0,0,0
"7",0,0,0,0,0,0,2,0,0,7654,0,0,0,1,0,0,0
"8",0,1,0,0,0,0,0,4,0,0,6274,172,0,0,0,0,0
"9",6,5,15,7,0,0,0,8,0,0,0,0,4725,0,1363,0,0
"10",0,1,0,0,3,0,0,0,0,0,0,4850,0,0,0,0,0
"11",0,2,0,0,0,0,3,0,0,134,0,0,0,3118,2,0,0
"singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
