"resolution","role","field","median_cluster_max_fraction","max_cluster_max_fraction"
0.2,"dataset","dataset",0.558069792802617,0.999483310943474
0.2,"specimen_orig_ident","orig.ident",0.123364231188659,0.207212121212121
0.2,"specimen_sample_id","sample_id",0.85638249887235,1
0.2,"stage_T","T_stage",0.360959651035987,0.743146988992014
0.2,"stage_N","N_stage",0.549391069012179,0.99967623570041
0.2,"stage_M","M_stage",0.564727108705458,0.999784157133607
0.2,"clinical_type","Type",0.469393939393939,0.999892078566803
0.4,"dataset","dataset",0.527822740561831,0.999886865029981
0.4,"specimen_orig_ident","orig.ident",0.110267823628941,0.207220304076564
0.4,"specimen_sample_id","sample_id",0.857085071260887,1
0.4,"stage_T","T_stage",0.382923242545596,0.742773943054357
0.4,"stage_N","N_stage",0.53868222606638,1
0.4,"stage_M","M_stage",0.560944843517907,1
0.4,"clinical_type","Type",0.495417788644211,1
0.6,"dataset","dataset",0.58077600030335,1
0.6,"specimen_orig_ident","orig.ident",0.112916323440431,0.210623058883184
0.6,"specimen_sample_id","sample_id",0.856797439781298,1
0.6,"stage_T","T_stage",0.412823732984863,0.742564655172414
0.6,"stage_N","N_stage",0.541691743377297,1
0.6,"stage_M","M_stage",0.56111996090632,1
0.6,"clinical_type","Type",0.495741595165857,1
0.8,"dataset","dataset",0.610228408828426,1
0.8,"specimen_orig_ident","orig.ident",0.12540444225559,0.907342657342657
0.8,"specimen_sample_id","sample_id",0.85672822374564,1
0.8,"stage_T","T_stage",0.417997034624739,0.984265734265734
0.8,"stage_N","N_stage",0.544307195009272,1
0.8,"stage_M","M_stage",0.560814515419468,1
0.8,"clinical_type","Type",0.506094301483495,1
