"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",20,129,7752,1,8446,0,468,0,0,0,0,153,0,6,44,3
"1",12704,0,2424,0,18,0,56,0,0,0,0,6,0,0,0,569
"2",1,9956,63,8,7,0,58,0,0,0,0,98,1,0,3070,0
"3",49,1886,38,0,1268,0,8411,0,0,0,2,57,0,1,1,0
"4",0,0,0,0,0,20,0,7,41,8191,0,0,3162,0,1,0
"5",2,2,0,10218,0,0,0,0,0,0,0,10,3,0,13,0
"6",0,0,0,3,0,9267,0,0,0,9,0,0,0,0,1,0
"7",0,0,0,0,0,0,0,8792,173,0,0,0,14,0,1,0
"8",0,0,0,0,0,1,0,32,8532,44,0,0,3,0,1,0
"9",13,35,0,4,5,0,2,0,0,0,0,5270,2011,0,0,0
"10",0,0,0,0,1,0,0,0,0,0,6459,0,0,0,1,0
"11",0,0,0,0,2,0,1,0,0,0,10,0,0,4614,1,0
