"cluster","group","n_cells"
"1","CNP0000460",517
"10","CNP0000460",53
"11","CNP0000460",58
"2","CNP0000460",524
"3","CNP0000460",318
"4","CNP0000460",189
"5","CNP0000460",289
"6","CNP0000460",162
"7","CNP0000460",229
"8","CNP0000460",155
"9","CNP0000460",164
"0","GSE326225",1
"1","GSE326225",1276
"10","GSE326225",3
"11","GSE326225",5
"2","GSE326225",286
"3","GSE326225",1
"4","GSE326225",2
"5","GSE326225",330
"6","GSE326225",21
"7","GSE326225",21
"8","GSE326225",65
"9","GSE326225",21
"0","HRA003620",2
"1","HRA003620",186
"10","HRA003620",191
"11","HRA003620",59
"2","HRA003620",917
"3","HRA003620",1355
"4","HRA003620",1071
"5","HRA003620",205
"6","HRA003620",656
"7","HRA003620",312
"8","HRA003620",346
"9","HRA003620",277
"0","InhouseData",2753
"1","InhouseData",4
"10","InhouseData",15
"2","InhouseData",1
"7","InhouseData",3
"9","InhouseData",9
"1","PRJNA662018",449
"10","PRJNA662018",47
"11","PRJNA662018",34
"2","PRJNA662018",562
"3","PRJNA662018",330
"4","PRJNA662018",267
"5","PRJNA662018",263
"6","PRJNA662018",91
"7","PRJNA662018",90
"8","PRJNA662018",66
"9","PRJNA662018",31
