"cluster","group","proportion_within_cluster"
"1","CNP0000460",0.212582236842105
"10","CNP0000460",0.171521035598705
"11","CNP0000460",0.371794871794872
"2","CNP0000460",0.22882096069869
"3","CNP0000460",0.158682634730539
"4","CNP0000460",0.123610202746893
"5","CNP0000460",0.265869365225391
"6","CNP0000460",0.174193548387097
"7","CNP0000460",0.349618320610687
"8","CNP0000460",0.245253164556962
"9","CNP0000460",0.326693227091633
"0","GSE326225",0.000362844702467344
"1","GSE326225",0.524671052631579
"10","GSE326225",0.00970873786407767
"11","GSE326225",0.032051282051282
"2","GSE326225",0.124890829694323
"3","GSE326225",0.000499001996007984
"4","GSE326225",0.0013080444735121
"5","GSE326225",0.303587856485741
"6","GSE326225",0.0225806451612903
"7","GSE326225",0.0320610687022901
"8","GSE326225",0.102848101265823
"9","GSE326225",0.0418326693227092
"0","HRA003620",0.000725689404934688
"1","HRA003620",0.0764802631578947
"10","HRA003620",0.618122977346278
"11","HRA003620",0.378205128205128
"2","HRA003620",0.400436681222707
"3","HRA003620",0.676147704590818
"4","HRA003620",0.700457815565729
"5","HRA003620",0.188592456301748
"6","HRA003620",0.705376344086021
"7","HRA003620",0.476335877862595
"8","HRA003620",0.54746835443038
"9","HRA003620",0.551792828685259
"0","InhouseData",0.998911465892598
"1","InhouseData",0.00164473684210526
"10","InhouseData",0.0485436893203883
"2","InhouseData",0.000436681222707424
"7","InhouseData",0.00458015267175573
"9","InhouseData",0.0179282868525896
"1","PRJNA662018",0.184621710526316
"10","PRJNA662018",0.15210355987055
"11","PRJNA662018",0.217948717948718
"2","PRJNA662018",0.245414847161572
"3","PRJNA662018",0.164670658682635
"4","PRJNA662018",0.174623937213865
"5","PRJNA662018",0.241950321987121
"6","PRJNA662018",0.0978494623655914
"7","PRJNA662018",0.137404580152672
"8","PRJNA662018",0.104430379746835
"9","PRJNA662018",0.0617529880478088
