"cluster","group","n_cells"
"1","CNP0000460_P01N",9
"10","CNP0000460_P01N",1
"11","CNP0000460_P01N",2
"2","CNP0000460_P01N",3
"3","CNP0000460_P01N",3
"4","CNP0000460_P01N",5
"5","CNP0000460_P01N",4
"6","CNP0000460_P01N",3
"7","CNP0000460_P01N",3
"8","CNP0000460_P01N",2
"1","CNP0000460_P01T",2
"10","CNP0000460_P01T",1
"2","CNP0000460_P01T",1
"5","CNP0000460_P01T",2
"7","CNP0000460_P01T",1
"8","CNP0000460_P01T",1
"1","CNP0000460_P02N",261
"10","CNP0000460_P02N",34
"11","CNP0000460_P02N",32
"2","CNP0000460_P02N",414
"3","CNP0000460_P02N",203
"4","CNP0000460_P02N",117
"5","CNP0000460_P02N",141
"6","CNP0000460_P02N",99
"7","CNP0000460_P02N",187
"8","CNP0000460_P02N",110
"9","CNP0000460_P02N",148
"1","CNP0000460_P02T",40
"10","CNP0000460_P02T",7
"11","CNP0000460_P02T",3
"2","CNP0000460_P02T",4
"3","CNP0000460_P02T",12
"4","CNP0000460_P02T",5
"5","CNP0000460_P02T",23
"6","CNP0000460_P02T",8
"7","CNP0000460_P02T",14
"8","CNP0000460_P02T",11
"1","CNP0000460_P03N",19
"11","CNP0000460_P03N",3
"2","CNP0000460_P03N",11
"3","CNP0000460_P03N",3
"4","CNP0000460_P03N",5
"5","CNP0000460_P03N",14
"6","CNP0000460_P03N",3
"7","CNP0000460_P03N",4
"8","CNP0000460_P03N",2
"1","CNP0000460_P03T",11
"11","CNP0000460_P03T",1
"2","CNP0000460_P03T",5
"3","CNP0000460_P03T",1
"4","CNP0000460_P03T",2
"5","CNP0000460_P03T",3
"6","CNP0000460_P03T",1
"1","CNP0000460_P04T",12
"11","CNP0000460_P04T",1
"2","CNP0000460_P04T",1
"3","CNP0000460_P04T",42
"4","CNP0000460_P04T",9
"5","CNP0000460_P04T",16
"6","CNP0000460_P04T",14
"7","CNP0000460_P04T",2
"8","CNP0000460_P04T",6
"1","CNP0000460_P05N",13
"11","CNP0000460_P05N",1
"2","CNP0000460_P05N",9
"3","CNP0000460_P05N",9
"4","CNP0000460_P05N",8
"5","CNP0000460_P05N",4
"6","CNP0000460_P05N",1
"7","CNP0000460_P05N",2
"8","CNP0000460_P05N",1
"1","CNP0000460_P05T",55
"10","CNP0000460_P05T",8
"11","CNP0000460_P05T",7
"2","CNP0000460_P05T",46
"3","CNP0000460_P05T",11
"4","CNP0000460_P05T",20
