"cluster","group","proportion_within_cluster"
"1","CNP0000460_P01N",0.00370065789473684
"10","CNP0000460_P01N",0.00323624595469256
"11","CNP0000460_P01N",0.0128205128205128
"2","CNP0000460_P01N",0.00131004366812227
"3","CNP0000460_P01N",0.00149700598802395
"4","CNP0000460_P01N",0.00327011118378025
"5","CNP0000460_P01N",0.00367985280588776
"6","CNP0000460_P01N",0.0032258064516129
"7","CNP0000460_P01N",0.00458015267175573
"8","CNP0000460_P01N",0.00316455696202532
"1","CNP0000460_P01T",0.000822368421052632
"10","CNP0000460_P01T",0.00323624595469256
"2","CNP0000460_P01T",0.000436681222707424
"5","CNP0000460_P01T",0.00183992640294388
"7","CNP0000460_P01T",0.00152671755725191
"8","CNP0000460_P01T",0.00158227848101266
"1","CNP0000460_P02N",0.107319078947368
"10","CNP0000460_P02N",0.110032362459547
"11","CNP0000460_P02N",0.205128205128205
"2","CNP0000460_P02N",0.180786026200873
"3","CNP0000460_P02N",0.101297405189621
"4","CNP0000460_P02N",0.0765206017004578
"5","CNP0000460_P02N",0.129714811407544
"6","CNP0000460_P02N",0.106451612903226
"7","CNP0000460_P02N",0.285496183206107
"8","CNP0000460_P02N",0.174050632911392
"9","CNP0000460_P02N",0.294820717131474
"1","CNP0000460_P02T",0.0164473684210526
"10","CNP0000460_P02T",0.0226537216828479
"11","CNP0000460_P02T",0.0192307692307692
"2","CNP0000460_P02T",0.00174672489082969
"3","CNP0000460_P02T",0.00598802395209581
"4","CNP0000460_P02T",0.00327011118378025
"5","CNP0000460_P02T",0.0211591536338546
"6","CNP0000460_P02T",0.00860215053763441
"7","CNP0000460_P02T",0.0213740458015267
"8","CNP0000460_P02T",0.0174050632911392
"1","CNP0000460_P03N",0.0078125
"11","CNP0000460_P03N",0.0192307692307692
"2","CNP0000460_P03N",0.00480349344978166
"3","CNP0000460_P03N",0.00149700598802395
"4","CNP0000460_P03N",0.00327011118378025
"5","CNP0000460_P03N",0.0128794848206072
"6","CNP0000460_P03N",0.0032258064516129
"7","CNP0000460_P03N",0.00610687022900763
"8","CNP0000460_P03N",0.00316455696202532
"1","CNP0000460_P03T",0.00452302631578947
"11","CNP0000460_P03T",0.00641025641025641
"2","CNP0000460_P03T",0.00218340611353712
"3","CNP0000460_P03T",0.000499001996007984
"4","CNP0000460_P03T",0.0013080444735121
"5","CNP0000460_P03T",0.00275988960441582
"6","CNP0000460_P03T",0.0010752688172043
"1","CNP0000460_P04T",0.00493421052631579
"11","CNP0000460_P04T",0.00641025641025641
"2","CNP0000460_P04T",0.000436681222707424
"3","CNP0000460_P04T",0.0209580838323353
"4","CNP0000460_P04T",0.00588620013080445
"5","CNP0000460_P04T",0.0147194112235511
"6","CNP0000460_P04T",0.0150537634408602
"7","CNP0000460_P04T",0.00305343511450382
"8","CNP0000460_P04T",0.00949367088607595
"1","CNP0000460_P05N",0.00534539473684211
"11","CNP0000460_P05N",0.00641025641025641
"2","CNP0000460_P05N",0.00393013100436681
"3","CNP0000460_P05N",0.00449101796407186
"4","CNP0000460_P05N",0.0052321778940484
"5","CNP0000460_P05N",0.00367985280588776
"6","CNP0000460_P05N",0.0010752688172043
"7","CNP0000460_P05N",0.00305343511450382
"8","CNP0000460_P05N",0.00158227848101266
"1","CNP0000460_P05T",0.0226151315789474
"10","CNP0000460_P05T",0.0258899676375405
"11","CNP0000460_P05T",0.0448717948717949
"2","CNP0000460_P05T",0.0200873362445415
"3","CNP0000460_P05T",0.00548902195608782
"4","CNP0000460_P05T",0.013080444735121
"5","CNP0000460_P05T",0.0266789328426863
"6","CNP0000460_P05T",0.0193548387096774
"7","CNP0000460_P05T",0.0137404580152672
"8","CNP0000460_P05T",0.0205696202531646
"9","CNP0000460_P05T",0.0199203187250996
"1","CNP0000460_P06T",0.0238486842105263
"10","CNP0000460_P06T",0.00647249190938511
"11","CNP0000460_P06T",0.0128205128205128
"2","CNP0000460_P06T",0.00524017467248908
"3","CNP0000460_P06T",0.0139720558882236
"4","CNP0000460_P06T",0.00850228907782865
"5","CNP0000460_P06T",0.0321987120515179
"6","CNP0000460_P06T",0.0129032258064516
"7","CNP0000460_P06T",0.00610687022900763
