"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",2756,16,3,0.292815674891147,"T4463209b",0.998911465892598,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"1",2432,40,5,0.315378289473684,"GSE326225_BC7",0.524671052631579,"GSE326225",FALSE,FALSE,FALSE,FALSE,FALSE
"2",2290,37,5,0.180786026200873,"CNP0000460_P02N",0.400436681222707,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"3",2004,31,4,0.368263473053892,"HRA003620_NC-30",0.676147704590818,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"4",1529,32,4,0.349247874427731,"HRA003620_NC-30",0.700457815565729,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"5",1087,36,4,0.134314627414903,"GSE326225_BC8",0.303587856485741,"GSE326225",FALSE,FALSE,FALSE,FALSE,FALSE
"6",930,32,4,0.363440860215054,"HRA003620_NC-30",0.705376344086021,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"7",655,35,5,0.285496183206107,"CNP0000460_P02N",0.476335877862595,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"8",632,33,4,0.300632911392405,"HRA003620_NC-30",0.54746835443038,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"9",502,19,5,0.294820717131474,"CNP0000460_P02N",0.551792828685259,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"10",309,28,5,0.236245954692557,"HRA003620_NC-11",0.618122977346278,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"11",156,28,4,0.211538461538462,"HRA003620_NC-30",0.378205128205128,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
