"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,9.0076191507677,0.93,0.002,0,"0","H3F3B"
0,8.18383878003492,0.91,0.002,0,"0","H3F3A"
0,8.44834680262798,0.68,0.002,0,"0","FAM49B"
0,9.29192886089517,0.66,0.002,0,"0","MARCH1"
0,10.4506779035785,0.645,0.001,0,"0","AC120193.1"
0,3.14751029978681,0.733,0.091,0,"0","NME2"
0,2.70837932014659,0.741,0.103,0,"0","SLC25A6"
0,2.75629517760982,0.919,0.294,0,"0","EEF1G"
0,2.40273341438755,0.923,0.33,0,"0","PFDN5"
0,8.74291374854152,0.574,0.002,0,"0","FAM49A"
0,2.35477661456709,0.697,0.156,0,"0","RNASEK"
0,9.01514420808363,0.537,0.001,0,"0","LINC01578"
0,10.8696097142625,0.532,0.001,0,"0","AP001011.1"
0,9.56861522837566,0.524,0.001,0,"0","PALM2-AKAP2"
0,6.95501283218197,0.523,0.002,0,"0","H2AFZ"
0,8.51703013284094,0.513,0.002,0,"0","FAM214A"
0,10.060171648006,0.48,0.001,0,"0","AC079793.1"
0,3.70021739817826,0.507,0.036,0,"0","FAM172A"
0,9.78995016746933,0.467,0.001,0,"0","AC007384.1"
0,10.0571060890148,0.463,0.001,0,"0","MARCH6"
0,3.41814566705074,0.518,0.064,0,"0","RAPGEF6"
0,7.02298441036355,0.447,0.001,0,"0","HIST1H4C"
0,2.76163940164973,0.501,0.059,0,"0","TOMM6"
0,9.30390260619658,0.443,0.001,0,"0","MARCH3"
0,2.59683774577819,0.527,0.086,0,"0","CAST"
0,7.69178759432341,0.44,0.002,0,"0","ATP5MD"
0,2.36083770850052,0.585,0.154,0,"0","EIF4A1"
0,3.0926564356263,0.504,0.076,0,"0","ANKHD1"
0,9.27883127278258,0.425,0.001,0,"0","MARCH7"
0,2.11842110861017,0.631,0.208,0,"0","CDC42"
0,9.72874977620745,0.416,0.001,0,"0","AP000787.1"
0,2.64588196656754,0.47,0.062,0,"0","CD99"
0,4.91576056221723,0.413,0.013,0,"0","LINC01004"
0,1.77455959490101,0.772,0.376,0,"0","MIF"
0,2.69412664683383,0.454,0.059,0,"0","ATP6V0C"
0,7.52809968589697,0.396,0.002,0,"0","ATP5MPL"
0,3.7628803031249,0.43,0.044,0,"0","RABGEF1"
0,7.04231480080039,0.384,0.002,0,"0","H2AFV"
0,8.67403143205637,0.379,0.001,0,"0","AC092821.3"
0,8.51935015633661,0.376,0.001,0,"0","C9orf16"
0,7.38491216646567,0.367,0.002,0,"0","LRMP"
0,2.82332998138766,0.448,0.084,0,"0","ITCH"
0,2.70990451250554,0.412,0.048,0,"0","PRPF4B"
0,8.73108389008381,0.356,0.001,0,"0","CLECL1"
0,1.79110537117604,0.589,0.236,0,"0","SKP1"
0,5.25083015020138,0.361,0.013,0,"0","RBFOX2"
0,8.5845952852134,0.333,0.001,0,"0","FAM102A"
0,9.97394158121982,0.331,0.001,0,"0","AC079781.5"
0,10.5265529480001,0.328,0,0,"0","C12orf74"
0,9.08693815425852,0.328,0.001,0,"0","KIAA1109"
0,10.2921292694997,0.325,0,0,"0","AC245297.3"
0,2.40619742651694,0.385,0.065,0,"0","P2RY8"
0,2.59883046442832,0.369,0.049,0,"0","WDR83OS"
0,2.91197030952051,0.359,0.04,0,"0","CCR6"
0,2.89920005088901,0.367,0.048,0,"0","PSMA2"
0,7.94667721529265,0.319,0.001,0,"0","DARS"
0,2.86639411109436,0.396,0.082,0,"0","PPP3R1"
0,2.21363302273129,0.439,0.128,0,"0","LUC7L2"
0,2.98558580206312,0.364,0.055,0,"0","UMAD1"
0,2.96789700867121,0.389,0.084,0,"0","MRPS6"
0,8.8461542862663,0.306,0.001,0,"0","C5orf56"
0,2.14959303509714,0.415,0.111,0,"0","NCF1"
0,2.52101005136227,0.393,0.091,0,"0","PPM1B"
0,3.34674241693248,0.368,0.066,0,"0","ZNF10"
0,9.92586231390325,0.3,0,0,"0","AP002075.1"
0,9.04997420081363,0.299,0,0,"0","AC016831.7"
0,8.26882056721026,0.299,0.001,0,"0","AC025164.1"
0,2.84855990936665,0.35,0.053,0,"0","RBM27"
0,1.52959406969575,0.773,0.477,0,"0","ANKRD12"
0,8.94539069581509,0.293,0.001,0,"0","MARCH8"
0,2.55053519155053,0.357,0.072,0,"0","PPP2CA"
0,9.0811295917877,0.286,0.001,0,"0","AL592429.2"
0,8.76973359342783,0.285,0,0,"0","MFSD14C"
0,9.42710903527983,0.285,0,0,"0","AC119396.1"
0,2.46687370860678,0.362,0.078,0,"0","UBE2V1"
0,9.8552405296173,0.28,0,0,"0","AC027097.2"
0,9.79725285709671,0.279,0,0,"0","AC008014.1"
0,2.28189343489774,0.333,0.056,0,"0","TRAPPC5"
0,8.99033020930874,0.274,0.001,0,"0","AC018362.1"
0,10.4784604335376,0.271,0,0,"0","GRASP"
0,9.32514754933908,0.269,0.001,0,"0","AC118549.1"
0,3.03339673676778,0.29,0.025,0,"0","KIAA2026"
0,10.8428771444221,0.262,0,0,"0","AC068282.1"
0,8.6778905213127,0.262,0.001,0,"0","FAM126A"
0,8.77318797259812,0.26,0.001,0,"0","AC010894.3"
0,9.33522404168049,0.259,0.001,0,"0","CASC4"
0,8.74667798185958,0.254,0.001,0,"0","AC023424.3"
0,9.64419894770453,0.253,0,0,"0","AL355076.2"
0,10.7482470656672,0.252,0,0,"0","AP003086.1"
0,3.22902624901605,0.291,0.041,0,"0","RHEX"
0,7.94159837418986,0.248,0.001,0,"0","LARS"
0,8.3046105567232,0.247,0.001,0,"0","TTC37"
0,9.74606338763802,0.247,0.001,0,"0","AL050309.1"
0,8.61991381021438,0.243,0.001,0,"0","EPRS"
0,8.15889675825972,0.242,0.001,0,"0","HIST1H1C"
0,2.85437981978567,0.281,0.043,0,"0","SPECC1L"
0,8.25193648219791,0.239,0.001,0,"0","ADSS"
0,9.00729413388042,0.239,0.001,0,"0","ELMSAN1"
0,8.67306928000466,0.238,0.001,0,"0","FAM192A"
0,7.60093320646732,0.238,0.001,0,"0","PHB"
0,8.69238602540867,0.233,0,0,"0","KIAA0355"
