"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,12.3743230134756,0.22,0,0,"0","AC104365.1"
0,11.3857546509495,0.123,0,0,"0","AL078459.1"
0,11.019109132239,0.132,0,0,"0","AL589693.1"
0,10.9875251474223,0.135,0,0,"0","AC138123.1"
0,10.9070079828315,0.2,0,0,"0","AC020916.1"
0,10.8772137506216,0.174,0,0,"0","AC008691.1"
0,10.8696097142625,0.532,0.001,0,"0","AP001011.1"
0,10.8428771444221,0.262,0,0,"0","AC068282.1"
0,10.7765774012074,0.136,0,0,"0","TMEM161B-AS1"
0,10.7482470656672,0.252,0,0,"0","AP003086.1"
0,10.5486401881654,0.134,0,0,"0","CCDC84"
0,10.5265529480001,0.328,0,0,"0","C12orf74"
0,10.4784604335376,0.271,0,0,"0","GRASP"
0,10.4506779035785,0.645,0.001,0,"0","AC120193.1"
0,10.3505437906284,0.14,0,0,"0","AC008569.1"
0,10.2921292694997,0.325,0,0,"0","AC245297.3"
0,10.201460773401,0.164,0,0,"0","CBWD2"
0,10.1813728335223,0.119,0,0,"0","AC011476.3"
0,10.060171648006,0.48,0.001,0,"0","AC079793.1"
0,10.0582272364436,0.13,0,0,"0","AC004797.1"
0,3.49986407557612,0.302,0.032,0,"1","NAPSB"
0,3.42978316755152,0.252,0.028,0,"1","GPX1"
0,3.25864201919875,0.273,0.031,0,"1","ENSG00000289901"
0,1.98402047102353,0.879,0.543,0,"1","RPS26"
0,1.54258061531419,0.898,0.552,0,"1","RPL17"
0,1.3974642295905,0.991,0.758,0,"1","RPL41"
0,1.28637948823125,0.942,0.697,0,"1","RPLP0"
0,1.25293618418201,0.943,0.714,0,"1","MT-ND1"
0,1.14141479887567,0.995,0.993,0,"1","CD74"
0,1.08168793300573,0.994,0.781,0,"1","MT-CO1"
0,1.07824623780622,0.981,0.769,0,"1","MT-CYB"
0,1.03670983653929,0.982,0.741,0,"1","RPS13"
0,1.02360129877716,0.976,0.735,0,"1","RPL29"
0,1.00041149473538,0.984,0.75,0,"1","RPS3"
0,0.991541843695619,0.983,0.754,0,"1","RPL3"
0,0.963713208271157,0.99,0.763,0,"1","RPS12"
0,0.9595772991475,0.961,0.726,0,"1","RPS5"
0,0.948295883256055,0.989,0.756,0,"1","RPS23"
0,0.943912610804015,0.987,0.754,0,"1","RPL19"
0,0.936452774537294,0.994,0.764,0,"1","RPL10"
0,2.86830958346125,0.691,0.11,0,"2","IGHD"
0,2.45598367855615,0.555,0.131,0,"2","YBX3"
0,2.38052902800055,0.317,0.058,0,"2","ZBTB16"
0,1.96014985840249,0.476,0.103,0,"2","TCL1A"
0,1.90684230210437,0.902,0.309,0,"2","IGHM"
0,1.30908107003404,0.933,0.65,0,"2","BACH2"
4.66071886347882e-319,1.99200898539288,0.47,0.14,4.19515965620592e-314,"2","ST6GALNAC3"
3.70674936404693e-310,3.19797155560706,0.269,0.044,3.33648217007229e-305,"2","ACSM3"
1.3822083242704e-289,1.02409894260864,0.948,0.791,1.24413953475903e-284,"2","AFF3"
9.00436962586337e-279,1.86289374236467,0.568,0.241,8.10492314393588e-274,"2","COL19A1"
9.30876277995413e-259,2.25881125712883,0.363,0.101,8.37891046586452e-254,"2","SKAP1"
1.99210799492441e-249,2.03981227841279,0.448,0.159,1.79311632731141e-244,"2","IL4R"
3.06595972186001e-244,1.7294325140463,0.417,0.135,2.75970100524342e-239,"2","FCER2"
1.28952407965758e-237,2.57156185603949,0.253,0.051,1.16071351934058e-232,"2","ABCB1"
1.79370680130829e-236,3.37571335232713,0.156,0.016,1.61453342892561e-231,"2","SYN3"
2.2202424878254e-227,4.80927822580781,0.11,0.005,1.99846246571652e-222,"2","ENSG00000224610"
3.22299804141335e-227,0.720423882811228,0.972,0.765,2.90105276705657e-222,"2","RPL18A"
1.1673283812672e-212,1.96285473817602,0.458,0.185,1.05072394926242e-207,"2","CLEC2B"
4.59711088796875e-207,1.41458710159115,0.633,0.35,4.13790548136956e-202,"2","CAMK2D"
3.98045075050665e-205,0.681783922994805,0.981,0.77,3.58284352503854e-200,"2","RPS19"
0,1.80203122421744,0.891,0.451,0,"3","HSPA1B"
0,1.49331805929847,0.927,0.571,0,"3","DNAJB1"
0,1.44673152468627,0.926,0.6,0,"3","HSPA1A"
7.7746532610969e-282,1.57458194460154,0.755,0.401,6.99804314684593e-277,"3","IER5"
3.67329618874015e-275,0.946343109195266,0.99,0.862,3.3063706324469e-270,"3","HSP90AA1"
6.32185874142146e-271,0.971894060189726,0.998,0.635,5.69036827174087e-266,"3","MT-RNR2"
7.99493244451688e-271,0.975398136725095,0.977,0.594,7.19631864263409e-266,"3","MT-RNR1"
2.55534633417347e-254,1.10614060880442,0.916,0.666,2.30009278885288e-249,"3","HSPD1"
4.52999281874215e-223,1.34402370911743,0.858,0.613,4.077491836078e-218,"3","JUN"
6.44275393979731e-215,0.916077254498043,0.893,0.602,5.79918724875096e-210,"3","HSPH1"
9.68782848948229e-208,1.49150620169043,0.775,0.504,8.7201113016679e-203,"3","HSPB1"
2.04605314254718e-187,1.05045429697078,0.94,0.841,1.84167289413814e-182,"3","UBC"
5.52678970431673e-178,1.46001349534823,0.499,0.212,4.97471868075253e-173,"3","BAG3"
4.70106413680124e-168,1.07838159319207,0.794,0.533,4.23147484017616e-163,"3","PPP1R15A"
3.35658071371084e-166,0.862740583147421,0.875,0.656,3.02129186621826e-161,"3","DNAJA1"
5.5721103448294e-164,1.42646814187823,0.524,0.246,5.01551224248439e-159,"3","RHOB"
2.48443193602843e-152,1.86753774495319,0.42,0.178,2.23626202993855e-147,"3","HSPA6"
2.40041789701773e-147,1.81384405635249,0.351,0.132,2.16064015328463e-142,"3","SKIC8"
1.92489356912749e-146,1.41471805070843,0.518,0.251,1.73261595050735e-141,"3","ZFAND2A"
3.70031919764919e-141,0.69874986680639,0.742,0.434,3.33069431299601e-136,"3","ENSG00000279483"
5.09361575307319e-246,1.92060077936551,0.515,0.162,4.58481447549871e-241,"4","ENSG00000280138"
3.16495012290666e-220,1.09834922370313,0.974,0.766,2.84880325512951e-215,"4","LINC-PINT"
9.62446388455654e-219,1.48678798522564,0.695,0.311,8.66307618712819e-214,"4","CCSER1"
1.7996336456162e-193,0.998725945660394,0.963,0.684,1.6198682407556e-188,"4","H3-3B"
4.94108815473154e-190,2.50013134490307,0.291,0.067,4.44752285895541e-185,"4","PCBP3"
9.09490085601343e-187,1.86972111972985,0.444,0.151,8.18641120950625e-182,"4","ENSG00000250362"
3.79534001102362e-180,2.05905797510277,0.313,0.08,3.41622349732247e-175,"4","ENSG00000290755"
3.09823946332982e-173,1.34019271670362,0.791,0.465,2.78875632333781e-168,"4","ELL2"
5.03232260653006e-162,1.61310365782425,0.406,0.136,4.52964390136378e-157,"4","TAMALIN"
1.61873562299217e-161,1.88220917044247,0.356,0.108,1.45704012161148e-156,"4","JAM3"
1.62187472027812e-161,1.15289334916704,0.741,0.405,1.45986565446954e-156,"4","FOSB"
2.70639358485418e-161,1.52289879024458,0.74,0.442,2.4360519296631e-156,"4","ATP1B3"
9.30462643205815e-161,1.02869142950167,0.865,0.62,8.37518729775987e-156,"4","ARIH1"
4.90251858169407e-160,0.686142684775768,0.998,0.648,4.41280600056865e-155,"4","MT-RNR2"
1.93909594532549e-156,2.32529737763237,0.22,0.046,1.74539965134693e-151,"4","ENSG00000306791"
5.46221693167252e-149,1.21282291692815,0.697,0.387,4.91659608236775e-144,"4","ZNF331"
7.41726626512419e-145,1.36771732614875,0.56,0.257,6.67635553790093e-140,"4","ENSG00000266049"
2.35197787923652e-141,1.07870852358642,0.763,0.463,2.11703880887959e-136,"4","LY9"
1.54163029925986e-135,0.605725618785569,0.961,0.609,1.38763684866679e-130,"4","MT-RNR1"
3.96311699374236e-135,0.876052443163534,0.931,0.731,3.56724123723744e-130,"4","SIK3"
1.22174007273302e-231,0.868385276502634,0.995,0.778,1.09970045686772e-226,"5","RPS15A"
3.18836926193203e-218,0.879815939737166,0.998,0.775,2.86988305635764e-213,"5","RPS14"
1.58646435104569e-209,0.837965257428945,0.999,0.794,1.42799242701974e-204,"5","RPLP1"
5.96965530134967e-204,1.00897542684407,0.997,0.78,5.37334643329785e-199,"5","RPL41"
1.38572069810706e-196,0.889173504996831,0.99,0.756,1.24730105757315e-191,"5","RPS25"
3.50724557508966e-188,0.797509420180154,0.997,0.772,3.15690681459395e-183,"5","RPS15"
1.41545679776374e-176,0.754610068065237,0.997,0.775,1.27406681823512e-171,"5","RPL19"
2.84213408527377e-176,0.83314500870872,0.99,0.758,2.55823331149578e-171,"5","RPS7"
1.89478723751656e-174,0.806212435064351,0.99,0.765,1.70551694036103e-169,"5","RPL36"
7.84867627308546e-172,0.744380952682835,0.996,0.784,7.06467200016695e-167,"5","RPL32"
2.23049774954731e-171,0.749466458865482,0.998,0.788,2.00769332934503e-166,"5","RPS18"
7.77859586168551e-170,0.80878067769152,0.992,0.763,7.00159192106175e-165,"5","RPL35A"
1.58799501676482e-166,0.71010584299871,1,0.791,1.42937019454018e-161,"5","RPL13"
9.46994700374444e-166,0.7347397912472,0.998,0.781,8.52399399754041e-161,"5","RPL11"
2.57722948663739e-165,0.845101104767482,0.983,0.747,2.31979003321718e-160,"5","RPL6"
4.16510023286148e-165,0.74673743978631,0.995,0.776,3.74904837060095e-160,"5","RPL39"
1.11136527780312e-164,0.745816489501027,0.995,0.777,1.00035100020337e-159,"5","RPS28"
2.83680949164688e-163,1.11208632040778,0.901,0.585,2.55344059152627e-158,"5","RPL17"
1.01798530956421e-161,0.87409169928378,0.997,0.783,9.16298756991844e-157,"5","RPLP2"
1.10350346336739e-161,0.753368508567584,0.997,0.785,9.93274502411622e-157,"5","RPL34"
1.91863244316941e-312,1.90213649615564,0.96,0.498,1.72698024842122e-307,"6","PDE4D"
8.79825869520649e-297,2.83271949676577,0.522,0.11,7.91940063414231e-292,"6","ENSG00000302378"
8.39360529082506e-269,3.68298564653646,0.288,0.034,7.55516805832454e-264,"6","LINC01507"
3.67167611876985e-264,3.03856766961127,0.395,0.068,3.30491239126593e-259,"6","ENSG00000296683"
9.12840912834535e-259,2.97289756836248,0.37,0.06,8.21657234051494e-254,"6","ENSG00000295651"
2.13327053781434e-235,2.93506176204957,0.333,0.053,1.92017814379206e-230,"6","ENSG00000303809"
2.15929856756398e-169,2.73982924971032,0.254,0.041,1.94360623365001e-164,"6","EYA2"
1.00844253802859e-161,1.5528828883905,0.797,0.422,9.0770921290491e-157,"6","KYNU"
8.65035323821681e-156,1.4894203021523,0.758,0.372,7.78626945325133e-151,"6","HIPK2"
5.23295590419192e-152,1.66291688014641,0.611,0.239,4.71023593892219e-147,"6","TOX"
3.74026200939644e-132,1.69327741907647,0.551,0.216,3.36664723727783e-127,"6","TEX9"
2.89968307290774e-128,0.918696459712926,0.976,0.664,2.61003373075498e-123,"6","MT-RNR2"
3.0722592652183e-124,1.86052774529486,0.463,0.162,2.76537128721564e-119,"6","TBXAS1"
1.09136235973639e-122,1.85186592141101,0.41,0.131,9.82346173622324e-118,"6","PLEKHG7"
3.59045022515508e-110,0.852054004551659,0.958,0.624,3.23180015216434e-105,"6","MT-RNR1"
5.60959348926677e-102,1.09444723573967,0.881,0.667,5.04925119562391e-97,"6","ATP2B1"
1.38406148788796e-97,1.71596757215761,0.726,0.441,1.24580758586283e-92,"6","PHTF2"
1.18784901781116e-91,0.836028570435106,0.94,0.771,1.069194779422e-86,"6","FNBP1"
4.85091754886146e-83,1.55133461075152,0.457,0.2,4.36635939490569e-78,"6","CDC14A"
2.79490135302426e-82,1.32882803976653,0.757,0.509,2.51571865687066e-77,"6","PELI1"
0,4.85100403897129,0.224,0.008,0,"7","FCRL4"
0,4.64127786177305,0.576,0.057,0,"7","ENSG00000305357"
0,4.51581112490439,0.339,0.027,0,"7","CPNE4"
0,3.92672400002324,0.443,0.03,0,"7","ITGAX"
0,3.50258508749113,0.783,0.201,0,"7","SOX5"
2.71584216355521e-264,2.59246460572448,0.508,0.086,2.44455668983768e-259,"7","DUSP4"
1.52782094628536e-217,3.59099725505567,0.217,0.017,1.37520691196092e-212,"7","TOX2"
3.24726742912801e-215,2.47314668133844,0.519,0.107,2.92289788563241e-210,"7","FCRL5"
1.6499449590279e-183,3.93519437718616,0.176,0.013,1.48513195707061e-178,"7","ATP8B4"
1.56415648715297e-141,1.89161741058834,0.573,0.174,1.40791289565126e-136,"7","ENSG00000293488"
