"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11"
"0",2,19,0,943,101,125,835,76,228,0,0,3
"1",9,1727,21,43,77,71,8,2,59,2,0,4
"2",1474,0,0,0,0,0,0,0,0,0,0,0
"3",1,2,1306,45,91,0,2,1,2,3,0,1
"4",4,418,944,7,7,0,0,0,13,0,0,0
"5",1,4,8,797,469,2,3,1,6,0,0,5
"6",0,79,4,25,775,2,11,3,304,0,0,48
"7",1238,0,0,0,0,0,0,0,0,0,0,0
"8",4,172,0,48,5,857,59,8,10,0,0,2
"9",23,3,5,72,2,18,5,553,8,0,1,3
"10",0,0,1,3,0,0,0,4,0,482,3,0
"11",0,1,1,0,0,0,0,1,0,15,305,0
"15",0,7,0,21,2,12,7,6,2,0,0,90
