"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",4265,"0;3;1","","","",""
"1",2023,"2;8","","","",""
"2",1675,"4;13","","","",""
"3",1550,"5;2;10","","","",""
"4",1186,"6;1;2","","","",""
"5",1162,"1","","","",""
"6",857,"12;9","","","",""
"7",636,"10;15;3","","","",""
"8",445,"14","","","",""
"9",387,"9;8","","","",""
"10",229,"17;3","","","",""
"11",218,"21;6;2","","","",""
"12",200,"16","","","",""
"13",148,"5;6;17","","","",""
"14",124,"19","","","",""
"15",91,"2;10","","","",""
