"cluster","group","n_cells"
"0","CNP0000460",35
"1","CNP0000460",162
"10","CNP0000460",8
"11","CNP0000460",21
"12","CNP0000460",9
"13","CNP0000460",14
"14","CNP0000460",4
"15","CNP0000460",16
"3","CNP0000460",163
"4","CNP0000460",25
"5","CNP0000460",5
"6","CNP0000460",19
"7","CNP0000460",46
"8","CNP0000460",43
"9","CNP0000460",32
"0","GSE326225",29
"1","GSE326225",66
"10","GSE326225",1
"11","GSE326225",3
"12","GSE326225",6
"14","GSE326225",5
"15","GSE326225",3
"2","GSE326225",35
"3","GSE326225",82
"4","GSE326225",3
"6","GSE326225",31
"7","GSE326225",55
"8","GSE326225",1
"9","GSE326225",14
"0","HRA003620",380
"1","HRA003620",14
"10","HRA003620",11
"12","HRA003620",3
"13","HRA003620",1
"14","HRA003620",10
"15","HRA003620",4
"3","HRA003620",13
"4","HRA003620",6
"5","HRA003620",23
"6","HRA003620",94
"7","HRA003620",36
"8","HRA003620",105
"9","HRA003620",4
"0","InhouseData",1
"1","InhouseData",72
"11","InhouseData",22
"12","InhouseData",14
"13","InhouseData",1
"14","InhouseData",2
"15","InhouseData",3
"2","InhouseData",1640
"3","InhouseData",37
"6","InhouseData",17
"7","InhouseData",15
"8","InhouseData",105
"9","InhouseData",69
"0","PRJNA662018",3820
"1","PRJNA662018",1709
"10","PRJNA662018",209
"11","PRJNA662018",172
"12","PRJNA662018",168
"13","PRJNA662018",132
"14","PRJNA662018",103
"15","PRJNA662018",65
"3","PRJNA662018",1255
"4","PRJNA662018",1152
"5","PRJNA662018",1134
"6","PRJNA662018",696
"7","PRJNA662018",484
"8","PRJNA662018",191
"9","PRJNA662018",268
