"cluster","group","n_cells"
"0","CNP0000460_P01N",9
"1","CNP0000460_P01N",2
"10","CNP0000460_P01N",3
"13","CNP0000460_P01N",2
"14","CNP0000460_P01N",1
"15","CNP0000460_P01N",1
"3","CNP0000460_P01N",7
"4","CNP0000460_P01N",4
"6","CNP0000460_P01N",4
"7","CNP0000460_P01N",5
"8","CNP0000460_P01N",4
"0","CNP0000460_P01T",1
"1","CNP0000460_P01T",22
"11","CNP0000460_P01T",5
"13","CNP0000460_P01T",1
"15","CNP0000460_P01T",2
"3","CNP0000460_P01T",12
"5","CNP0000460_P01T",1
"9","CNP0000460_P01T",1
"13","CNP0000460_P02N",1
"3","CNP0000460_P02N",1
"1","CNP0000460_P02T",4
"3","CNP0000460_P02T",7
"6","CNP0000460_P02T",1
"7","CNP0000460_P02T",1
"9","CNP0000460_P02T",1
"0","CNP0000460_P03N",2
"15","CNP0000460_P03N",1
"3","CNP0000460_P03N",1
"7","CNP0000460_P03N",1
"8","CNP0000460_P03N",11
"0","CNP0000460_P03T",1
"10","CNP0000460_P03T",1
"6","CNP0000460_P03T",1
"7","CNP0000460_P03T",1
"8","CNP0000460_P03T",10
"0","CNP0000460_P04T",1
"1","CNP0000460_P04T",24
"11","CNP0000460_P04T",3
"12","CNP0000460_P04T",1
"13","CNP0000460_P04T",1
"14","CNP0000460_P04T",1
"3","CNP0000460_P04T",12
"6","CNP0000460_P04T",2
"7","CNP0000460_P04T",4
"9","CNP0000460_P04T",4
"0","CNP0000460_P05N",2
"8","CNP0000460_P05N",1
"0","CNP0000460_P05T",2
"1","CNP0000460_P05T",34
"10","CNP0000460_P05T",1
"11","CNP0000460_P05T",2
"13","CNP0000460_P05T",3
"15","CNP0000460_P05T",4
"3","CNP0000460_P05T",25
"4","CNP0000460_P05T",10
"5","CNP0000460_P05T",1
"6","CNP0000460_P05T",3
"7","CNP0000460_P05T",1
"9","CNP0000460_P05T",11
"0","CNP0000460_P06T",7
"1","CNP0000460_P06T",32
"10","CNP0000460_P06T",1
"11","CNP0000460_P06T",3
"12","CNP0000460_P06T",2
"14","CNP0000460_P06T",1
"15","CNP0000460_P06T",4
"3","CNP0000460_P06T",31
"4","CNP0000460_P06T",1
"6","CNP0000460_P06T",6
"7","CNP0000460_P06T",5
"9","CNP0000460_P06T",6
"0","CNP0000460_P07N",2
"11","CNP0000460_P07N",1
"3","CNP0000460_P07N",1
"8","CNP0000460_P07N",17
"0","CNP0000460_P07T",8
"1","CNP0000460_P07T",44
"10","CNP0000460_P07T",2
"11","CNP0000460_P07T",7
"12","CNP0000460_P07T",6
"13","CNP0000460_P07T",6
"14","CNP0000460_P07T",1
"15","CNP0000460_P07T",4
"3","CNP0000460_P07T",66
"4","CNP0000460_P07T",10
"5","CNP0000460_P07T",3
"6","CNP0000460_P07T",2
"7","CNP0000460_P07T",28
"9","CNP0000460_P07T",9
"1","GSE326225_BC1",1
"3","GSE326225_BC1",8
"7","GSE326225_BC1",2
"8","GSE326225_BC1",1
"1","GSE326225_BC2",4
"3","GSE326225_BC2",2
"1","GSE326225_BC3",6
"12","GSE326225_BC3",3
"2","GSE326225_BC3",1
"3","GSE326225_BC3",2
"7","GSE326225_BC3",2
"9","GSE326225_BC3",1
"1","GSE326225_BC4",1
"11","GSE326225_BC4",1
"7","GSE326225_BC4",1
"0","GSE326225_BC6",4
"1","GSE326225_BC6",28
"11","GSE326225_BC6",2
"12","GSE326225_BC6",3
"14","GSE326225_BC6",2
"15","GSE326225_BC6",3
"2","GSE326225_BC6",20
"3","GSE326225_BC6",25
"4","GSE326225_BC6",1
"6","GSE326225_BC6",14
