"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.00211019929660023
"1","CNP0000460_P01N",0.000988630746416213
"10","CNP0000460_P01N",0.0131004366812227
"13","CNP0000460_P01N",0.0135135135135135
"14","CNP0000460_P01N",0.00806451612903226
"15","CNP0000460_P01N",0.010989010989011
"3","CNP0000460_P01N",0.00451612903225806
"4","CNP0000460_P01N",0.00337268128161889
"6","CNP0000460_P01N",0.00466744457409568
"7","CNP0000460_P01N",0.00786163522012579
"8","CNP0000460_P01N",0.00898876404494382
"0","CNP0000460_P01T",0.000234466588511137
"1","CNP0000460_P01T",0.0108749382105783
"11","CNP0000460_P01T",0.0229357798165138
"13","CNP0000460_P01T",0.00675675675675676
"15","CNP0000460_P01T",0.021978021978022
"3","CNP0000460_P01T",0.00774193548387097
"5","CNP0000460_P01T",0.000860585197934596
"9","CNP0000460_P01T",0.00258397932816537
"13","CNP0000460_P02N",0.00675675675675676
"3","CNP0000460_P02N",0.000645161290322581
"1","CNP0000460_P02T",0.00197726149283243
"3","CNP0000460_P02T",0.00451612903225806
"6","CNP0000460_P02T",0.00116686114352392
"7","CNP0000460_P02T",0.00157232704402516
"9","CNP0000460_P02T",0.00258397932816537
"0","CNP0000460_P03N",0.000468933177022274
"15","CNP0000460_P03N",0.010989010989011
"3","CNP0000460_P03N",0.000645161290322581
"7","CNP0000460_P03N",0.00157232704402516
"8","CNP0000460_P03N",0.0247191011235955
"0","CNP0000460_P03T",0.000234466588511137
"10","CNP0000460_P03T",0.00436681222707424
"6","CNP0000460_P03T",0.00116686114352392
"7","CNP0000460_P03T",0.00157232704402516
"8","CNP0000460_P03T",0.0224719101123595
"0","CNP0000460_P04T",0.000234466588511137
"1","CNP0000460_P04T",0.0118635689569946
"11","CNP0000460_P04T",0.0137614678899083
"12","CNP0000460_P04T",0.005
"13","CNP0000460_P04T",0.00675675675675676
"14","CNP0000460_P04T",0.00806451612903226
"3","CNP0000460_P04T",0.00774193548387097
"6","CNP0000460_P04T",0.00233372228704784
"7","CNP0000460_P04T",0.00628930817610063
"9","CNP0000460_P04T",0.0103359173126615
"0","CNP0000460_P05N",0.000468933177022274
"8","CNP0000460_P05N",0.00224719101123596
"0","CNP0000460_P05T",0.000468933177022274
"1","CNP0000460_P05T",0.0168067226890756
"10","CNP0000460_P05T",0.00436681222707424
"11","CNP0000460_P05T",0.00917431192660551
"13","CNP0000460_P05T",0.0202702702702703
"15","CNP0000460_P05T",0.043956043956044
"3","CNP0000460_P05T",0.0161290322580645
"4","CNP0000460_P05T",0.00843170320404722
"5","CNP0000460_P05T",0.000860585197934596
"6","CNP0000460_P05T",0.00350058343057176
"7","CNP0000460_P05T",0.00157232704402516
"9","CNP0000460_P05T",0.0284237726098191
"0","CNP0000460_P06T",0.00164126611957796
"1","CNP0000460_P06T",0.0158180919426594
"10","CNP0000460_P06T",0.00436681222707424
"11","CNP0000460_P06T",0.0137614678899083
"12","CNP0000460_P06T",0.01
"14","CNP0000460_P06T",0.00806451612903226
"15","CNP0000460_P06T",0.043956043956044
"3","CNP0000460_P06T",0.02
