"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",4265,35,5,0.294021101992966,"PRJNA662018_PRJNA662018_P1N1",0.895662368112544,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"1",2023,39,5,0.243203163618389,"PRJNA662018_PRJNA662018_P2T2",0.844784972812655,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"2",1675,16,2,0.565970149253731,"T4471438",0.97910447761194,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"3",1550,41,5,0.212903225806452,"PRJNA662018_PRJNA662018_P4T4",0.809677419354839,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"4",1186,20,4,0.261382799325464,"PRJNA662018_PRJNA662018_P1N1",0.971332209106239,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,TRUE
"5",1162,15,3,0.425989672977625,"PRJNA662018_PRJNA662018_P1N1",0.975903614457831,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,TRUE
"6",857,38,5,0.248541423570595,"PRJNA662018_PRJNA662018_P1N1",0.812135355892649,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"7",636,36,5,0.223270440251572,"PRJNA662018_PRJNA662018_P2T2",0.761006289308176,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"8",445,31,5,0.292134831460674,"PRJNA662018_PRJNA662018_P2T2",0.429213483146067,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"9",387,35,5,0.219638242894057,"PRJNA662018_PRJNA662018_P2T2",0.69250645994832,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"10",229,19,4,0.279475982532751,"PRJNA662018_PRJNA662018_P2T2",0.912663755458515,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,TRUE
"11",218,23,4,0.288990825688073,"PRJNA662018_PRJNA662018_P4T4",0.788990825688073,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"12",200,23,5,0.35,"PRJNA662018_PRJNA662018_P2T2",0.84,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"13",148,18,4,0.27027027027027,"PRJNA662018_PRJNA662018_P3T3",0.891891891891892,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"14",124,22,5,0.137096774193548,"PRJNA662018_PRJNA662018_P1N1",0.830645161290323,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"15",91,21,5,0.263736263736264,"PRJNA662018_PRJNA662018_P2T2",0.714285714285714,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
