"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.01459408774028,0.681,0.143,0,"0","IL6"
0,3.53275323025669,0.57,0.116,0,"0","CSF3"
0,3.24255510264589,0.213,0.021,0,"0","SEMA3E"
0,2.98841322780651,0.283,0.042,0,"0","ENSG00000288520"
0,2.91388934459623,0.238,0.027,0,"0","ENSG00000288775"
0,2.89576431784519,0.566,0.074,0,"0","C7"
0,2.741277563265,0.368,0.052,0,"0","C1QTNF1"
0,2.67666131810098,0.583,0.124,0,"0","HLA-DQA2"
0,2.60398929576831,0.982,0.36,0,"0","ACKR1"
0,2.52199389892487,0.432,0.077,0,"0","RYR3"
0,2.33518692781106,0.433,0.085,0,"0","CCL23"
0,2.1185925902939,0.721,0.187,0,"0","HLA-DQA1"
0,2.11718719528674,0.414,0.115,0,"0","ENSG00000255872"
0,2.10742799636829,0.909,0.35,0,"0","CLU"
0,2.05592620631656,0.228,0.026,0,"0","PLCXD3"
0,2.02158626817718,0.362,0.073,0,"0","MEOX2"
0,2.01864699555725,0.449,0.084,0,"0","RAB3C"
0,2.01527593736416,0.907,0.315,0,"0","SELE"
0,2.00157143452405,0.389,0.102,0,"0","SGMS2"
0,1.96834050694422,0.645,0.182,0,"0","IL1R1"
0,2.80832224082089,0.373,0.066,0,"1","HAPLN1"
0,2.45157454764926,0.754,0.325,0,"1","IGFBP3"
0,2.44144718321609,0.497,0.127,0,"1","ENSG00000248636"
0,2.37690162373422,0.598,0.16,0,"1","APCDD1"
0,2.36633279231733,0.422,0.087,0,"1","ADAMTSL2"
0,2.19481761829621,0.547,0.175,0,"1","ACE"
0,2.08156726172247,0.493,0.11,0,"1","SNTB1"
0,2.05887212600846,0.524,0.165,0,"1","ENSG00000229337"
0,2.01720736503441,0.633,0.164,0,"1","KCNQ1"
0,1.93991325838015,0.641,0.163,0,"1","ESM1"
0,1.89419237973553,0.866,0.391,0,"1","MIR4435-2HG"
0,1.85692611173162,0.58,0.153,0,"1","CA2"
0,1.84310903624849,0.51,0.142,0,"1","UNC5B"
0,1.8051598596233,0.623,0.194,0,"1","PDGFD"
0,1.74968545793161,0.735,0.357,0,"1","CYTOR"
0,1.65718321428702,0.617,0.21,0,"1","ITGA8"
0,1.65709605547069,0.987,0.689,0,"1","INSR"
0,1.6340281325825,0.726,0.334,0,"1","ITGA1"
0,1.62237988557717,0.841,0.534,0,"1","HTRA1"
0,1.60543911308081,0.974,0.807,0,"1","SPARC"
0,7.56508997820996,0.14,0.001,0,"2","AC093817.2"
0,6.51559567895737,0.144,0.001,0,"2","AC011476.3"
0,6.50853211216306,0.124,0.001,0,"2","AC005920.2"
0,6.46388152868765,0.165,0.002,0,"2","AP002989.1"
0,6.43502921148015,0.184,0.002,0,"2","AL033504.1"
