"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",0.955100048804295,0,0.000488042947779405,0.00195217179111762,0.0200097608589556,0.00292825768667643,0.000488042947779405,0.00927281600780869,0,0,0.00976085895558809,0,0,0,0,0
"1",0.323935876174682,0.00110558319513543,0.000552791597567717,0.00276395798783858,0.0768380320619127,0.576561636263129,0,0.00773908236594804,0,0,0.00497512437810945,0,0.000552791597567717,0.000552791597567717,0,0.00442233278054174
"2",0,0.660941828254848,0.00554016620498615,0.169529085872576,0.07202216066482,0.0105263157894737,0.00166204986149584,0.0105263157894737,0,0.00997229916897507,0.00110803324099723,0.0232686980609418,0,0.00941828254847645,0,0.0254847645429363
"3",0.846670397313934,0.00111919418019026,0.000559597090095132,0,0.00503637381085618,0.0464465584778959,0,0.055400111919418,0,0,0.0419697817571349,0,0,0,0,0.00279798545047566
"4",0,0.0157938487115544,0.940980881130507,0.0116375727348296,0,0,0.00166251039068994,0,0,0.0199501246882793,0,0.00831255195344971,0.000831255195344971,0,0.000831255195344971,0
"5",0.00282485875706215,0.0781544256120527,0.00564971751412429,0.808851224105461,0.032015065913371,0,0.00188323917137476,0.00564971751412429,0,0.000941619585687382,0.000941619585687382,0.00188323917137476,0,0.0508474576271186,0.00847457627118644,0.00188323917137476
"6",0.0616784630940344,0.019211324570273,0.00303336703741153,0.0414560161779575,0.758341759352882,0.00606673407482305,0.00404448938321537,0.00202224469160768,0,0.00101112234580384,0.0182002022244692,0.0434782608695652,0,0.038422649140546,0.00202224469160768,0.00101112234580384
"8",0,0.879834254143646,0.0220994475138122,0.0110497237569061,0.00966850828729282,0,0,0,0,0.0552486187845304,0,0.0110497237569061,0,0.00138121546961326,0,0.00966850828729282
"9",0,0.0671641791044776,0.00597014925373134,0.00298507462686567,0.0462686567164179,0,0.425373134328358,0,0,0.440298507462687,0,0,0,0.00149253731343284,0.0104477611940299,0
"10",0.0699088145896656,0.0060790273556231,0.00455927051671732,0.454407294832827,0.0303951367781155,0.00303951367781155,0,0.360182370820669,0,0,0.00911854103343465,0,0,0.0258358662613982,0.00303951367781155,0.033434650455927
"12",0,0,0,0,0,0,0.976491862567812,0,0,0.00723327305605787,0,0,0,0,0.0162748643761302,0
"13",0,0,0.991919191919192,0,0,0,0,0.00808080808080808,0,0,0,0,0,0,0,0
"14",0,0,0.0044543429844098,0.0022271714922049,0,0,0,0,0.99109131403118,0,0.0022271714922049,0,0,0,0,0
"15",0.197879858657244,0.00353356890459364,0.00706713780918728,0.0141342756183746,0,0,0,0.770318021201413,0,0,0.00353356890459364,0,0,0.00353356890459364,0,0
"16",0.00465116279069767,0.0465116279069767,0,0.013953488372093,0.00465116279069767,0.00465116279069767,0.00465116279069767,0,0,0,0,0,0.92093023255814,0,0,0
"17",0.212121212121212,0,0,0,0.111111111111111,0.0101010101010101,0,0.0909090909090909,0,0,0.484848484848485,0,0,0.0909090909090909,0,0
"19",0,0.008,0.016,0.024,0.016,0,0.152,0,0,0.032,0,0,0,0,0.752,0
"21",0,0.0573770491803279,0.00819672131147541,0.00819672131147541,0,0,0,0,0,0,0,0.926229508196721,0,0,0,0
