"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",4693,"1;4;0","","","",""
"1",2878,"2","","","",""
"2",2770,"5;6","","","",""
"3",2642,"0","","","",""
"4",2431,"3","","","",""
"5",1493,"4","","","",""
"6",1212,"13;0","","","",""
"7",1067,"9","","","",""
"8",880,"6","","","",""
"9",761,"7;15","","","",""
"10",600,"14;17","","","",""
"11",596,"8;4","","","",""
"12",549,"15;14;9","","","",""
"13",407,"7","","","",""
"14",377,"18;3;6","","","",""
"15",375,"6","","","",""
"16",241,"16;2;8","","","",""
"17",239,"20;5","","","",""
"18",141,"18","","","",""
"19",97,"16;17","","","",""
