"cluster","group","n_cells"
"0","CNP0000460",256
"1","CNP0000460",379
"11","CNP0000460",94
"12","CNP0000460",15
"13","CNP0000460",51
"14","CNP0000460",11
"15","CNP0000460",20
"16","CNP0000460",21
"17","CNP0000460",20
"18","CNP0000460",4
"2","CNP0000460",286
"3","CNP0000460",149
"4","CNP0000460",55
"5","CNP0000460",168
"6","CNP0000460",54
"7","CNP0000460",17
"8","CNP0000460",30
"9","CNP0000460",88
"0","GSE326225",46
"1","GSE326225",232
"10","GSE326225",21
"12","GSE326225",67
"13","GSE326225",26
"14","GSE326225",17
"15","GSE326225",29
"16","GSE326225",46
"17","GSE326225",33
"18","GSE326225",8
"2","GSE326225",178
"4","GSE326225",72
"5","GSE326225",18
"7","GSE326225",80
"8","GSE326225",25
"9","GSE326225",46
"0","HRA003620",3615
"1","HRA003620",13
"11","HRA003620",204
"12","HRA003620",1
"13","HRA003620",5
"14","HRA003620",5
"16","HRA003620",9
"17","HRA003620",9
"2","HRA003620",3
"3","HRA003620",2351
"4","HRA003620",82
"5","HRA003620",446
"6","HRA003620",855
"7","HRA003620",19
"8","HRA003620",2
"9","HRA003620",174
"0","InhouseData",69
"1","InhouseData",543
"10","InhouseData",579
"11","InhouseData",7
"12","InhouseData",319
"13","InhouseData",66
"14","InhouseData",67
"15","InhouseData",218
"16","InhouseData",71
"17","InhouseData",48
"18","InhouseData",40
"19","InhouseData",97
"2","InhouseData",450
"3","InhouseData",50
"4","InhouseData",124
"5","InhouseData",36
"6","InhouseData",33
"7","InhouseData",561
"8","InhouseData",68
"9","InhouseData",150
"0","PRJNA662018",707
"1","PRJNA662018",1711
"11","PRJNA662018",291
"12","PRJNA662018",147
"13","PRJNA662018",259
"14","PRJNA662018",277
"15","PRJNA662018",108
"16","PRJNA662018",94
"17","PRJNA662018",129
"18","PRJNA662018",89
"2","PRJNA662018",1853
"3","PRJNA662018",92
"4","PRJNA662018",2098
"5","PRJNA662018",825
"6","PRJNA662018",270
"7","PRJNA662018",390
"8","PRJNA662018",755
"9","PRJNA662018",303
