"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.0545493287875559
"1","CNP0000460",0.131688672689368
"11","CNP0000460",0.157718120805369
"12","CNP0000460",0.0273224043715847
"13","CNP0000460",0.125307125307125
"14","CNP0000460",0.0291777188328912
"15","CNP0000460",0.0533333333333333
"16","CNP0000460",0.0871369294605809
"17","CNP0000460",0.0836820083682008
"18","CNP0000460",0.0283687943262411
"2","CNP0000460",0.103249097472924
"3","CNP0000460",0.0563966691900076
"4","CNP0000460",0.0226244343891403
"5","CNP0000460",0.112525117213664
"6","CNP0000460",0.0445544554455446
"7","CNP0000460",0.0159325210871603
"8","CNP0000460",0.0340909090909091
"9","CNP0000460",0.115637319316689
"0","GSE326225",0.00980183251651396
"1","GSE326225",0.0806115357887422
"10","GSE326225",0.035
"12","GSE326225",0.122040072859745
"13","GSE326225",0.0638820638820639
"14","GSE326225",0.0450928381962865
"15","GSE326225",0.0773333333333333
"16","GSE326225",0.190871369294606
"17","GSE326225",0.138075313807531
"18","GSE326225",0.0567375886524823
"2","GSE326225",0.0642599277978339
"4","GSE326225",0.0296174413821473
"5","GSE326225",0.0120562625586068
"7","GSE326225",0.0749765698219306
"8","GSE326225",0.0284090909090909
"9","GSE326225",0.0604467805519054
"0","HRA003620",0.770296185808651
"1","HRA003620",0.00451702571230021
"11","HRA003620",0.342281879194631
"12","HRA003620",0.00182149362477231
"13","HRA003620",0.0122850122850123
"14","HRA003620",0.013262599469496
"16","HRA003620",0.037344398340249
"17","HRA003620",0.0376569037656904
"2","HRA003620",0.00108303249097473
"3","HRA003620",0.889856169568509
"4","HRA003620",0.0337309749074455
"5","HRA003620",0.298727394507703
"6","HRA003620",0.705445544554455
"7","HRA003620",0.0178069353327085
"8","HRA003620",0.00227272727272727
"9","HRA003620",0.228646517739816
"0","InhouseData",0.0147027487747709
"1","InhouseData",0.188672689367616
"10","InhouseData",0.965
"11","InhouseData",0.011744966442953
"12","InhouseData",0.581056466302368
"13","InhouseData",0.162162162162162
"14","InhouseData",0.177718832891247
"15","InhouseData",0.581333333333333
"16","InhouseData",0.294605809128631
"17","InhouseData",0.200836820083682
"18","InhouseData",0.283687943262411
"19","InhouseData",1
"2","InhouseData",0.162454873646209
"3","InhouseData",0.0189250567751703
"4","InhouseData",0.0510078157136981
"5","InhouseData",0.0241125251172137
"6","InhouseData",0.0272277227722772
"7","InhouseData",0.525773195876289
"8","InhouseData",0.0772727272727273
"9","InhouseData",0.197109067017083
"0","PRJNA662018",0.150649904112508
"1","PRJNA662018",0.594510076441974
"11","PRJNA662018",0.488255033557047
"12","PRJNA662018",0.26775956284153
"13","PRJNA662018",0.636363636363636
"14","PRJNA662018",0.73474801061008
"15","PRJNA662018",0.288
"16","PRJNA662018",0.390041493775934
"17","PRJNA662018",0.539748953974895
"18","PRJNA662018",0.631205673758865
"2","PRJNA662018",0.668953068592058
"3","PRJNA662018",0.0348221044663134
"4","PRJNA662018",0.863019333607569
"5","PRJNA662018",0.552578700602813
"6","PRJNA662018",0.222772277227723
"7","PRJNA662018",0.365510777881912
"8","PRJNA662018",0.857954545454545
"9","PRJNA662018",0.398160315374507
