"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.00617941615171532
"1","CNP0000460_P01N",0.0173731758165393
"11","CNP0000460_P01N",0.0251677852348993
"13","CNP0000460_P01N",0.0122850122850123
"14","CNP0000460_P01N",0.0026525198938992
"16","CNP0000460_P01N",0.020746887966805
"18","CNP0000460_P01N",0.0141843971631206
"2","CNP0000460_P01N",0.00036101083032491
"3","CNP0000460_P01N",0.00189250567751703
"4","CNP0000460_P01N",0.00205676676264912
"5","CNP0000460_P01N",0.0167448091091762
"6","CNP0000460_P01N",0.00412541254125413
"9","CNP0000460_P01N",0.011826544021025
"1","CNP0000460_P01T",0.00104239054899236
"12","CNP0000460_P01T",0.00364298724954463
"13","CNP0000460_P01T",0.00245700245700246
"15","CNP0000460_P01T",0.00266666666666667
"17","CNP0000460_P01T",0.00836820083682008
"2","CNP0000460_P01T",0.00505415162454874
"4","CNP0000460_P01T",0.000411353352529823
"7","CNP0000460_P01T",0.00468603561387067
"8","CNP0000460_P01T",0.00113636363636364
"9","CNP0000460_P01T",0.00131406044678055
"0","CNP0000460_P02N",0.00127849989345834
"1","CNP0000460_P02N",0.0024322446143155
"11","CNP0000460_P02N",0.00671140939597315
"13","CNP0000460_P02N",0.00737100737100737
"16","CNP0000460_P02N",0.004149377593361
"3","CNP0000460_P02N",0.000378501135503407
"5","CNP0000460_P02N",0.00468854655056932
"6","CNP0000460_P02N",0.00165016501650165
"9","CNP0000460_P02N",0.00657030223390276
"1","CNP0000460_P02T",0.0149409312022238
"11","CNP0000460_P02T",0.00167785234899329
"12","CNP0000460_P02T",0.00364298724954463
"13","CNP0000460_P02T",0.00737100737100737
"15","CNP0000460_P02T",0.00533333333333333
"16","CNP0000460_P02T",0.012448132780083
"2","CNP0000460_P02T",0.0075812274368231
"4","CNP0000460_P02T",0.000822706705059646
"7","CNP0000460_P02T",0.00656044985941893
"8","CNP0000460_P02T",0.00113636363636364
"9","CNP0000460_P02T",0.0105124835742444
"0","CNP0000460_P03N",0.00277008310249307
"1","CNP0000460_P03N",0.0128561501042391
"11","CNP0000460_P03N",0.023489932885906
"12","CNP0000460_P03N",0.00364298724954463
"13","CNP0000460_P03N",0.00245700245700246
"16","CNP0000460_P03N",0.004149377593361
"3","CNP0000460_P03N",0.00227100681302044
"4","CNP0000460_P03N",0.000822706705059646
"5","CNP0000460_P03N",0.00937709310113865
"6","CNP0000460_P03N",0.00165016501650165
"9","CNP0000460_P03N",0.00525624178712221
"0","CNP0000460_P03T",0.00021308331557639
"1","CNP0000460_P03T",0.00104239054899236
"11","CNP0000460_P03T",0.00167785234899329
"4","CNP0000460_P03T",0.000411353352529823
"5","CNP0000460_P03T",0.000669792364367046
"9","CNP0000460_P03T",0.00131406044678055
"1","CNP0000460_P04T",0.00347463516330785
"13","CNP0000460_P04T",0.00491400491400491
"16","CNP0000460_P04T",0.004149377593361
"2","CNP0000460_P04T",0.00469314079422383
"4","CNP0000460_P04T",0.00287947346770876
"7","CNP0000460_P04T",0.000937207122774133
"8","CNP0000460_P04T",0.00113636363636364
"9","CNP0000460_P04T",0.0026281208935611
"0","CNP0000460_P05N",0.0236522480289793
"1","CNP0000460_P05N",0.000347463516330785
"11","CNP0000460_P05N",0.063758389261745
"13","CNP0000460_P05N",0.0196560196560197
"14","CNP0000460_P05N",0.00530503978779841
"16","CNP0000460_P05N",0.004149377593361
"17","CNP0000460_P05N",0.0292887029288703
"3","CNP0000460_P05N",0.0264950794852385
"5","CNP0000460_P05N",0.02947086403215
"6","CNP0000460_P05N",0.0181518151815182
"9","CNP0000460_P05N",0.0341655716162943
"0","CNP0000460_P05T",0.000426166631152781
"1","CNP0000460_P05T",0.0309242529534399
"11","CNP0000460_P05T",0.00167785234899329
"12","CNP0000460_P05T",0.00364298724954463
