"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",4693,30,5,0.24675047943746,"HRA003620_NC-04",0.770296185808651,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"1",2878,47,5,0.197706740792217,"PRJNA662018_PRJNA662018_P3N3",0.594510076441974,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"2",2770,40,5,0.175451263537906,"PRJNA662018_PRJNA662018_P4T4",0.668953068592058,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"3",2642,25,4,0.375851627554883,"HRA003620_NC-04",0.889856169568509,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"4",2431,40,5,0.242698477992596,"PRJNA662018_PRJNA662018_P1N1",0.863019333607569,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"5",1493,28,5,0.174146014735432,"PRJNA662018_PRJNA662018_P6N2",0.552578700602813,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"6",1212,28,4,0.410891089108911,"HRA003620_NC-04",0.705445544554455,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"7",1067,39,5,0.246485473289597,"PRJNA662018_PRJNA662018_P2T2",0.525773195876289,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"8",880,32,5,0.270454545454545,"PRJNA662018_PRJNA662018_P1N1",0.857954545454545,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"9",761,47,5,0.0696452036793692,"PRJNA662018_PRJNA662018_P3N3",0.398160315374507,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"10",600,14,2,0.311666666666667,"T4091568",0.965,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"11",596,27,4,0.130872483221477,"PRJNA662018_PRJNA662018_P3N3",0.488255033557047,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"12",549,38,5,0.151183970856102,"T8009218",0.581056466302368,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"13",407,42,5,0.0958230958230958,"PRJNA662018_PRJNA662018_P4T4",0.636363636363636,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"14",377,31,5,0.270557029177719,"PRJNA662018_PRJNA662018_P1N1",0.73474801061008,"PRJNA662018",FALSE,TRUE,FALSE,FALSE,FALSE
"15",375,34,4,0.138666666666667,"T4471438",0.581333333333333,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"16",241,40,5,0.174273858921162,"PRJNA662018_PRJNA662018_P3N3",0.390041493775934,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"17",239,29,5,0.209205020920502,"PRJNA662018_PRJNA662018_P4T4",0.539748953974895,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"18",141,18,4,0.184397163120567,"PRJNA662018_PRJNA662018_P1N1",0.631205673758865,"PRJNA662018",FALSE,FALSE,FALSE,FALSE,FALSE
"19",97,6,1,0.77319587628866,"T4091568",1,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
