"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.89599599172865,0.807,0.238,0,"0","PI16"
0,1.98232017576221,0.848,0.281,0,"0","OGN"
0,1.7108126432999,0.793,0.229,0,"0","PCOLCE2"
0,1.82339393859852,0.825,0.279,0,"0","ADH1B"
0,1.90771894861871,0.928,0.384,0,"0","SFRP2"
0,1.68096910057916,0.933,0.416,0,"0","NEGR1"
0,1.55071788005706,0.788,0.271,0,"0","SFRP1"
0,1.33185046797066,0.93,0.418,0,"0","C3"
0,1.54122504209557,0.794,0.289,0,"0","IGF1"
0,1.43711937270481,0.865,0.362,0,"0","FBLN2"
0,1.5393165958384,0.785,0.288,0,"0","PTGIS"
0,0.970394286726029,0.758,0.261,0,"0","MFAP5"
0,1.18622975491436,0.886,0.39,0,"0","EFEMP1"
0,1.68037310919545,0.925,0.442,0,"0","ABI3BP"
0,1.55537561750233,0.701,0.223,0,"0","CILP"
0,1.63692888868204,0.869,0.392,0,"0","CELF2"
0,1.93789003438519,0.722,0.247,0,"0","NAV3"
0,1.5109809453224,0.745,0.273,0,"0","ITM2A"
0,1.70809459304513,0.845,0.386,0,"0","MIR99AHG"
0,1.20928158755252,0.795,0.337,0,"0","SEMA3C"
0,1.66073154310117,0.851,0.405,0,"0","QSOX1"
0,1.65208534537056,0.8,0.356,0,"0","SERPINE2"
0,1.91491401880674,0.648,0.207,0,"0","DPT"
0,1.97304323294604,0.622,0.181,0,"0","C7"
0,1.61445885262213,0.925,0.486,0,"0","LAMA2"
0,1.42733084147191,0.818,0.38,0,"0","PID1"
0,1.28831795478597,0.659,0.222,0,"0","CD34"
0,1.31482423986519,0.804,0.371,0,"0","FBLN5"
0,1.71852209780359,0.714,0.283,0,"0","SVEP1"
0,1.53236476186698,0.769,0.341,0,"0","ENSG00000310376"
0,1.27704349271002,0.805,0.38,0,"0","PODN"
0,1.32101630739254,0.853,0.433,0,"0","SLIT2"
0,1.12427458966686,0.707,0.29,0,"0","SCARA5"
0,1.39681622239342,0.717,0.3,0,"0","ABLIM1"
0,1.19583977896935,0.834,0.419,0,"0","BNC2"
0,1.09586402882972,0.88,0.465,0,"0","FGF7"
0,1.38714912139023,0.749,0.336,0,"0","MARCHF3"
0,1.36507968072658,0.813,0.401,0,"0","ZFPM2"
0,2.07136462133007,0.55,0.14,0,"0","CCN5"
0,1.62444971081164,0.846,0.436,0,"0","TGFBR3"
0,0.943520255180278,0.855,0.449,0,"0","MGST1"
0,1.24869982220496,0.905,0.501,0,"0","GPRC5A"
0,1.79004330296859,0.579,0.178,0,"0","OMD"
0,1.46304159351573,0.978,0.579,0,"0","CFD"
