"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.5247848464596,0.393,0.07,0,"0","IGSF10"
0,2.41014672841882,0.32,0.077,0,"0","LINC01239"
0,2.35060948771781,0.463,0.12,0,"0","COL4A4"
0,2.33625261382955,0.226,0.052,0,"0","LINGO2"
0,2.30287306435408,0.228,0.049,0,"0","MYOC"
0,2.28521014965082,0.239,0.053,0,"0","COL4A3"
0,2.2262424416998,0.278,0.07,0,"0","ENSG00000280241"
0,2.18418619704004,0.378,0.128,0,"0","APBB1IP"
0,2.13656869425356,0.4,0.107,0,"0","COBL"
0,2.07136462133007,0.55,0.14,0,"0","CCN5"
0,5.42188315494188,0.164,0.004,0,"1","TACR3"
0,5.34212610904946,0.317,0.015,0,"1","ENSG00000260658"
0,5.11183271435536,0.222,0.008,0,"1","GALNTL6"
0,4.84375306982617,0.197,0.008,0,"1","FAM135B"
0,4.7396477337412,0.687,0.055,0,"1","NRG1"
0,4.69908774755174,0.55,0.037,0,"1","SLC14A1"
0,4.54388570012748,0.112,0.004,0,"1","ENSG00000291250"
0,4.51788316658975,0.201,0.009,0,"1","NSG1"
0,4.4987133213947,0.14,0.006,0,"1","TNFSF11"
0,4.31583903860926,0.224,0.019,0,"1","RBFOX1"
0,5.26849986566209,0.122,0.005,0,"2","CA4"
0,4.37026997350994,0.18,0.009,0,"2","IQSEC3-AS1"
0,4.17175695578734,0.65,0.054,0,"2","HIGD1B"
0,4.12964560045767,0.203,0.01,0,"2","DLX5"
0,4.05791441020989,0.203,0.009,0,"2","TMEM74B"
0,3.9859330831122,0.221,0.012,0,"2","LPL"
0,3.93018870806675,0.122,0.009,0,"2","LYPD1"
0,3.9186083115492,0.126,0.01,0,"2","RPL29P11"
0,3.84120770789763,0.157,0.012,0,"2","RASD2"
0,3.82099564845842,0.669,0.089,0,"2","COX4I2"
0,5.09057397375066,0.168,0.01,0,"3","DUOXA2"
0,4.73628092649015,0.196,0.012,0,"3","KCNB2"
0,4.46646985803975,0.125,0.006,0,"3","ENSG00000249631"
0,4.13587548833372,0.127,0.009,0,"3","ENSG00000291165"
0,4.05067946265397,0.259,0.021,0,"3","WNT10B"
0,3.82814865771807,0.22,0.019,0,"3","DUOX2"
0,3.78356523408882,0.365,0.039,0,"3","ENSG00000304884"
0,3.74804103309892,0.245,0.029,0,"3","ADGRG2"
0,3.49860869028783,0.167,0.017,0,"3","CD70"
0,3.48815141887053,0.218,0.025,0,"3","DACT2"
0,6.59788361602076,0.125,0.002,0,"4","ENSG00000288771"
0,6.35914220626233,0.567,0.015,0,"4","RERGL"
0,5.83449155431662,0.293,0.005,0,"4","PRPH"
0,5.52540897755096,0.106,0.002,0,"4","ENSG00000243696"
0,5.39830245193601,0.237,0.006,0,"4","KCNA5"
0,5.03497850847332,0.322,0.017,0,"4","MUSTN1"
0,4.95275499366171,0.765,0.05,0,"4","PLN"
0,4.87073510424774,0.202,0.005,0,"4","CARMAL"
0,4.82166030882505,0.355,0.012,0,"4","CASQ2"
0,4.82022834815593,0.164,0.004,0,"4","LOHAN2"
0,3.84320726020863,0.319,0.046,0,"5","IL11"
0,3.63523530901962,0.149,0.009,0,"5","ENSG00000304767"
0,3.51955919142742,0.555,0.094,0,"5","TFPI2"
0,3.4809375158675,0.466,0.065,0,"5","CSF3"
0,3.44481150142255,0.259,0.032,0,"5","CCL13"
0,2.8639789389272,0.657,0.178,0,"5","CXCL1"
0,2.70847628490085,0.829,0.292,0,"5","PTGDS"
0,2.59369850437888,0.476,0.079,0,"5","CHRDL2"
0,2.53437491519039,0.725,0.169,0,"5","LIF"
0,2.41503770638873,0.381,0.074,0,"5","ENSG00000310283"
0,6.22367472867615,0.172,0.003,0,"6","CRABP1"
0,4.0879138927292,0.217,0.014,0,"6","GDF10"
0,3.36690836501087,0.935,0.381,0,"6","APOD"
0,2.82657918743676,0.726,0.156,0,"6","CYP1B1"
0,2.74167115455381,0.71,0.178,0,"6","LEPR"
0,2.70337157998234,0.692,0.149,0,"6","GPC3"
