"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"0",0.174302152141487,0,0,0.930734292202877,0,0,0.292904290429043,0.000937207122774133,0,0.00657030223390276,0.005,0.0369127516778524,0.00910746812386157,0,0,0,0,0,0,0
"1",0.548902620924782,0.000347463516330785,0,0.0427706283118849,0,0.0207635632953784,0.0396039603960396,0.0253045923149016,0,0.0197109067017083,0.02,0.0738255033557047,0.0145719489981785,0,0,0,0.00829875518672199,0,0,0
"2",0,0.837734537873523,0,0.000757002271006813,0.000411353352529823,0.042866711319491,0,0.00468603561387067,0.00113636363636364,0.0591327201051248,0.0466666666666667,0.0218120805369128,0.103825136612022,0.0122850122850123,0.00530503978779841,0,0.302904564315353,0,0.0425531914893617,0.0412371134020619
"3",0,0,0.0350180505415162,0,0.989716166186754,0.000669792364367046,0,0,0.0102272727272727,0.00131406044678055,0.00166666666666667,0,0,0.0909090909090909,0.289124668435013,0,0,0.00418410041841004,0.0709219858156028,0
"4",0.176006818666098,0.00521195274496178,0,0,0,0.892833221701273,0.0734323432343234,0.0056232427366448,0,0.0131406044678055,0.00833333333333333,0.177852348993289,0.0127504553734062,0,0,0,0.00829875518672199,0,0.00709219858156028,0
"5",0,0.00104239054899236,0.735379061371841,0,0.00411353352529823,0,0,0.0056232427366448,0.0215909090909091,0,0,0,0.00546448087431694,0.00491400491400491,0.00530503978779841,0.016,0,0.158995815899582,0,0
"6",0.00021308331557639,0.000347463516330785,0.209747292418773,0,0.00287947346770876,0,0,0,0.944318181818182,0.0026281208935611,0,0,0.00546448087431694,0.0515970515970516,0.188328912466843,0.922666666666667,0,0,0.00709219858156028,0
"7",0.0066055827828681,0.00173731758165393,0.0162454873646209,0.0230885692657078,0.00123406005758947,0.00200937709310114,0.0198019801980198,0,0.0181818181818182,0.731931668856767,0.005,0.00167785234899329,0.0400728597449909,0.808353808353808,0.0185676392572944,0.0186666666666667,0.00829875518672199,0.00418410041841004,0.00709219858156028,0
"8",0.0858725761772853,0.00347463516330785,0,0.00113550340651022,0,0.0354989953114535,0.0255775577557756,0.0234301780693533,0,0.0183968462549277,0.02,0.674496644295302,0,0.00245700245700246,0.0026525198938992,0,0.261410788381743,0,0.0425531914893617,0.0206185567010309
"9",0.00021308331557639,0.00764419735927728,0.00144404332129964,0,0,0.000669792364367046,0.000825082508250825,0.820056232427366,0.00113636363636364,0,0.025,0.00503355704697987,0.114754098360656,0,0,0.00266666666666667,0.016597510373444,0.00418410041841004,0.0283687943262411,0.0103092783505155
"13",0.00745791604517366,0,0,0.000757002271006813,0,0.00133958472873409,0.536303630363036,0,0.00113636363636364,0.00394218134034166,0.00666666666666667,0.00335570469798658,0,0,0,0,0,0,0,0
"14",0,0.00799166087560806,0,0.000378501135503407,0,0.00200937709310114,0.0115511551155116,0.0149953139643861,0,0.0105124835742444,0.451666666666667,0,0.227686703096539,0,0,0,0.00829875518672199,0,0,0.0103092783505155
"15",0,0.0128561501042391,0.00144404332129964,0.000378501135503407,0.000411353352529823,0.000669792364367046,0,0.0309278350515464,0.00227272727272727,0.124835742444152,0.005,0,0.424408014571949,0.00982800982800983,0,0,0.016597510373444,0,0.0354609929078014,0
"16",0.000426166631152781,0.0677553856845031,0,0,0,0.000669792364367046,0,0.0234301780693533,0,0.00394218134034166,0.0216666666666667,0.00335570469798658,0,0,0,0.00533333333333333,0.327800829875519,0,0.0141843971631206,0.65979381443299
"17",0,0.00868658790826963,0,0,0,0,0,0.0290534208059981,0,0,0.38,0.00167785234899329,0,0,0.00530503978779841,0.0106666666666667,0.029045643153527,0,0,0.257731958762887
"18",0,0,0,0,0.00123406005758947,0,0,0,0,0,0.00166666666666667,0,0,0.00982800982800983,0.485411140583554,0.024,0,0,0.730496453900709,0
"20",0,0.00138985406532314,0.000722021660649819,0,0,0,0,0.0028116213683224,0,0.00394218134034166,0.00166666666666667,0,0.0273224043715847,0.00982800982800983,0,0,0,0.828451882845188,0,0
"22",0,0.0437804030576789,0,0,0,0,0,0.0131208997188379,0,0,0,0,0.0145719489981785,0,0,0,0.012448132780083,0,0.0141843971631206,0
