"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"0",818,0,0,2459,0,0,355,1,0,5,3,22,5,0,0,0,0,0,0,0
"1",2576,1,0,113,0,31,48,27,0,15,12,44,8,0,0,0,2,0,0,0
"2",0,2411,0,2,1,64,0,5,1,45,28,13,57,5,2,0,73,0,6,4
"3",0,0,97,0,2406,1,0,0,9,1,1,0,0,37,109,0,0,1,10,0
"4",826,15,0,0,0,1333,89,6,0,10,5,106,7,0,0,0,2,0,1,0
"5",0,3,2037,0,10,0,0,6,19,0,0,0,3,2,2,6,0,38,0,0
"6",1,1,581,0,7,0,0,0,831,2,0,0,3,21,71,346,0,0,1,0
"7",31,5,45,61,3,3,24,0,16,557,3,1,22,329,7,7,2,1,1,0
"8",403,10,0,3,0,53,31,25,0,14,12,402,0,1,1,0,63,0,6,2
"9",1,22,4,0,0,1,1,875,1,0,15,3,63,0,0,1,4,1,4,1
"13",35,0,0,2,0,2,650,0,1,3,4,2,0,0,0,0,0,0,0,0
"14",0,23,0,1,0,3,14,16,0,8,271,0,125,0,0,0,2,0,0,1
"15",0,37,4,1,1,1,0,33,2,95,3,0,233,4,0,0,4,0,5,0
"16",2,195,0,0,0,1,0,25,0,3,13,2,0,0,0,2,79,0,2,64
"17",0,25,0,0,0,0,0,31,0,0,228,1,0,0,2,4,7,0,0,25
"18",0,0,0,0,3,0,0,0,0,0,1,0,0,4,183,9,0,0,103,0
"20",0,4,2,0,0,0,0,3,0,3,1,0,15,4,0,0,0,198,0,0
"22",0,126,0,0,0,0,0,14,0,0,0,0,8,0,0,0,3,0,2,0
