"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",5064,"1;2","","","",""
"1",4770,"0","","","",""
"2",4218,"2;6","","","",""
"3",3171,"3","","","",""
"4",2473,"9;2;18","","","",""
"5",2273,"0;15","","","",""
"6",2129,"10","","","",""
"7",1523,"6;4;17","","","",""
"8",1435,"8;0","","","",""
"9",1292,"7;1","","","",""
"10",1222,"4;1","","","",""
"11",1016,"12","","","",""
"12",973,"7;4;0","","","",""
"13",820,"14","","","",""
"14",792,"4","","","",""
"15",748,"8;1","","","",""
"16",741,"16","","","",""
"17",459,"13","","","",""
"18",459,"20","","","",""
"19",268,"18;13","","","",""
"20",238,"17;13","","","",""
