"cluster","group","n_cells"
"0","CNP0000460",1194
"1","CNP0000460",809
"10","CNP0000460",128
"11","CNP0000460",257
"12","CNP0000460",201
"13","CNP0000460",221
"14","CNP0000460",73
"15","CNP0000460",100
"16","CNP0000460",129
"17","CNP0000460",20
"18","CNP0000460",104
"19","CNP0000460",6
"2","CNP0000460",982
"3","CNP0000460",915
"4","CNP0000460",8
"5","CNP0000460",375
"7","CNP0000460",159
"8","CNP0000460",317
"9","CNP0000460",540
"0","GSE326225",42
"1","GSE326225",182
"10","GSE326225",3
"11","GSE326225",32
"12","GSE326225",3
"13","GSE326225",53
"14","GSE326225",3
"15","GSE326225",26
"16","GSE326225",13
"17","GSE326225",43
"18","GSE326225",23
"19","GSE326225",25
"2","GSE326225",29
"20","GSE326225",23
"3","GSE326225",88
"4","GSE326225",18
"5","GSE326225",178
"6","GSE326225",38
"7","GSE326225",204
"8","GSE326225",87
"9","GSE326225",7
"0","HRA003620",3398
"1","HRA003620",1420
"10","HRA003620",906
"11","HRA003620",282
"12","HRA003620",606
"13","HRA003620",228
"14","HRA003620",658
"15","HRA003620",389
"16","HRA003620",306
"17","HRA003620",122
"18","HRA003620",154
"19","HRA003620",74
"2","HRA003620",2423
"20","HRA003620",23
"3","HRA003620",1191
"4","HRA003620",33
"5","HRA003620",447
"7","HRA003620",643
"8","HRA003620",274
"9","HRA003620",588
"0","InhouseData",13
"1","InhouseData",1491
"10","InhouseData",27
"11","InhouseData",280
"12","InhouseData",20
"13","InhouseData",126
"14","InhouseData",1
"15","InhouseData",136
"16","InhouseData",116
"17","InhouseData",207
"18","InhouseData",130
"19","InhouseData",142
"2","InhouseData",414
"20","InhouseData",192
"3","InhouseData",494
"4","InhouseData",2243
"5","InhouseData",848
"6","InhouseData",2091
"7","InhouseData",337
"8","InhouseData",648
"9","InhouseData",34
"0","PRJNA662018",417
"1","PRJNA662018",868
"10","PRJNA662018",158
"11","PRJNA662018",165
"12","PRJNA662018",143
"13","PRJNA662018",192
"14","PRJNA662018",57
"15","PRJNA662018",97
"16","PRJNA662018",177
"17","PRJNA662018",67
"18","PRJNA662018",48
"19","PRJNA662018",21
"2","PRJNA662018",370
"3","PRJNA662018",483
"4","PRJNA662018",171
"5","PRJNA662018",425
"7","PRJNA662018",180
"8","PRJNA662018",109
"9","PRJNA662018",123
