"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.235781990521327
"1","CNP0000460",0.169601677148847
"10","CNP0000460",0.104746317512275
"11","CNP0000460",0.252952755905512
"12","CNP0000460",0.206577595066804
"13","CNP0000460",0.269512195121951
"14","CNP0000460",0.0921717171717172
"15","CNP0000460",0.133689839572193
"16","CNP0000460",0.174089068825911
"17","CNP0000460",0.0435729847494553
"18","CNP0000460",0.226579520697168
"19","CNP0000460",0.0223880597014925
"2","CNP0000460",0.232811759127549
"3","CNP0000460",0.288552507095553
"4","CNP0000460",0.00323493732308936
"5","CNP0000460",0.164980202375715
"7","CNP0000460",0.104399212081418
"8","CNP0000460",0.220905923344948
"9","CNP0000460",0.417956656346749
"0","GSE326225",0.00829383886255924
"1","GSE326225",0.0381551362683438
"10","GSE326225",0.00245499181669394
"11","GSE326225",0.031496062992126
"12","GSE326225",0.00308324768756423
"13","GSE326225",0.0646341463414634
"14","GSE326225",0.00378787878787879
"15","GSE326225",0.0347593582887701
"16","GSE326225",0.0175438596491228
"17","GSE326225",0.093681917211329
"18","GSE326225",0.0501089324618736
"19","GSE326225",0.0932835820895522
"2","GSE326225",0.00687529634898056
"20","GSE326225",0.0966386554621849
"3","GSE326225",0.0277514979501734
"4","GSE326225",0.00727860897695107
"5","GSE326225",0.0783106027276727
"6","GSE326225",0.017848755284171
"7","GSE326225",0.133946158896914
"8","GSE326225",0.0606271777003484
"9","GSE326225",0.00541795665634675
"0","HRA003620",0.671011058451817
"1","HRA003620",0.29769392033543
"10","HRA003620",0.741407528641571
"11","HRA003620",0.27755905511811
"12","HRA003620",0.622816032887975
"13","HRA003620",0.278048780487805
"14","HRA003620",0.830808080808081
"15","HRA003620",0.520053475935829
"16","HRA003620",0.412955465587045
"17","HRA003620",0.265795206971678
"18","HRA003620",0.335511982570806
"19","HRA003620",0.276119402985075
"2","HRA003620",0.574442863916548
"20","HRA003620",0.0966386554621849
"3","HRA003620",0.375591296121097
"4","HRA003620",0.0133441164577436
"5","HRA003620",0.196656401231852
"7","HRA003620",0.422193040052528
"8","HRA003620",0.190940766550523
"9","HRA003620",0.455108359133127
"0","InhouseData",0.00256714060031596
"1","InhouseData",0.312578616352201
"10","InhouseData",0.0220949263502455
"11","InhouseData",0.275590551181102
"12","InhouseData",0.0205549845837616
"13","InhouseData",0.153658536585366
"14","InhouseData",0.00126262626262626
"15","InhouseData",0.181818181818182
"16","InhouseData",0.156545209176788
"17","InhouseData",0.450980392156863
"18","InhouseData",0.28322440087146
"19","InhouseData",0.529850746268657
"2","InhouseData",0.0981507823613087
"20","InhouseData",0.80672268907563
"3","InhouseData",0.155786818038474
"4","InhouseData",0.906995551961181
"5","InhouseData",0.373075230972283
"6","InhouseData",0.982151244715829
"7","InhouseData",0.221273801707157
"8","InhouseData",0.451567944250871
"9","InhouseData",0.0263157894736842
"0","PRJNA662018",0.082345971563981
"1","PRJNA662018",0.181970649895178
"10","PRJNA662018",0.129296235679214
"11","PRJNA662018",0.16240157480315
"12","PRJNA662018",0.146968139773895
"13","PRJNA662018",0.234146341463415
"14","PRJNA662018",0.071969696969697
"15","PRJNA662018",0.129679144385027
"16","PRJNA662018",0.238866396761134
"17","PRJNA662018",0.145969498910675
"18","PRJNA662018",0.104575163398693
"19","PRJNA662018",0.0783582089552239
"2","PRJNA662018",0.087719298245614
"3","PRJNA662018",0.152317880794702
"4","PRJNA662018",0.0691467852810352
"5","PRJNA662018",0.186977562692477
"7","PRJNA662018",0.118187787261983
"8","PRJNA662018",0.0759581881533101
"9","PRJNA662018",0.0952012383900929
