"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.0254739336492891
"1","CNP0000460_P01N",0.0190775681341719
"10","CNP0000460_P01N",0.00654664484451719
"11","CNP0000460_P01N",0.00688976377952756
"12","CNP0000460_P01N",0.0195272353545735
"13","CNP0000460_P01N",0.00853658536585366
"14","CNP0000460_P01N",0.0176767676767677
"15","CNP0000460_P01N",0.0106951871657754
"16","CNP0000460_P01N",0.0175438596491228
"18","CNP0000460_P01N",0.00435729847494553
"19","CNP0000460_P01N",0.00373134328358209
"2","CNP0000460_P01N",0.0244191559981034
"3","CNP0000460_P01N",0.0204982655313781
"4","CNP0000460_P01N",0.000404367165386171
"5","CNP0000460_P01N",0.00835899692036956
"7","CNP0000460_P01N",0.00853578463558766
"8","CNP0000460_P01N",0.0139372822299652
"9","CNP0000460_P01N",0.0541795665634675
"0","CNP0000460_P01T",0.0165876777251185
"1","CNP0000460_P01T",0.0090146750524109
"10","CNP0000460_P01T",0.00736497545008183
"11","CNP0000460_P01T",0.0078740157480315
"12","CNP0000460_P01T",0.00822199383350463
"13","CNP0000460_P01T",0.0134146341463415
"14","CNP0000460_P01T",0.00126262626262626
"15","CNP0000460_P01T",0.0200534759358289
"16","CNP0000460_P01T",0.0067476383265857
"17","CNP0000460_P01T",0.00217864923747277
"18","CNP0000460_P01T",0.00217864923747277
"2","CNP0000460_P01T",0.010194404931247
"3","CNP0000460_P01T",0.00536108483128351
"5","CNP0000460_P01T",0.0114386273647162
"7","CNP0000460_P01T",0.00656598818122127
"8","CNP0000460_P01T",0.0229965156794425
"9","CNP0000460_P01T",0.0201238390092879
"0","CNP0000460_P02N",0.00928120063191153
"1","CNP0000460_P02N",0.00272536687631027
"10","CNP0000460_P02N",0.00409165302782324
"11","CNP0000460_P02N",0.00984251968503937
"12","CNP0000460_P02N",0.00719424460431655
"13","CNP0000460_P02N",0.0024390243902439
"14","CNP0000460_P02N",0.00631313131313131
"15","CNP0000460_P02N",0.00133689839572193
"16","CNP0000460_P02N",0.00539811066126856
"17","CNP0000460_P02N",0.00217864923747277
"18","CNP0000460_P02N",0.0522875816993464
"2","CNP0000460_P02N",0.00972024656235182
"3","CNP0000460_P02N",0.00662251655629139
"4","CNP0000460_P02N",0.000404367165386171
"5","CNP0000460_P02N",0.0043994720633524
"7","CNP0000460_P02N",0.00393959290873276
"8","CNP0000460_P02N",0.00557491289198606
"9","CNP0000460_P02N",0.0139318885448916
"0","CNP0000460_P02T",0.021129541864139
"1","CNP0000460_P02T",0.00566037735849057
"10","CNP0000460_P02T",0.000818330605564648
"11","CNP0000460_P02T",0.0767716535433071
"12","CNP0000460_P02T",0.00513874614594039
"13","CNP0000460_P02T",0.0158536585365854
"14","CNP0000460_P02T",0.00126262626262626
"15","CNP0000460_P02T",0.0347593582887701
"16","CNP0000460_P02T",0.0229419703103914
"18","CNP0000460_P02T",0.0217864923747277
"19","CNP0000460_P02T",0.0111940298507463
"2","CNP0000460_P02T",0.0161213845424372
"3","CNP0000460_P02T",0.0189214758751183
"4","CNP0000460_P02T",0.000808734330772341
"5","CNP0000460_P02T",0.00747910250769908
"7","CNP0000460_P02T",0.0124753775443204
"8","CNP0000460_P02T",0.0202090592334495
"9","CNP0000460_P02T",0.0410216718266254
"0","CNP0000460_P03N",0.0278436018957346
"1","CNP0000460_P03N",0.0148846960167715
"10","CNP0000460_P03N",0.00736497545008183
"11","CNP0000460_P03N",0.0127952755905512
"12","CNP0000460_P03N",0.00616649537512847
"13","CNP0000460_P03N",0.0109756097560976
"14","CNP0000460_P03N",0.0138888888888889
"15","CNP0000460_P03N",0.00267379679144385
"16","CNP0000460_P03N",0.0134952766531714
"17","CNP0000460_P03N",0.00217864923747277
"18","CNP0000460_P03N",0.0305010893246187
"2","CNP0000460_P03N",0.034850640113798
"3","CNP0000460_P03N",0.0406811731315043
"5","CNP0000460_P03N",0.0184777826660801
"7","CNP0000460_P03N",0.00984898227183191
"8","CNP0000460_P03N",0.021602787456446
"9","CNP0000460_P03N",0.053405572755418
"0","CNP0000460_P03T",0.037914691943128
"1","CNP0000460_P03T",0.0251572327044025
"10","CNP0000460_P03T",0.00818330605564648
"11","CNP0000460_P03T",0.0334645669291339
"12","CNP0000460_P03T",0.02672147995889
"13","CNP0000460_P03T",0.0670731707317073
"14","CNP0000460_P03T",0.0214646464646465
"15","CNP0000460_P03T",0.0280748663101604
"16","CNP0000460_P03T",0.0215924426450742
"17","CNP0000460_P03T",0.0065359477124183
"18","CNP0000460_P03T",0.0108932461873638
"19","CNP0000460_P03T",0.00746268656716418
"2","CNP0000460_P03T",0.0410146989094358
"3","CNP0000460_P03T",0.0778934090192368
"4","CNP0000460_P03T",0.00121310149615851
"5","CNP0000460_P03T",0.0448746150461945
"7","CNP0000460_P03T",0.0137885751805647
"8","CNP0000460_P03T",0.0508710801393728
"9","CNP0000460_P03T",0.0804953560371517
"0","CNP0000460_P04T",0.00829383886255924
"1","CNP0000460_P04T",0.0169811320754717
