"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",5064,44,5,0.177132701421801,"HRA003620_NC-30",0.671011058451817,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"1",4770,58,5,0.0769392033542977,"HRA003620_BC-30",0.312578616352201,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"2",4218,49,5,0.217638691322902,"HRA003620_NC-04",0.574442863916548,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"3",3171,56,5,0.0791548407442447,"HRA003620_NC-30",0.375591296121097,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"4",2473,38,5,0.367974120501415,"T4466585",0.906995551961181,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"5",2273,58,5,0.062472503299604,"T4398343",0.373075230972283,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"6",2129,16,2,0.164866134335369,"T4091568",0.982151244715829,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"7",1523,57,5,0.121470781352594,"HRA003620_BC-30",0.422193040052528,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"8",1435,56,5,0.10383275261324,"T4398343",0.451567944250871,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"9",1292,48,5,0.102941176470588,"HRA003620_NC-30",0.455108359133127,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"10",1222,45,5,0.150572831423895,"HRA003620_NC-30",0.741407528641571,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"11",1016,53,5,0.103346456692913,"T4398343",0.27755905511811,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"12",973,47,5,0.109969167523124,"HRA003620_NC-30",0.622816032887975,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"13",820,52,5,0.0914634146341463,"CNP0000460_P06T",0.278048780487805,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"14",792,38,5,0.380050505050505,"HRA003620_NC-30",0.830808080808081,"HRA003620",FALSE,TRUE,FALSE,FALSE,FALSE
"15",748,49,5,0.199197860962567,"HRA003620_BC-30",0.520053475935829,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"16",741,54,5,0.102564102564103,"HRA003620_NC-30",0.412955465587045,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"17",459,44,5,0.159041394335512,"T4398343",0.450980392156863,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"18",459,50,5,0.111111111111111,"HRA003620_NC-30",0.335511982570806,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"19",268,41,5,0.380597014925373,"T4469479",0.529850746268657,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"20",238,23,3,0.210084033613445,"T4398343",0.80672268907563,"InhouseData",FALSE,TRUE,FALSE,FALSE,FALSE
