"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.01452777512683,0.938,0.361,0,"0","EREG"
0,1.35193723128011,0.84,0.318,0,"0","FCN1"
0,1.31850619553037,0.854,0.37,0,"0","VCAN"
0,0.896559901411815,0.843,0.365,0,"0","AQP9"
0,1.74079705824187,0.947,0.49,0,"0","IL1B"
0,1.82945908040326,0.71,0.253,0,"0","CD300E"
0,1.92919031948207,0.789,0.334,0,"0","NLRP3"
0,1.84354038618267,0.873,0.422,0,"0","CXCL2"
0,0.73505661956868,0.902,0.472,0,"0","S100A8"
0,1.64591957094068,0.716,0.295,0,"0","EHD1"
0,0.841202844574465,0.639,0.226,0,"0","S100A12"
0,1.67205549966724,0.79,0.386,0,"0","IL1RN"
0,1.88798878610787,0.7,0.298,0,"0","CXCL3"
0,1.73681074365037,0.681,0.299,0,"0","THBS1"
0,1.40819398931522,0.681,0.303,0,"0","ENSG00000293060"
0,1.8963623040765,0.529,0.154,0,"0","ENSG00000274213"
0,0.941664986078553,0.726,0.355,0,"0","PTGS2"
0,1.58821806821167,0.636,0.272,0,"0","MAP3K20"
0,2.47802001415078,0.565,0.202,0,"0","CCL3L3"
0,1.71850664381574,0.639,0.279,0,"0","WARS1"
0,1.62737810105019,0.651,0.295,0,"0","PID1"
0,2.05885616843306,0.537,0.182,0,"0","MAILR"
0,1.38003596335647,0.701,0.346,0,"0","ANPEP"
0,1.24045478883452,0.686,0.333,0,"0","ATP2B1-AS1"
0,1.09965492987726,0.774,0.432,0,"0","CYRIA"
0,1.09293517421687,0.976,0.634,0,"0","H3-3B"
0,0.757437334073163,0.959,0.619,0,"0","RPL35A"
0,0.638112988968656,0.965,0.625,0,"0","RPL21"
0,1.48962414939201,0.579,0.239,0,"0","PLCB1"
0,0.862714897821825,0.97,0.63,0,"0","RPS16"
0,1.07453264531456,0.714,0.376,0,"0","LINC01619"
0,2.24648490309728,0.445,0.108,0,"0","ENSG00000304732"
0,0.895240959145884,0.952,0.616,0,"0","RPS13"
0,0.734731323136089,0.93,0.596,0,"0","RPL24"
0,0.592489340666233,0.961,0.627,0,"0","RPS23"
0,0.593251645007205,0.942,0.608,0,"0","RPS21"
0,0.917790543880495,0.974,0.64,0,"0","RPS9"
0,1.54591639408203,0.484,0.15,0,"0","FCAR"
0,0.738663180773296,0.967,0.633,0,"0","RPL18A"
0,0.609870779263313,0.92,0.587,0,"0","RPL27"
0,0.700048989005399,0.942,0.609,0,"0","RPL9"
