"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.47802001415078,0.565,0.202,0,"0","CCL3L3"
0,2.42636772523879,0.176,0.038,0,"0","MN1"
0,2.369116813643,0.199,0.034,0,"0","MTND5P32"
0,2.29599790641323,0.206,0.038,0,"0","ENSG00000310025"
0,2.29394283997815,0.188,0.044,0,"0","ENSG00000289526"
0,2.2513916152022,0.308,0.091,0,"0","TNIP3"
0,2.24648490309728,0.445,0.108,0,"0","ENSG00000304732"
0,2.22411763145505,0.284,0.084,0,"0","IL6"
0,2.21138303404908,0.205,0.048,0,"0","ENSG00000299339"
0,2.17548247234408,0.193,0.043,0,"0","ENSG00000287535"
0,3.80365431421656,0.106,0.01,0,"1","LINC02712"
0,3.76198792237776,0.181,0.018,0,"1","EDA"
0,3.60999693403658,0.14,0.022,0,"1","LYVE1"
0,3.55321878005363,0.221,0.03,0,"1","KCNQ3"
0,3.55056995249335,0.186,0.019,0,"1","IGSF21"
0,3.36541114041482,0.232,0.046,0,"1","NCKAP5"
0,3.33541608169336,0.129,0.014,0,"1","CXCL12"
0,3.29679776229824,0.395,0.063,0,"1","ME1"
0,3.24063638746817,0.624,0.105,0,"1","SELENOP"
0,3.2027871419912,0.219,0.032,0,"1","EYA2"
0,4.14709877583185,0.112,0.007,0,"2","ENSG00000289150"
0,3.84979609963446,0.113,0.011,0,"2","HP"
0,2.98162295163546,0.77,0.219,0,"2","S100A12"
0,2.77778284335712,0.93,0.48,0,"2","S100A8"
0,2.6982488416246,0.947,0.653,0,"2","S100A9"
0,2.61599223057692,0.396,0.068,0,"2","PROK2"
0,2.54381671192952,0.61,0.16,0,"2","MCTP2"
0,2.44377716354803,0.228,0.047,0,"2","STEAP4"
0,2.44021969255907,0.388,0.098,0,"2","RBP7"
0,2.36195375750576,0.23,0.06,0,"2","MIR223HG"
0,5.78607593538381,0.183,0.004,0,"3","CD207"
0,5.16869287419077,0.599,0.033,0,"3","CD1C"
0,5.16087562099908,0.238,0.009,0,"3","CD1A"
0,4.63810335418238,0.433,0.024,0,"3","CD1E"
0,4.59226141832058,0.54,0.031,0,"3","FCER1A"
0,4.5616732038152,0.118,0.006,0,"3","CLEC4F"
0,3.78627504869452,0.119,0.009,0,"3","ENSG00000176320"
0,3.72430548363744,0.349,0.031,0,"3","PPP1R14A"
0,3.63520824199102,0.141,0.01,0,"3","CD1B"
0,3.53241337775467,0.653,0.099,0,"3","PKIB"
0,6.42109236336752,0.488,0.012,0,"4","AC006369.1"
0,6.25981379602339,0.461,0.024,0,"4","AL049651.1"
0,6.22314079544978,0.131,0.003,0,"4","AC022498.1"
0,6.21223130155387,0.535,0.021,0,"4","AC005050.3"
0,6.05725500024903,0.139,0.006,0,"4","AC093425.1"
0,5.98405894588245,0.258,0.016,0,"4","FBXL13"
0,5.9199106085743,0.246,0.012,0,"4","AC004917.1"
0,5.80925252854063,0.502,0.015,0,"4","FCGR3B"
0,5.79930133430755,0.169,0.008,0,"4","CXCR2"
0,5.60931816961337,0.121,0.01,0,"4","AC009303.2"
0,3.45603937342289,0.289,0.059,0,"5","CCL18"
0,3.23827102552935,0.832,0.268,0,"5","APOC1"
0,3.19795470887317,0.858,0.276,0,"5","APOE"
0,2.99774211205992,0.271,0.057,0,"5","NUPR1"
0,2.85427321463855,0.452,0.14,0,"5","FUCA1"
0,2.61389510025168,0.51,0.13,0,"5","SLC40A1"
0,2.60949907716856,0.733,0.23,0,"5","GPNMB"
0,2.60785353518664,0.559,0.155,0,"5","TREM2"
0,2.54688671441126,0.648,0.245,0,"5","ACP5"
0,2.51486358878014,0.941,0.359,0,"5","C1QB"
0,4.66756457080533,0.189,0.009,0,"6","AC013652.1"
0,4.51162774620642,0.215,0.01,0,"6","BTBD11"
0,4.43472039384858,0.17,0.011,0,"6","AL157871.4"
0,4.30663483796714,0.132,0.006,0,"6","AC037198.1"
0,4.1081042920114,0.106,0.005,0,"6","AL133330.1"
0,3.93493999675453,0.594,0.065,0,"6","WARS"
0,3.73496134049054,0.112,0.008,0,"6","AC139099.2"
0,3.7144386721989,0.319,0.025,0,"6","AL138720.1"
0,3.69114341868945,0.21,0.014,0,"6","CDC42EP2"
0,3.69033716852741,0.123,0.008,0,"6","CRLF2"
8.44349207836301e-105,1.54748574965601,0.597,0.434,7.60007165465533e-100,"7","AOAH"
4.66647513927209e-103,2.44996627648206,0.113,0.023,4.2003409376102e-98,"7","ENSG00000289901"
1.15899307084489e-92,0.854584360169726,0.827,0.779,1.04322125299819e-87,"7","S100A4"
7.93972663938617e-91,0.75369413155925,0.867,0.854,7.14662734537788e-86,"7","SH3BGRL3"
8.21421589051369e-90,0.64665480750505,0.915,0.896,7.39369786521028e-85,"7","S100A6"
4.26179644358597e-89,2.3846763436491,0.144,0.039,3.83608559683617e-84,"7","CCR2"
1.65585000519679e-85,1.0206054002381,0.599,0.382,1.49044714817768e-80,"7","FCN1"
3.88575373531966e-81,0.936903336031662,0.667,0.512,3.49760579469858e-76,"7","TXNIP"
7.33900143488717e-79,1.07852897932547,0.748,0.742,6.60590858155629e-74,"7","DPYD"
2.0554917061769e-72,0.56593607840323,0.899,0.91,1.85016863964689e-67,"7","ATP5F1E"
0,3.88603180678253,0.196,0.016,0,"8","TM4SF19"
0,3.0257596602649,0.714,0.212,0,"8","SPP1"
0,2.29341913788337,0.841,0.238,0,"8","GPNMB"
0,2.18611000639644,0.69,0.253,0,"8","ACP5"
0,2.12360548042342,0.939,0.707,0,"8","CSTB"
0,2.01685700499454,0.898,0.489,0,"8","CTSL"
0,1.98775862574247,0.544,0.154,0,"8","MMP19"
0,1.97391058290912,0.961,0.652,0,"8","CTSD"
0,1.70706075864026,0.976,0.744,0,"8","CTSB"
0,1.59446244375534,0.785,0.284,0,"8","APOC1"
0,2.3503103659921,0.684,0.207,0,"9","MIR155HG"
9.56169562295924e-311,3.17402862373463,0.285,0.046,8.60657784718184e-306,"9","MIR3142HG"
2.1284170199019e-292,1.93922002709473,0.728,0.29,1.9158094437839e-287,"9","KMO"
5.27792216651097e-268,1.91377783824918,0.858,0.476,4.75071052129819e-263,"9","ALCAM"
9.01193690284693e-268,1.78259328434984,0.67,0.256,8.11173452562155e-263,"9","NRP2"
1.14299317207961e-264,2.77514229460469,0.525,0.168,1.02881958412058e-259,"9","LNCAROD"
1.91939854939288e-256,2.02908345749531,0.477,0.138,1.72766982829402e-251,"9","ENSG00000291233"
6.00521671553742e-254,1.81792588344935,0.611,0.216,5.40535561782239e-249,"9","SLC30A4-AS1"
1.27051052341349e-246,1.71375206640779,0.702,0.29,1.14359922722972e-241,"9","TRAF1"
1.63420347921247e-244,1.63374719427039,0.797,0.409,1.47096289367394e-239,"9","ABL2"
0,2.02279883234803,0.872,0.389,0,"10","BAG3"
0,1.84618347998057,0.955,0.572,0,"10","HSPA1B"
0,1.74261580879428,0.951,0.579,0,"10","HSPH1"
0,1.62401076253817,0.962,0.611,0,"10","DNAJB1"
0,1.56497031564467,0.975,0.713,0,"10","HSPA1A"
1.16697825957981e-302,1.48633823111589,0.987,0.897,1.05040880123039e-297,"10","HSP90AA1"
2.45067000869016e-302,1.66339728829492,0.936,0.603,2.2058725815221e-297,"10","HSPD1"
5.58089472797483e-282,2.06845600933606,0.745,0.327,5.02341915359742e-277,"10","HSPA6"
4.49552163086076e-254,1.93558676389177,0.764,0.367,4.04646397515408e-249,"10","ZFAND2A"
3.55872967598419e-242,1.88299637951413,0.714,0.323,3.20324816865013e-237,"10","DNAJA4"
0,8.92716353387687,0.25,0.001,0,"11","TUBB2B"
0,8.43230372481172,0.733,0.013,0,"11","CCL19"
0,8.19142008083345,0.315,0.002,0,"11","NCCRP1"
0,7.87331612843619,0.195,0.002,0,"11","INSM1"
0,7.77299112716204,0.178,0.002,0,"11","TNFRSF11B"
0,7.71676170541846,0.711,0.016,0,"11","ENOX1"
0,7.68970217782072,0.575,0.005,0,"11","CD200"
0,7.63343420133638,0.397,0.006,0,"11","DLGAP2"
