"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"0",0,0.837106918238994,0,0.000946073793755913,0,0.589089309282886,0.0103334899013621,0.00328299409061064,0.1198606271777,0.053405572755418,0.0114566284779051,0,0.156217882836588,0.0121951219512195,0.00378787878787879,0.036096256684492,0,0.0544662309368192,0.00217864923747277,0,0.0168067226890756
"1",0.713467614533965,0.00125786163522013,0.0211000474158369,0.000315357931251971,0,0.00175978882534096,0.0277125410991076,0.00393959290873276,0.0160278745644599,0.140866873065015,0.238952536824877,0.000984251968503937,0.00205549845837616,0,0.0164141414141414,0.136363636363636,0,0,0,0.0111940298507463,0.00420168067226891
"2",0.131121642969984,0.000209643605870021,0.774063537221432,0,0.129397492923575,0.00043994720633524,0.00328792860497886,0.0131319763624425,0,0,0.0016366612111293,0,0,0,0.00378787878787879,0.0053475935828877,0,0,0,0.00373134328358209,0
"3",0.00750394944707741,0.00356394129979036,0,0.920845159255755,0.000404367165386171,0,0.0286519492719587,0.00328299409061064,0.000696864111498258,0.0696594427244582,0.00245499181669394,0.0118110236220472,0.0184994861253854,0.00853658536585366,0.00126262626262626,0.00133689839572193,0,0.0261437908496732,0.0196078431372549,0,0.0252100840336134
"4",0.0150078988941548,0.00293501048218029,0.0106685633001422,0.00851466414380322,0.00404367165386171,0,0.0216063879755754,0.287590282337492,0.00278745644599303,0.00309597523219814,0.596563011456628,0,0.285714285714286,0,0.917929292929293,0.0160427807486631,0,0.00435729847494553,0.00217864923747277,0.00373134328358209,0.0210084033613445
"6",0.0624012638230648,0.000419287211740042,0.165955429113324,0.0186061179438663,0.0808734330772341,0.0105587329520458,0.00469704086425552,0.398555482600131,0.00139372822299652,0,0.0777414075286416,0.00295275590551181,0.00102774922918808,0.0024390243902439,0.0366161616161616,0.0133689839572193,0,0,0,0.0111940298507463,0.00420168067226891
"7",0.00217219589257504,0.059748427672956,0,0.033112582781457,0,0.0021997360316762,0.0713950211366839,0,0.0850174216027875,0.678018575851393,0.0188216039279869,0.000984251968503937,0.441932168550874,0.00365853658536585,0,0.00935828877005348,0,0.0108932461873638,0,0.00373134328358209,0
"8",0.00355450236966825,0.00607966457023061,0,0.0022075055187638,0.000404367165386171,0.0325560932688077,0.0399248473461719,0.00590938936309915,0.710104529616725,0.0301857585139319,0.00245499181669394,0,0.00616649537512847,0.00121951219512195,0.00378787878787879,0.764705882352941,0,0.0108932461873638,0,0.00373134328358209,0.00420168067226891
"9",0.000394944707740916,0,0.0184921763869132,0,0.661544682571775,0.00043994720633524,0.00328792860497886,0.0111621799080762,0,0,0,0,0,0,0.00126262626262626,0.00133689839572193,0,0,0,0,0
"10",0,0.000628930817610063,0.000237079184447606,0,0.00485240598463405,0,0.682949741662752,0,0.00139372822299652,0,0,0,0,0,0,0,0,0,0,0,0.0168067226890756
"12",0,0,0,0.000946073793755913,0,0,0,0,0,0,0,0.981299212598425,0,0,0,0,0.00134952766531714,0.0065359477124183,0.00217864923747277,0,0
"13",0.000789889415481833,0.0408805031446541,0,0.00283822138126774,0,0.0255169379674439,0.049318929074683,0.0111621799080762,0.00766550522648084,0.00928792569659443,0.0106382978723404,0.000984251968503937,0.0565262076053443,0.00121951219512195,0,0.00267379679144385,0,0.840958605664488,0,0.302238805970149,0.184873949579832
"14",0,0.00419287211740042,0,0.000946073793755913,0,0.00703915530136384,0.000469704086425552,0.00196979645436638,0.000696864111498258,0.000773993808049536,0,0,0.0092497430626927,0.968292682926829,0,0.00133689839572193,0.00134952766531714,0.0065359477124183,0,0,0
"15",0.000394944707740916,0.00188679245283019,0,0.000630715862503942,0.000808734330772341,0.326880774307083,0,0.0328299409061064,0.0118466898954704,0.00154798761609907,0.00245499181669394,0,0,0.00121951219512195,0,0.0053475935828877,0,0.00871459694989107,0,0.00373134328358209,0
"16",0,0,0,0.0022075055187638,0,0,0,0,0,0,0,0.000984251968503937,0.00102774922918808,0.00121951219512195,0.00126262626262626,0,0.997300944669366,0,0,0,0
"17",0.00138230647709321,0.00272536687631027,0.000474158368895211,0.00126143172500788,0.000808734330772341,0.00307963044434668,0.0526068576796618,0.205515430072226,0.00139372822299652,0,0.00981996726677578,0,0.00205549845837616,0,0.00126262626262626,0.00267379679144385,0,0.0196078431372549,0,0.0186567164179104,0.621848739495798
"18",0.00355450236966825,0,0.00900900900900901,0,0.115649009300445,0,0.00281822451855331,0.0124753775443204,0.000696864111498258,0,0.0122749590834697,0,0,0,0.00126262626262626,0,0,0,0,0.638059701492537,0.0126050420168067
"20",0.000197472353870458,0,0,0.000315357931251971,0.000404367165386171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973856209150327,0,0
"21",0.0576619273301738,0.0010482180293501,0,0.00473036896877956,0,0,0,0.00131319763624425,0.00139372822299652,0.00928792569659443,0.0130932896890344,0,0.0102774922918808,0,0.0101010101010101,0.00401069518716578,0,0,0,0,0.00420168067226891
"22",0.000394944707740916,0.0373165618448637,0,0.00157678965625985,0.000808734330772341,0.00043994720633524,0.000939408172851104,0.00787918581746553,0.0390243902439024,0.00386996904024768,0.0016366612111293,0,0.0092497430626927,0,0.00126262626262626,0,0,0.0108932461873638,0,0,0.0840336134453782
