"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"0",0,3993,0,3,0,1339,22,5,172,69,14,0,152,10,3,27,0,25,1,0,4
"1",3613,6,89,1,0,4,59,6,23,182,292,1,2,0,13,102,0,0,0,3,1
"2",664,1,3265,0,320,1,7,20,0,0,2,0,0,0,3,4,0,0,0,1,0
"3",38,17,0,2920,1,0,61,5,1,90,3,12,18,7,1,1,0,12,9,0,6
"4",76,14,45,27,10,0,46,438,4,4,729,0,278,0,727,12,0,2,1,1,5
"6",316,2,700,59,200,24,10,607,2,0,95,3,1,2,29,10,0,0,0,3,1
"7",11,285,0,105,0,5,152,0,122,876,23,1,430,3,0,7,0,5,0,1,0
"8",18,29,0,7,1,74,85,9,1019,39,3,0,6,1,3,572,0,5,0,1,1
"9",2,0,78,0,1636,1,7,17,0,0,0,0,0,0,1,1,0,0,0,0,0
"10",0,3,1,0,12,0,1454,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"12",0,0,0,3,0,0,0,0,0,0,0,997,0,0,0,0,1,3,1,0,0
"13",4,195,0,9,0,58,105,17,11,12,13,1,55,1,0,2,0,386,0,81,44
"14",0,20,0,3,0,16,1,3,1,1,0,0,9,794,0,1,1,3,0,0,0
"15",2,9,0,2,2,743,0,50,17,2,3,0,0,1,0,4,0,4,0,1,0
"16",0,0,0,7,0,0,0,0,0,0,0,1,1,1,1,0,739,0,0,0,0
"17",7,13,2,4,2,7,112,313,2,0,12,0,2,0,1,2,0,9,0,5,148
"18",18,0,38,0,286,0,6,19,1,0,15,0,0,0,1,0,0,0,0,171,3
"20",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0
"21",292,5,0,15,0,0,0,2,2,12,16,0,10,0,8,3,0,0,0,0,1
"22",2,178,0,5,2,1,2,12,56,5,2,0,9,0,1,0,0,5,0,0,20
