"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",15181,"0;9","","","",""
"1",13120,"6;5;15","","","",""
"2",12736,"4;1","","","",""
"3",10649,"3;7","","","",""
"4",8961,"1;16","","","",""
"5",8168,"10","","","",""
"6",7953,"8","","","",""
"7",7581,"2","","","",""
"8",6462,"11","","","",""
"9",6311,"9;2","","","",""
"10",5922,"13;14","","","",""
"11",5356,"7","","","",""
"12",4817,"12;1","","","",""
"13",4565,"5","","","",""
"14",3496,"2;3;1","","","",""
"15",3468,"6;10","","","",""
