"cluster","group","n_cells"
"0","CNP0000460",1794
"1","CNP0000460",2453
"10","CNP0000460",683
"11","CNP0000460",1453
"12","CNP0000460",700
"13","CNP0000460",9
"14","CNP0000460",274
"15","CNP0000460",987
"2","CNP0000460",2925
"3","CNP0000460",1926
"4","CNP0000460",2321
"5","CNP0000460",1952
"8","CNP0000460",706
"9","CNP0000460",2
"0","GSE326225",687
"1","GSE326225",414
"10","GSE326225",114
"11","GSE326225",120
"12","GSE326225",185
"13","GSE326225",5
"14","GSE326225",36
"15","GSE326225",182
"2","GSE326225",1704
"3","GSE326225",124
"4","GSE326225",267
"5","GSE326225",146
"6","GSE326225",3
"8","GSE326225",256
"9","GSE326225",4
"0","HRA003620",8446
"1","HRA003620",3587
"10","HRA003620",1794
"11","HRA003620",2152
"12","HRA003620",1600
"13","HRA003620",24
"14","HRA003620",1215
"15","HRA003620",1011
"2","HRA003620",4678
"3","HRA003620",6106
"4","HRA003620",3968
"5","HRA003620",3961
"7","HRA003620",6
"8","HRA003620",2017
"9","HRA003620",65
"0","InhouseData",2928
"1","InhouseData",4595
"10","InhouseData",2557
"11","InhouseData",100
"12","InhouseData",1634
"13","InhouseData",4524
"14","InhouseData",1511
"15","InhouseData",422
"2","InhouseData",720
"3","InhouseData",20
"4","InhouseData",241
"5","InhouseData",490
"6","InhouseData",7950
"7","InhouseData",7575
"8","InhouseData",2458
"9","InhouseData",6240
"0","PRJNA662018",1326
"1","PRJNA662018",2071
"10","PRJNA662018",774
"11","PRJNA662018",1531
"12","PRJNA662018",698
"13","PRJNA662018",3
"14","PRJNA662018",460
"15","PRJNA662018",866
"2","PRJNA662018",2709
"3","PRJNA662018",2473
"4","PRJNA662018",2164
"5","PRJNA662018",1619
"8","PRJNA662018",1025
