"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.118174033331138
"1","CNP0000460",0.186966463414634
"10","CNP0000460",0.115332657885849
"11","CNP0000460",0.271284540702016
"12","CNP0000460",0.1453186630683
"13","CNP0000460",0.00197152245345016
"14","CNP0000460",0.0783752860411899
"15","CNP0000460",0.284602076124567
"2","CNP0000460",0.229663944723618
"3","CNP0000460",0.180862052774908
"4","CNP0000460",0.259011271063497
"5","CNP0000460",0.23898139079334
"8","CNP0000460",0.109254100897555
"9","CNP0000460",0.000316906987799081
"0","GSE326225",0.0452539358408537
"1","GSE326225",0.0315548780487805
"10","GSE326225",0.0192502532928065
"11","GSE326225",0.0224047796863331
"12","GSE326225",0.0384056466680507
"13","GSE326225",0.00109529025191676
"14","GSE326225",0.0102974828375286
"15","GSE326225",0.052479815455594
"2","GSE326225",0.133793969849246
"3","GSE326225",0.0116442858484365
"4","GSE326225",0.0297957817207901
"5","GSE326225",0.0178746327130264
"6","GSE326225",0.000377216144851
"8","GSE326225",0.0396162178891984
"9","GSE326225",0.000633813975598162
"0","HRA003620",0.556353336407351
"1","HRA003620",0.273399390243902
"10","HRA003620",0.302938196555218
"11","HRA003620",0.401792382374907
"12","HRA003620",0.332156944156114
"13","HRA003620",0.00525739320920044
"14","HRA003620",0.34754004576659
"15","HRA003620",0.291522491349481
"2","HRA003620",0.36730527638191
"3","HRA003620",0.57338717250446
"4","HRA003620",0.442807722352416
"5","HRA003620",0.484941234084231
"7","HRA003620",0.000791452314998021
"8","HRA003620",0.312132466728567
"9","HRA003620",0.0102994771034701
"0","InhouseData",0.192872669784599
"1","InhouseData",0.350228658536585
"10","InhouseData",0.43177980412023
"11","InhouseData",0.0186706497386109
"12","InhouseData",0.339215279219431
"13","InhouseData",0.991018619934283
"14","InhouseData",0.43220823798627
"15","InhouseData",0.121683967704729
"2","InhouseData",0.0565326633165829
"3","InhouseData",0.00187811062071556
"4","InhouseData",0.0268943198303761
"5","InhouseData",0.0599902056807052
"6","InhouseData",0.999622783855149
"7","InhouseData",0.999208547685002
"8","InhouseData",0.380377592076756
"9","InhouseData",0.988749801933133
"0","PRJNA662018",0.0873460246360582
"1","PRJNA662018",0.157850609756098
"10","PRJNA662018",0.130699088145897
"11","PRJNA662018",0.285847647498133
"12","PRJNA662018",0.144903466888105
"13","PRJNA662018",0.000657174151150055
"14","PRJNA662018",0.131578947368421
"15","PRJNA662018",0.249711649365629
"2","PRJNA662018",0.212704145728643
"3","PRJNA662018",0.232228378251479
"4","PRJNA662018",0.24149090503292
"5","PRJNA662018",0.198212536728697
"8","PRJNA662018",0.158619622407923
