"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.0094855411369475
"1","CNP0000460_P01N",0.0101371951219512
"10","CNP0000460_P01N",0.00303951367781155
"11","CNP0000460_P01N",0.0181105302464526
"12","CNP0000460_P01N",0.0298941249740502
"14","CNP0000460_P01N",0.0051487414187643
"15","CNP0000460_P01N",0.0184544405997693
"2","CNP0000460_P01N",0.0373743718592965
"3","CNP0000460_P01N",0.0236641938210161
"4","CNP0000460_P01N",0.0393929248967749
"5","CNP0000460_P01N",0.0277913809990206
"8","CNP0000460_P01N",0.00835654596100279
"0","CNP0000460_P01T",0.0127132599960477
"1","CNP0000460_P01T",0.00442073170731707
"10","CNP0000460_P01T",0.0038838230327592
"11","CNP0000460_P01T",0.00186706497386109
"12","CNP0000460_P01T",0.002906373261366
"14","CNP0000460_P01T",0.0005720823798627
"15","CNP0000460_P01T",0.00374855824682814
"2","CNP0000460_P01T",0.0102858040201005
"3","CNP0000460_P01T",0.00328669358625223
"4","CNP0000460_P01T",0.00345943533087825
"5","CNP0000460_P01T",0.00159157688540646
"8","CNP0000460_P01T",0.00557103064066852
"0","CNP0000460_P02N",0.00223964165733483
"1","CNP0000460_P02N",0.0157012195121951
"10","CNP0000460_P02N",0.0216143194866599
"11","CNP0000460_P02N",0.0655339805825243
"12","CNP0000460_P02N",0.00394436371185385
"13","CNP0000460_P02N",0.000438116100766703
"14","CNP0000460_P02N",0.0074370709382151
"15","CNP0000460_P02N",0.0406574394463668
"2","CNP0000460_P02N",0.0165672110552764
"3","CNP0000460_P02N",0.0227251385106583
"4","CNP0000460_P02N",0.0314697020421828
"5","CNP0000460_P02N",0.0187316356513222
"8","CNP0000460_P02N",0.00340451872485299
"0","CNP0000460_P02T",0.00421579606086556
"1","CNP0000460_P02T",0.0310975609756098
"10","CNP0000460_P02T",0.0126646403242148
"11","CNP0000460_P02T",0.0369678864824496
"12","CNP0000460_P02T",0.0078887274237077
"13","CNP0000460_P02T",0.000219058050383352
"14","CNP0000460_P02T",0.0022883295194508
"15","CNP0000460_P02T",0.0570934256055363
"2","CNP0000460_P02T",0.0208856783919598
"3","CNP0000460_P02T",0.00901493097943469
"4","CNP0000460_P02T",0.0180783394710412
"5","CNP0000460_P02T",0.0378305582761998
"8","CNP0000460_P02T",0.00526152893840916
"0","CNP0000460_P03N",0.00816810486792701
"1","CNP0000460_P03N",0.0197408536585366
"10","CNP0000460_P03N",0.00540357987166498
"11","CNP0000460_P03N",0.0293129200896191
"12","CNP0000460_P03N",0.0176458376582935
"13","CNP0000460_P03N",0.000219058050383352
"14","CNP0000460_P03N",0.0068649885583524
"15","CNP0000460_P03N",0.0340253748558247
"2","CNP0000460_P03N",0.0301507537688442
"3","CNP0000460_P03N",0.0200957836416565
"4","CNP0000460_P03N",0.0387233567682178
"5","CNP0000460_P03N",0.0312193927522037
"8","CNP0000460_P03N",0.0194986072423398
"0","CNP0000460_P03T",0.00638956590474936
"1","CNP0000460_P03T",0.0123475609756098
"10","CNP0000460_P03T",0.00202634245187437
"11","CNP0000460_P03T",0.0309932785660941
"12","CNP0000460_P03T",0.0240813784513182
"14","CNP0000460_P03T",0.0080091533180778
"15","CNP0000460_P03T",0.0253748558246828
"2","CNP0000460_P03T",0.0340766331658291
"3","CNP0000460_P03T",0.0214104610761574
"4","CNP0000460_P03T",0.0456422274299743
"5","CNP0000460_P03T",0.0455435847208619
"8","CNP0000460_P03T",0.0116063138347261
"0","CNP0000460_P04T",0.0308280086950794
"1","CNP0000460_P04T",0.0227896341463415
"10","CNP0000460_P04T",0.0268490374873354
"11","CNP0000460_P04T",0.0315533980582524
"12","CNP0000460_P04T",0.015985052937513
"13","CNP0000460_P04T",0.000438116100766703
"14","CNP0000460_P04T",0.0180205949656751
"15","CNP0000460_P04T",0.02479815455594
"2","CNP0000460_P04T",0.0196293969849246
"3","CNP0000460_P04T",0.0358719128556672
"4","CNP0000460_P04T",0.0219841535542908
"5","CNP0000460_P04T",0.022771792360431
"8","CNP0000460_P04T",0.0133085731971526
"9","CNP0000460_P04T",0.00015845349389954
"0","CNP0000460_P05N",0.00171266714972663
"1","CNP0000460_P05N",0.00266768292682927
"10","CNP0000460_P05N",0.000675447483958122
"11","CNP0000460_P05N",0.00690814040328603
"12","CNP0000460_P05N",0.0064355407930247
"14","CNP0000460_P05N",0.00143020594965675
"15","CNP0000460_P05N",0.00749711649365629
"2","CNP0000460_P05N",0.00392587939698492
"3","CNP0000460_P05N",0.00732463142079068
"4","CNP0000460_P05N",0.00803481754268497
"5","CNP0000460_P05N",0.00489715964740451
"8","CNP0000460_P05N",0.00108325595790777
"0","CNP0000460_P05T",0.00414992424741453
"1","CNP0000460_P05T",0.0153963414634146
"10","CNP0000460_P05T",0.0038838230327592
"11","CNP0000460_P05T",0.0106422703510082
"12","CNP0000460_P05T",0.00435955989204899
"14","CNP0000460_P05T",0.00257437070938215
"15","CNP0000460_P05T",0.0173010380622837
"2","CNP0000460_P05T",0.00761620603015075
"3","CNP0000460_P05T",0.0077002535449338
"4","CNP0000460_P05T",0.00658408659747796
"5","CNP0000460_P05T",0.00575416258570029
"8","CNP0000460_P05T",0.00294026617146394
"0","CNP0000460_P06T",0.0357683947039062
"1","CNP0000460_P06T",0.0320121951219512
"10","CNP0000460_P06T",0.0324214792299899
"11","CNP0000460_P06T",0.018857356235997
"12","CNP0000460_P06T",0.00622794270292713
"13","CNP0000460_P06T",0.000657174151150055
"14","CNP0000460_P06T",0.0237414187643021
"15","CNP0000460_P06T",0.0273933102652826
"2","CNP0000460_P06T",0.0231626884422111
"3","CNP0000460_P06T",0.0186872006761198
"4","CNP0000460_P06T",0.0165160138377413
"5","CNP0000460_P06T",0.0179970617042116
"8","CNP0000460_P06T",0.0191891055400805
"9","CNP0000460_P06T",0.00015845349389954
"0","CNP0000460_P07N",0.00197615440353073
"1","CNP0000460_P07N",0.0048780487804878
"10","CNP0000460_P07N",0.00135089496791624
"11","CNP0000460_P07N",0.0145631067961165
"12","CNP0000460_P07N",0.018891426198879
"14","CNP0000460_P07N",0.00200228832951945
"15","CNP0000460_P07N",0.00951557093425606
"2","CNP0000460_P07N",0.0190797738693467
"3","CNP0000460_P07N",0.0085454033242558
"4","CNP0000460_P07N",0.0237696685637764
"5","CNP0000460_P07N",0.0182419196865818
"8","CNP0000460_P07N",0.010213556174559
"0","CNP0000460_P07T",0.000526974507608194
"1","CNP0000460_P07T",0.0157774390243902
"10","CNP0000460_P07T",0.00151975683890578
"11","CNP0000460_P07T",0.00597460791635549
"12","CNP0000460_P07T",0.00705833506331742
"14","CNP0000460_P07T",0.00028604118993135
"15","CNP0000460_P07T",0.0187427912341407
"2","CNP0000460_P07T",0.00690954773869347
"3","CNP0000460_P07T",0.00253544933796601
"4","CNP0000460_P07T",0.00535654502845665
"5","CNP0000460_P07T",0.00661116552399608
"8","CNP0000460_P07T",0.00882079851439183
"0","GSE326225_BC1",0.000197615440353073
"1","GSE326225_BC1",0.000152439024390244
"15","GSE326225_BC1",0.000576701268742791
"2","GSE326225_BC1",0.000785175879396985
"8","GSE326225_BC1",0.00108325595790777
"0","GSE326225_BC2",0.000263487253804097
"1","GSE326225_BC2",0.000152439024390244
"12","GSE326225_BC2",0.000207598090097571
"2","GSE326225_BC2",0.00109924623115578
"8","GSE326225_BC2",0.00170225936242649
"0","GSE326225_BC3",6.58718134510243e-05
"1","GSE326225_BC3",0.00152439024390244
"11","GSE326225_BC3",0.00149365197908887
"12","GSE326225_BC3",0.00103799045048786
"13","GSE326225_BC3",0.000219058050383352
"14","GSE326225_BC3",0.00028604118993135
"15","GSE326225_BC3",0.00288350634371396
"2","GSE326225_BC3",0.00683103015075377
