"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",15181,54,5,0.194058362426718,"HRA003620_BC-11",0.556353336407351,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"1",13120,55,5,0.0671493902439024,"HRA003620_BC-01",0.350228658536585,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"2",12736,57,5,0.0843278894472362,"GSE326225_BC4",0.36730527638191,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"3",10649,50,5,0.104141233918678,"HRA003620_NC-27",0.57338717250446,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"4",8961,54,5,0.0777814976007142,"HRA003620_BC-30",0.442807722352416,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"5",8168,54,5,0.0910871694417238,"HRA003620_NC-11",0.484941234084231,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"6",7953,15,2,0.146737080347039,"T4450398",0.999622783855149,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"7",7581,16,2,0.196939717715341,"T4471438",0.999208547685002,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"8",6462,57,5,0.0865057257814918,"HRA003620_NC-11",0.380377592076756,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"9",6311,22,4,0.191253367136745,"T4450398",0.988749801933133,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"10",5922,50,5,0.0932117527862209,"T4295396",0.43177980412023,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"11",5356,53,5,0.108663181478715,"HRA003620_NC-30",0.401792382374907,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"12",4817,54,5,0.0610338384886859,"T4463209a",0.339215279219431,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"13",4565,31,5,0.176341730558598,"T4398343",0.991018619934283,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"14",3496,51,5,0.125,"T4471438",0.43220823798627,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"15",3468,56,5,0.0570934256055363,"CNP0000460_P02T",0.291522491349481,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
