"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.09189749497493,0.574,0.115,0,"0","CXCL13"
0,2.46181194014947,0.581,0.129,0,"0","ATP8B4"
0,1.77090265278651,0.753,0.32,0,"0","ITGAE"
0,1.77705268617431,0.727,0.296,0,"0","GZMB"
0,1.6554864978836,0.808,0.386,0,"0","LINC01871"
0,1.30458389413516,0.7,0.284,0,"0","CD8A"
0,1.74335530761253,0.76,0.361,0,"0","FUT8"
0,1.50308690417835,0.622,0.225,0,"0","KLRD1"
0,2.18545428305013,0.536,0.149,0,"0","ENTPD1"
0,1.6907344362802,0.586,0.21,0,"0","RIN3"
0,0.900326059527004,0.833,0.46,0,"0","NKG7"
0,1.97355734576317,0.533,0.163,0,"0","HAVCR2"
0,1.36855542569272,0.821,0.452,0,"0","TOX"
0,2.51309710072697,0.481,0.115,0,"0","MYO1E"
0,2.19358978803539,0.503,0.138,0,"0","SRGAP3"
0,1.25017655880934,0.59,0.227,0,"0","CD8B"
0,1.31050968409845,0.805,0.463,0,"0","RBPJ"
0,2.22705106766572,0.506,0.166,0,"0","PLPP1"
0,1.51883205216121,0.533,0.198,0,"0","LAG3"
0,1.7375291690164,0.551,0.22,0,"0","DGKH"
0,1.40448350586058,0.539,0.216,0,"0","ITGA1"
0,3.13713052458125,0.376,0.053,0,"0","PELO-AS1"
0,0.668874196923248,0.939,0.622,0,"0","CCL5"
0,1.28969694984043,0.549,0.236,0,"0","CTSW"
0,1.5672345795267,0.52,0.208,0,"0","HOPX"
0,1.5396612020529,0.508,0.196,0,"0","NELL2"
0,2.51764588652195,0.385,0.076,0,"0","GOLIM4"
0,1.79278664238794,0.49,0.186,0,"0","FAM3C"
0,1.39992058886843,0.52,0.217,0,"0","PTMS"
0,1.75226502601798,0.449,0.15,0,"0","DAPK2"
0,1.48311075538554,0.491,0.2,0,"0","GALNT2"
0,0.892437074762264,0.757,0.466,0,"0","THEMIS"
0,1.41302060265257,0.566,0.279,0,"0","AHI1"
0,0.598076553415578,0.674,0.388,0,"0","CCL4"
0,1.92263461998935,0.47,0.186,0,"0","LINC00299"
0,1.60779446246656,0.465,0.189,0,"0","INPP5F"
0,1.22873227023487,0.652,0.377,0,"0","PAM"
0,1.70311075120643,0.376,0.101,0,"0","PDE7B"
0,0.651778195450714,0.733,0.458,0,"0","GZMA"
0,0.978428840989357,0.706,0.433,0,"0","RAB27A"
0,1.42076150142121,0.427,0.156,0,"0","LINC02446"
0,1.21367179909191,0.516,0.251,0,"0","RUNX2"
0,1.87862078809091,0.366,0.101,0,"0","LINC02195"
0,1.54721640569353,0.425,0.161,0,"0","ENTPD1-AS1"
0,1.00692463568747,0.644,0.383,0,"0","ALOX5AP"
0,2.0252828708144,0.338,0.081,0,"0","CLNK"
0,1.14933927990828,0.502,0.246,0,"0","JAML"
0,2.2774118900485,0.33,0.075,0,"0","ZC3H12C"
0,1.08833308647772,0.539,0.286,0,"0","TRG-AS1"
0,0.969128965601017,0.531,0.278,0,"0","NCALD"
0,0.925429303562843,0.583,0.332,0,"0","CTSD"
0,0.946272595427519,0.588,0.341,0,"0","SUPT3H"
0,0.785926510485775,0.732,0.489,0,"0","IKZF3"
0,0.886709518506773,0.63,0.388,0,"0","LINC01934"
0,0.919663860252363,0.495,0.253,0,"0","PRF1"
0,0.578462923923573,0.611,0.371,0,"0","ZEB2"
0,0.604907501533626,0.509,0.271,0,"0","IFNG"
0,0.960214897996815,0.729,0.492,0,"0","LYST"
0,0.561691298338263,0.51,0.274,0,"0","GZMH"
0,1.60674707700811,0.354,0.118,0,"0","CCL3"
0,1.85071977593378,0.326,0.092,0,"0","AKAP5"
0,0.621328194146146,0.588,0.354,0,"0","TIGIT"
0,1.55228519960214,0.404,0.171,0,"0","MAP4K3"
0,0.949200674756617,0.624,0.391,0,"0","SFMBT2"
0,0.95758731035068,0.455,0.223,0,"0","TNIP3"
0,0.675134774137615,0.536,0.306,0,"0","MT-ND4L"
0,2.8504639127868,0.27,0.04,0,"0","NHS"
0,1.8818244922279,0.317,0.087,0,"0","KLRC4"
0,0.960242052047909,0.589,0.359,0,"0","GMDS"
0,0.755156952934063,0.791,0.562,0,"0","CD7"
0,0.91362765361651,0.49,0.262,0,"0","MAST4"
0,2.37227331038492,0.274,0.047,0,"0","KIR2DL4"
0,1.06382450335171,0.434,0.207,0,"0","SLF1"
0,3.19986960204098,0.262,0.035,0,"0","LINC02937"
0,0.978587925676881,0.504,0.278,0,"0","RPS6KA3"
0,1.6036405443638,0.334,0.11,0,"0","GFOD1"
0,1.00051575889314,0.432,0.209,0,"0","MCTP2"
0,1.32430780933208,0.377,0.155,0,"0","ABCB1"
0,1.36593428674102,0.42,0.198,0,"0","UBASH3B"
0,0.837664045592274,0.645,0.424,0,"0","PAG1"
0,1.17323456169065,0.462,0.243,0,"0","MEF2A"
0,0.692177758763765,0.645,0.427,0,"0","CD63"
0,3.00950453045113,0.249,0.031,0,"0","ETV1"
0,0.849767526585073,0.585,0.368,0,"0","PRKCA"
0,0.687279722522164,0.786,0.573,0,"0","PTPN22"
0,0.638033709539204,0.67,0.457,0,"0","MT-ND5"
0,1.20493096029909,0.418,0.205,0,"0","TRAF5"
0,0.868337322729543,0.575,0.362,0,"0","PTPRA"
0,2.68702761748433,0.248,0.036,0,"0","CCL3-AS1"
0,0.83948107842692,0.421,0.21,0,"0","MT-ATP8"
0,0.610681901602771,0.485,0.276,0,"0","VAV3"
0,0.760387703295359,0.662,0.454,0,"0","SIPA1L1"
0,0.791911843696123,0.622,0.415,0,"0","SNX9"
0,0.560349898486396,0.622,0.418,0,"0","HLA-DRB1"
0,1.10304701283542,0.366,0.162,0,"0","TNFRSF9"
0,2.78991272808527,0.235,0.032,0,"0","AFAP1L2"
0,0.804850977755712,0.512,0.31,0,"0","ASXL2"
0,1.31091881703524,0.327,0.125,0,"0","PDCD1"
0,1.2005429053143,0.368,0.166,0,"0","S100PBP"
0,0.677758860530227,0.522,0.322,0,"0","ANKRD28"
0,0.812985346605856,0.533,0.334,0,"0","PRDM1"
0,0.844838992987123,0.413,0.214,0,"0","CCL4L2"
0,0.513010999499548,0.735,0.536,0,"0","ID2"
0,0.599413825631695,0.696,0.498,0,"0","INPP4B"
0,0.69366244802287,0.622,0.426,0,"0","SLA"
0,1.6580338474364,0.288,0.093,0,"0","CHN2"
0,0.651480163011269,0.58,0.386,0,"0","TSPAN5"
0,0.642393619917346,0.744,0.55,0,"0","CD3G"
0,0.939639089864433,0.676,0.483,0,"0","NAP1L4"
0,1.23911298676832,0.374,0.181,0,"0","AUH"
0,1.53253692046934,0.301,0.108,0,"0","NFIL3"
0,2.04995132556779,0.253,0.06,0,"0","ADGRG5"
0,3.2108565010909,0.223,0.031,0,"0","RYR2"
0,0.902927160163853,0.434,0.243,0,"0","AGFG1"
0,0.790627422236156,0.517,0.326,0,"0","CDK6"
0,0.702098843671919,0.597,0.406,0,"0","SLFN12L"
0,0.672939386556558,0.634,0.444,0,"0","TBL1XR1"
0,2.24774467949466,0.24,0.05,0,"0","MYO7A"
0,0.995760302814666,0.36,0.17,0,"0","MIR155HG"
0,0.680352899187248,0.736,0.546,0,"0","MT-RNR1"
0,2.3701589626401,0.234,0.046,0,"0","ENSG00000234261"
0,0.892643876851427,0.431,0.243,0,"0","CD226"
0,1.094995827218,0.345,0.157,0,"0","SIRPG"
0,0.574355238259831,0.647,0.46,0,"0","ATP8A1"
0,0.944716494355225,0.42,0.233,0,"0","R3HDM1"
0,0.525685450876208,0.787,0.601,0,"0","MT-ATP6"
0,0.368250257805223,0.787,0.602,0,"0","MT-ND4"
0,0.560585896317588,0.631,0.446,0,"0","CMIP"
0,0.547846909759818,0.717,0.532,0,"0","RGS1"
0,1.28517599217411,0.308,0.124,0,"0","CCDC141"
0,0.753055292958501,0.635,0.451,0,"0","DLEU2"
0,0.839215377537927,0.479,0.295,0,"0","RFX7"
0,0.732468224817948,0.649,0.465,0,"0","MSI2"
0,1.18942978166441,0.328,0.145,0,"0","CRIM1"
0,0.684557061034363,0.628,0.445,0,"0","FKBP5"
0,0.537624390920447,0.745,0.563,0,"0","PTPRJ"
0,1.14428354159658,0.329,0.147,0,"0","TTN"
0,1.82453831917431,0.262,0.08,0,"0","SNAP47"
0,0.62493296732634,0.644,0.462,0,"0","RAPGEF1"
0,0.542416499111227,0.455,0.274,0,"0","TALAM1"
0,0.672634363450904,0.604,0.424,0,"0","CEP85L"
0,2.01530479535253,0.248,0.068,0,"0","MTSS1"
0,0.552272858155798,0.52,0.34,0,"0","CYRIB"
0,2.2567041415797,0.23,0.05,0,"0","LINC02416"
0,0.583742285232589,0.511,0.331,0,"0","APOBEC3G"
0,0.877940693850042,0.406,0.227,0,"0","ARB2A"
