"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.9687360719564,0.134,0.009,0,"0","ITGA9"
0,3.2108565010909,0.223,0.031,0,"0","RYR2"
0,3.19986960204098,0.262,0.035,0,"0","LINC02937"
0,3.18060719880436,0.136,0.014,0,"0","ENSG00000287347"
0,3.13713052458125,0.376,0.053,0,"0","PELO-AS1"
0,3.12761529507223,0.125,0.014,0,"0","LINC00158"
0,3.08023948110276,0.1,0.01,0,"0","ENSG00000294673"
0,3.05899999332392,0.17,0.024,0,"0","ENSG00000301254"
0,3.01969569967397,0.13,0.018,0,"0","ENSG00000304809"
0,3.00950453045113,0.249,0.031,0,"0","ETV1"
0,2.98013727484122,0.1,0.013,0,"0","BARX2"
0,2.9427666753519,0.144,0.019,0,"0","PHEX"
0,2.8504639127868,0.27,0.04,0,"0","NHS"
0,2.84164402019771,0.172,0.03,0,"0","PIP5K1B"
0,2.78991272808527,0.235,0.032,0,"0","AFAP1L2"
0,2.73677525410981,0.12,0.018,0,"0","ENSG00000302621"
0,2.68702761748433,0.248,0.036,0,"0","CCL3-AS1"
0,2.6642972790872,0.114,0.017,0,"0","ENSG00000310242"
0,2.65040657506538,0.191,0.027,0,"0","ENSG00000289485"
0,2.62469368990251,0.154,0.024,0,"0","ENSG00000286084"
0,5.35502049076003,0.351,0.012,0,"1","LINC02099"
0,4.94074943502577,0.136,0.005,0,"1","GNG8"
0,4.87917173010148,0.354,0.015,0,"1","IL1R2"
0,4.76484340111027,0.122,0.005,0,"1","LINC00589"
0,4.46923824784344,0.208,0.011,0,"1","CCR8"
0,4.43342063869316,0.157,0.009,0,"1","IL1R1-AS1"
0,4.34877221403717,0.143,0.009,0,"1","ENSG00000287780"
0,4.22270169649089,0.181,0.011,0,"1","LINC00519"
0,4.12862300834019,0.53,0.036,0,"1","FOXP3"
0,4.09813915700207,0.143,0.01,0,"1","TNFRSF8"
0,4.04220723931309,0.113,0.007,0,"1","SOCAR"
0,4.00350894014993,0.662,0.115,0,"1","TNFRSF4"
0,3.79721519763579,0.126,0.01,0,"1","EBI3"
0,3.78240259915552,0.611,0.083,0,"1","IL2RA"
0,3.76453255786834,0.433,0.042,0,"1","IL1R1"
0,3.73587084587623,0.24,0.02,0,"1","FANK1"
0,3.55917592022466,0.144,0.013,0,"1","ENSG00000289707"
0,3.52086334548837,0.133,0.012,0,"1","CLEC7A"
0,3.24273591265732,0.117,0.013,0,"1","STAC"
0,3.19875953810471,0.103,0.023,0,"1","CACNB2"
0,1.55976506619945,0.461,0.319,0,"2","MT-ND4L"
0,1.24724259400566,0.704,0.453,0,"2","RPS26"
0,1.0689436196909,0.901,0.582,0,"2","RPL41"
0,1.04712795166649,0.68,0.461,0,"2","MT-ND5"
0,1.02930521295582,0.575,0.377,0,"2","RPL17"
0,1.01337157523236,0.644,0.432,0,"2","RPL36AL"
0,1.00986263490695,0.915,0.595,0,"2","RPS19"
0,0.987771549086329,0.907,0.586,0,"2","RPS12"
0,0.978887776900923,0.682,0.457,0,"2","RPL36A"
0,0.964368524095233,0.87,0.578,0,"2","MT-CYB"
0,0.962455557467256,0.885,0.575,0,"2","RPS3"
0,0.962257445686165,0.473,0.319,0,"2","CD8A"
0,0.962002693894816,0.78,0.524,0,"2","MT-ND1"
0,0.959271410991295,0.911,0.604,0,"2","MT-CO2"
0,0.958517509708213,0.916,0.606,0,"2","MT-CO1"
0,0.950666578230591,0.876,0.573,0,"2","RPL30"
0,0.950003609513522,0.838,0.553,0,"2","RPS7"
0,0.942446874021163,0.834,0.552,0,"2","RPL29"
0,0.935732425116664,0.803,0.539,0,"2","RPL7A"
0,0.933974497954297,0.843,0.55,0,"2","RPS13"
0,2.40310699944406,0.192,0.045,0,"3","ENSG00000304761"
0,2.17478520942113,0.122,0.03,0,"3","JAM3"
0,2.1738421981164,0.179,0.047,0,"3","ENSG00000297373"
0,2.16328335526141,0.333,0.1,0,"3","ENSG00000310385"
0,2.06111042522367,0.111,0.027,0,"3","ENSG00000287292"
0,2.02323540512813,0.124,0.031,0,"3","CFAP210"
0,1.97088540403289,0.156,0.055,0,"3","SEMA4A"
0,1.9353837806417,0.143,0.036,0,"3","ENSG00000304130"
0,1.9220609910494,0.192,0.078,0,"3","LINC00910"
0,1.91624195289624,0.1,0.027,0,"3","NAMA"
0,1.89740997167185,0.118,0.032,0,"3","ENSG00000303740"
0,1.88316466208503,0.199,0.058,0,"3","ENSG00000267379"
0,1.8327979662041,0.122,0.038,0,"3","ENSG00000289341"
0,1.83014003981708,0.108,0.032,0,"3","ENSG00000286861"
0,1.80008980933511,0.279,0.084,0,"3","GP6-AS1"
0,1.79009783032198,0.428,0.133,0,"3","MIR23AHG"
0,1.73970168457785,0.112,0.034,0,"3","ENSG00000300042"
0,1.705264539815,0.174,0.061,0,"3","ENSG00000295480"
0,1.65982432125102,0.204,0.071,0,"3","RASGRF2"
0,1.65623075585644,0.145,0.048,0,"3","ENSG00000288755"
0,3.45750414117124,0.35,0.049,0,"4","LINC00987"
0,2.55755151510714,0.176,0.04,0,"4","ENSG00000301019"
0,2.50920993437301,0.115,0.021,0,"4","SGCD"
0,2.35896045218502,0.128,0.031,0,"4","ENSG00000295359"
0,2.30350582355833,0.232,0.062,0,"4","ENSG00000274767"
0,2.09058272449707,0.162,0.041,0,"4","PZP"
0,2.08853793453249,0.71,0.213,0,"4","GZMK"
0,2.00194201290135,0.132,0.039,0,"4","AGAP1"
0,1.9777731797775,0.445,0.153,0,"4","ENSG00000232855"
0,1.84567269613713,0.189,0.055,0,"4","CCL3L3"
0,1.81668352952189,0.171,0.056,0,"4","GPR84-AS1"
0,1.71232656018676,0.259,0.109,0,"4","ENSG00000296297"
0,1.58273945815881,0.285,0.108,0,"4","C1orf21"
0,1.55624903187073,0.231,0.095,0,"4","ENSG00000307107"
0,1.54320401514198,0.315,0.14,0,"4","ENSG00000283674"
