"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",11302,10,925,535,112,43,0,5,122,63,173,6,13,0,114,10
"1",46,0,1429,399,7079,17,0,0,37,0,6,12,484,0,539,101
"2",75,0,369,7,124,16,406,6509,64,824,1,3,44,1,1471,10
"3",262,1,561,6767,228,232,0,0,78,3,4,359,22,0,1278,30
"4",300,0,7628,615,149,144,5,0,22,0,4,63,15,0,38,123
"5",18,3924,3,0,0,28,66,5,0,17,26,3,0,4449,0,299
"6",12,6358,13,10,3,166,0,0,1,0,22,26,1,34,1,1988
"7",6,1,824,1953,30,681,0,0,3,0,9,4346,0,0,0,155
"8",0,4,14,5,2,194,7194,385,6,8,18,61,0,51,15,3
"9",2358,0,13,1,4,1,5,162,39,5297,6,0,2,1,8,3
"10",26,5,221,257,12,6246,0,0,4,1,134,150,1,0,1,389
"11",22,1,16,13,2,8,0,5,5970,12,0,1,120,0,4,0
"12",3,0,2,1,7,0,2,227,104,0,0,0,4038,0,2,0
"13",73,13,8,25,1,166,0,1,1,2,3087,307,0,1,0,243
"14",441,11,2,1,0,178,234,102,1,70,2420,5,0,24,2,9
"15",2,2790,0,0,0,3,0,0,0,0,3,0,0,4,1,96
"16",66,0,145,49,1125,32,0,2,2,0,7,3,51,0,12,5
"17",163,2,563,11,27,12,0,0,8,2,2,9,26,0,3,3
"18",6,0,0,0,56,1,41,178,0,12,0,2,0,0,7,1
