"cluster","group","n_cells"
"0","CNP0000460",2127
"1","CNP0000460",2271
"10","CNP0000460",766
"11","CNP0000460",576
"12","CNP0000460",257
"13","CNP0000460",2
"2","CNP0000460",2442
"3","CNP0000460",2436
"4","CNP0000460",2054
"5","CNP0000460",1102
"6","CNP0000460",1654
"7","CNP0000460",800
"8","CNP0000460",719
"9","CNP0000460",979
"0","GSE326225",737
"1","GSE326225",442
"10","GSE326225",190
"11","GSE326225",27
"12","GSE326225",52
"13","GSE326225",431
"2","GSE326225",381
"3","GSE326225",845
"4","GSE326225",284
"5","GSE326225",96
"6","GSE326225",171
"7","GSE326225",262
"8","GSE326225",112
"9","GSE326225",217
"0","HRA003620",8559
"1","HRA003620",5347
"10","HRA003620",1661
"11","HRA003620",339
"12","HRA003620",645
"13","HRA003620",6
"2","HRA003620",3453
"3","HRA003620",4463
"4","HRA003620",3571
"5","HRA003620",4046
"6","HRA003620",3297
"7","HRA003620",2113
"8","HRA003620",1791
"9","HRA003620",1339
"0","InhouseData",8329
"1","InhouseData",5428
"10","InhouseData",2323
"11","InhouseData",435
"12","InhouseData",393
"13","InhouseData",1
"2","InhouseData",6996
"3","InhouseData",2619
"4","InhouseData",3548
"5","InhouseData",3346
"6","InhouseData",2652
"7","InhouseData",2700
"8","InhouseData",2687
"9","InhouseData",2508
"0","PRJNA662018",1645
"1","PRJNA662018",2513
"10","PRJNA662018",714
"11","PRJNA662018",304
"12","PRJNA662018",181
"13","PRJNA662018",6
"2","PRJNA662018",2120
"3","PRJNA662018",2417
"4","PRJNA662018",2094
"5","PRJNA662018",1582
"6","PRJNA662018",1422
"7","PRJNA662018",1086
"8","PRJNA662018",778
"9","PRJNA662018",857
