"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.0994064588493714
"1","CNP0000460",0.141928629460659
"10","CNP0000460",0.135479306685532
"11","CNP0000460",0.342653182629387
"12","CNP0000460",0.168193717277487
"13","CNP0000460",0.00448430493273543
"2","CNP0000460",0.158653846153846
"3","CNP0000460",0.190610328638498
"4","CNP0000460",0.177820102155658
"5","CNP0000460",0.108336610302792
"6","CNP0000460",0.179860809047412
"7","CNP0000460",0.114926016376957
"8","CNP0000460",0.118120584852965
"9","CNP0000460",0.165932203389831
"0","GSE326225",0.034444080945927
"1","GSE326225",0.0276232735454034
"10","GSE326225",0.0336045277679519
"11","GSE326225",0.0160618679357525
"12","GSE326225",0.0340314136125654
"13","GSE326225",0.966367713004484
"2","GSE326225",0.0247531185031185
"3","GSE326225",0.0661189358372457
"4","GSE326225",0.0245866158774132
"5","GSE326225",0.00943767204089658
"6","GSE326225",0.0185950413223141
"7","GSE326225",0.0376382703634535
"8","GSE326225",0.0183998685723673
"9","GSE326225",0.0367796610169492
"0","HRA003620",0.400009347104734
"1","HRA003620",0.334166614586588
"10","HRA003620",0.293774319066148
"11","HRA003620",0.201665675193337
"12","HRA003620",0.422120418848168
"13","HRA003620",0.0134529147982063
"2","HRA003620",0.224337318087318
"3","HRA003620",0.349217527386541
"4","HRA003620",0.309150722881136
"5","HRA003620",0.397758552890287
"6","HRA003620",0.35852544584602
"7","HRA003620",0.303548340755639
"8","HRA003620",0.294233612617053
"9","HRA003620",0.226949152542373
"0","InhouseData",0.389260176660279
"1","InhouseData",0.339228798200112
"10","InhouseData",0.410859568447117
"11","InhouseData",0.258774538964902
"12","InhouseData",0.257198952879581
"13","InhouseData",0.00224215246636771
"2","InhouseData",0.45452182952183
"3","InhouseData",0.204929577464789
"4","InhouseData",0.30715955328543
"5","InhouseData",0.328942194258749
"6","InhouseData",0.288386254893432
"7","InhouseData",0.387875305272231
"8","InhouseData",0.441432561195991
"9","InhouseData",0.425084745762712
"0","PRJNA662018",0.0768799364396878
"1","PRJNA662018",0.157052684207237
"10","PRJNA662018",0.126282278033251
"11","PRJNA662018",0.180844735276621
"12","PRJNA662018",0.118455497382199
"13","PRJNA662018",0.0134529147982063
"2","PRJNA662018",0.137733887733888
"3","PRJNA662018",0.189123630672926
"4","PRJNA662018",0.181283005800364
"5","PRJNA662018",0.155524970507275
"6","PRJNA662018",0.154632448890822
"7","PRJNA662018",0.15601206723172
"8","PRJNA662018",0.127813372761623
"9","PRJNA662018",0.145254237288136
