"cluster","group","n_cells"
"0","CNP0000460_P01N",230
"1","CNP0000460_P01N",239
"10","CNP0000460_P01N",137
"11","CNP0000460_P01N",175
"12","CNP0000460_P01N",36
"2","CNP0000460_P01N",145
"3","CNP0000460_P01N",334
"4","CNP0000460_P01N",180
"5","CNP0000460_P01N",127
"6","CNP0000460_P01N",193
"7","CNP0000460_P01N",80
"8","CNP0000460_P01N",38
"9","CNP0000460_P01N",66
"0","CNP0000460_P01T",198
"1","CNP0000460_P01T",32
"10","CNP0000460_P01T",14
"11","CNP0000460_P01T",7
"12","CNP0000460_P01T",12
"2","CNP0000460_P01T",57
"3","CNP0000460_P01T",110
"4","CNP0000460_P01T",16
"5","CNP0000460_P01T",17
"6","CNP0000460_P01T",18
"7","CNP0000460_P01T",40
"8","CNP0000460_P01T",23
"9","CNP0000460_P01T",15
"0","CNP0000460_P02N",82
"1","CNP0000460_P02N",299
"10","CNP0000460_P02N",41
"11","CNP0000460_P02N",8
"12","CNP0000460_P02N",20
"2","CNP0000460_P02N",217
"3","CNP0000460_P02N",194
"4","CNP0000460_P02N",378
"5","CNP0000460_P02N",136
"6","CNP0000460_P02N",150
"7","CNP0000460_P02N",33
"8","CNP0000460_P02N",124
"9","CNP0000460_P02N",135
"0","CNP0000460_P02T",105
"1","CNP0000460_P02T",178
"10","CNP0000460_P02T",41
"11","CNP0000460_P02T",9
"12","CNP0000460_P02T",21
"13","CNP0000460_P02T",2
"2","CNP0000460_P02T",426
"3","CNP0000460_P02T",233
"4","CNP0000460_P02T",270
"5","CNP0000460_P02T",58
"6","CNP0000460_P02T",218
"7","CNP0000460_P02T",39
"8","CNP0000460_P02T",90
"9","CNP0000460_P02T",167
"0","CNP0000460_P03N",194
"1","CNP0000460_P03N",221
"10","CNP0000460_P03N",95
"11","CNP0000460_P03N",177
"12","CNP0000460_P03N",40
"2","CNP0000460_P03N",259
"3","CNP0000460_P03N",324
"4","CNP0000460_P03N",236
"5","CNP0000460_P03N",94
"6","CNP0000460_P03N",210
"7","CNP0000460_P03N",126
"8","CNP0000460_P03N",42
"9","CNP0000460_P03N",108
"0","CNP0000460_P03T",153
"1","CNP0000460_P03T",476
"10","CNP0000460_P03T",120
"11","CNP0000460_P03T",30
"12","CNP0000460_P03T",32
"2","CNP0000460_P03T",161
"3","CNP0000460_P03T",329
"4","CNP0000460_P03T",261
"5","CNP0000460_P03T",107
"6","CNP0000460_P03T",318
"7","CNP0000460_P03T",89
"8","CNP0000460_P03T",32
"9","CNP0000460_P03T",79
"0","CNP0000460_P04T",487
"1","CNP0000460_P04T",255
"10","CNP0000460_P04T",88
"11","CNP0000460_P04T",7
"12","CNP0000460_P04T",33
"2","CNP0000460_P04T",286
"3","CNP0000460_P04T",267
"4","CNP0000460_P04T",247
"5","CNP0000460_P04T",258
"6","CNP0000460_P04T",146
"7","CNP0000460_P04T",102
"8","CNP0000460_P04T",149
"9","CNP0000460_P04T",100
"0","CNP0000460_P05N",28
"1","CNP0000460_P05N",44
"10","CNP0000460_P05N",28
"11","CNP0000460_P05N",44
"12","CNP0000460_P05N",11
"2","CNP0000460_P05N",35
"3","CNP0000460_P05N",49
"4","CNP0000460_P05N",58
"5","CNP0000460_P05N",44
"6","CNP0000460_P05N",33
"7","CNP0000460_P05N",13
"8","CNP0000460_P05N",5
"9","CNP0000460_P05N",19
"0","CNP0000460_P05T",67
"1","CNP0000460_P05T",77
"10","CNP0000460_P05T",21
"11","CNP0000460_P05T",2
"12","CNP0000460_P05T",9
"2","CNP0000460_P05T",186
"3","CNP0000460_P05T",96
"4","CNP0000460_P05T",78
"5","CNP0000460_P05T",37
"6","CNP0000460_P05T",46
"7","CNP0000460_P05T",23
"8","CNP0000460_P05T",23
"9","CNP0000460_P05T",74
"0","CNP0000460_P06T",516
"1","CNP0000460_P06T",241
"10","CNP0000460_P06T",53
"11","CNP0000460_P06T",10
"12","CNP0000460_P06T",14
"2","CNP0000460_P06T",413
"3","CNP0000460_P06T",246
"4","CNP0000460_P06T",158
"5","CNP0000460_P06T",191
"6","CNP0000460_P06T",138
"7","CNP0000460_P06T",126
"8","CNP0000460_P06T",170
"9","CNP0000460_P06T",105
"0","CNP0000460_P07N",52
"1","CNP0000460_P07N",152
"10","CNP0000460_P07N",90
"11","CNP0000460_P07N",105
"12","CNP0000460_P07N",21
"2","CNP0000460_P07N",67
"3","CNP0000460_P07N",180
"4","CNP0000460_P07N",122
"5","CNP0000460_P07N",26
"6","CNP0000460_P07N",136
"7","CNP0000460_P07N",74
"8","CNP0000460_P07N",10
"9","CNP0000460_P07N",38
"0","CNP0000460_P07T",15
"1","CNP0000460_P07T",57
"10","CNP0000460_P07T",38
"11","CNP0000460_P07T",2
"12","CNP0000460_P07T",8
"2","CNP0000460_P07T",190
"3","CNP0000460_P07T",74
"4","CNP0000460_P07T",50
"5","CNP0000460_P07T",7
"6","CNP0000460_P07T",48
"7","CNP0000460_P07T",55
"8","CNP0000460_P07T",13
"9","CNP0000460_P07T",73
"0","GSE326225_BC1",4
"13","GSE326225_BC1",6
"2","GSE326225_BC1",1
"3","GSE326225_BC1",3
"6","GSE326225_BC1",1
"7","GSE326225_BC1",6
"9","GSE326225_BC1",3
"0","GSE326225_BC2",4
"10","GSE326225_BC2",1
"13","GSE326225_BC2",4
"3","GSE326225_BC2",9
"6","GSE326225_BC2",1
"7","GSE326225_BC2",11
"9","GSE326225_BC2",2
"0","GSE326225_BC3",3
"1","GSE326225_BC3",7
"10","GSE326225_BC3",5
"12","GSE326225_BC3",1
"13","GSE326225_BC3",6
"2","GSE326225_BC3",17
"3","GSE326225_BC3",71
"4","GSE326225_BC3",12
"5","GSE326225_BC3",2
"6","GSE326225_BC3",11
"7","GSE326225_BC3",9
"9","GSE326225_BC3",14
"0","GSE326225_BC4",637
"1","GSE326225_BC4",283
"10","GSE326225_BC4",86
"11","GSE326225_BC4",24
"12","GSE326225_BC4",45
"13","GSE326225_BC4",338
"2","GSE326225_BC4",254
"3","GSE326225_BC4",466
"4","GSE326225_BC4",113
"5","GSE326225_BC4",87
"6","GSE326225_BC4",90
"7","GSE326225_BC4",196
"8","GSE326225_BC4",81
"9","GSE326225_BC4",100
"12","GSE326225_BC5",1
"4","GSE326225_BC5",1
"7","GSE326225_BC5",1
"0","GSE326225_BC6",80
"1","GSE326225_BC6",69
"10","GSE326225_BC6",42
"12","GSE326225_BC6",3
"13","GSE326225_BC6",32
"2","GSE326225_BC6",86
"3","GSE326225_BC6",61
"4","GSE326225_BC6",36
"5","GSE326225_BC6",2
"6","GSE326225_BC6",16
"7","GSE326225_BC6",9
"8","GSE326225_BC6",29
"9","GSE326225_BC6",47
"0","GSE326225_BC7",2
"1","GSE326225_BC7",22
"10","GSE326225_BC7",8
"11","GSE326225_BC7",1
"13","GSE326225_BC7",33
"2","GSE326225_BC7",1
"3","GSE326225_BC7",99
"4","GSE326225_BC7",40
"5","GSE326225_BC7",5
"6","GSE326225_BC7",14
"7","GSE326225_BC7",12
"8","GSE326225_BC7",1
"9","GSE326225_BC7",17
"0","GSE326225_BC8",7
"1","GSE326225_BC8",61
"10","GSE326225_BC8",48
"11","GSE326225_BC8",2
"12","GSE326225_BC8",2
"13","GSE326225_BC8",12
"2","GSE326225_BC8",22
"3","GSE326225_BC8",136
"4","GSE326225_BC8",82
"6","GSE326225_BC8",38
"7","GSE326225_BC8",18
"8","GSE326225_BC8",1
"9","GSE326225_BC8",34
"0","HRA003620_BC-01",1503
"1","HRA003620_BC-01",801
"10","HRA003620_BC-01",188
"11","HRA003620_BC-01",6
"12","HRA003620_BC-01",43
"2","HRA003620_BC-01",804
"3","HRA003620_BC-01",335
"4","HRA003620_BC-01",393
"5","HRA003620_BC-01",534
"6","HRA003620_BC-01",328
"7","HRA003620_BC-01",215
"8","HRA003620_BC-01",384
"9","HRA003620_BC-01",237
"0","HRA003620_BC-04",5
"1","HRA003620_BC-04",9
"10","HRA003620_BC-04",12
"11","HRA003620_BC-04",1
"12","HRA003620_BC-04",2
"2","HRA003620_BC-04",27
"3","HRA003620_BC-04",9
"4","HRA003620_BC-04",7
"5","HRA003620_BC-04",26
"6","HRA003620_BC-04",21
"7","HRA003620_BC-04",22
"8","HRA003620_BC-04",2
"9","HRA003620_BC-04",3
"0","HRA003620_BC-05",692
"1","HRA003620_BC-05",294
"10","HRA003620_BC-05",127
"11","HRA003620_BC-05",61
"12","HRA003620_BC-05",23
"2","HRA003620_BC-05",312
"3","HRA003620_BC-05",137
"4","HRA003620_BC-05",127
"5","HRA003620_BC-05",250
"6","HRA003620_BC-05",80
"7","HRA003620_BC-05",68
"8","HRA003620_BC-05",111
"9","HRA003620_BC-05",120
"0","HRA003620_BC-11",2523
"1","HRA003620_BC-11",641
"10","HRA003620_BC-11",135
"11","HRA003620_BC-11",32
"12","HRA003620_BC-11",29
"13","HRA003620_BC-11",1
"2","HRA003620_BC-11",656
"3","HRA003620_BC-11",577
"4","HRA003620_BC-11",245
