"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.0107491704444548
"1","CNP0000460_P01N",0.014936566464596
"10","CNP0000460_P01N",0.0242306331800495
"11","CNP0000460_P01N",0.104104699583581
"12","CNP0000460_P01N",0.0235602094240838
"2","CNP0000460_P01N",0.00942047817047817
"3","CNP0000460_P01N",0.0261345852895149
"4","CNP0000460_P01N",0.0155830664011774
"5","CNP0000460_P01N",0.0124852536374361
"6","CNP0000460_P01N",0.0209873858199217
"7","CNP0000460_P01N",0.0114926016376957
"8","CNP0000460_P01N",0.00624281255133892
"9","CNP0000460_P01N",0.0111864406779661
"0","CNP0000460_P01T",0.00925363368696546
"1","CNP0000460_P01T",0.00199987500781201
"10","CNP0000460_P01T",0.00247612309869119
"11","CNP0000460_P01T",0.00416418798334325
"12","CNP0000460_P01T",0.00785340314136126
"2","CNP0000460_P01T",0.00370322245322245
"3","CNP0000460_P01T",0.00860719874804382
"4","CNP0000460_P01T",0.00138516145788243
"5","CNP0000460_P01T",0.00167125442390877
"6","CNP0000460_P01T",0.0019573727707699
"7","CNP0000460_P01T",0.00574630081884787
"8","CNP0000460_P01T",0.00377854443896829
"9","CNP0000460_P01T",0.00254237288135593
"0","CNP0000460_P02N",0.0038323129410665
"1","CNP0000460_P02N",0.0186863321042435
"10","CNP0000460_P02N",0.00725150336045278
"11","CNP0000460_P02N",0.00475907198096371
"12","CNP0000460_P02N",0.0130890052356021
"2","CNP0000460_P02N",0.0140982328482328
"3","CNP0000460_P02N",0.0151799687010955
"4","CNP0000460_P02N",0.0327244394424725
"5","CNP0000460_P02N",0.0133700353912702
"6","CNP0000460_P02N",0.0163114397564158
"7","CNP0000460_P02N",0.00474069817554949
"8","CNP0000460_P02N",0.0203712830622638
"9","CNP0000460_P02N",0.0228813559322034
"0","CNP0000460_P02T",0.00490722998551199
"1","CNP0000460_P02T",0.0111243047309543
"10","CNP0000460_P02T",0.00725150336045278
"11","CNP0000460_P02T",0.00535395597858418
"12","CNP0000460_P02T",0.0137434554973822
"13","CNP0000460_P02T",0.00448430493273543
"2","CNP0000460_P02T",0.0276767151767152
"3","CNP0000460_P02T",0.0182316118935837
"4","CNP0000460_P02T",0.0233745996017661
"5","CNP0000460_P02T",0.00570192685804168
"6","CNP0000460_P02T",0.0237059591126577
"7","CNP0000460_P02T",0.00560264329837667
"8","CNP0000460_P02T",0.0147856086742238
"9","CNP0000460_P02T",0.0283050847457627
"0","CNP0000460_P03N",0.00906669159227929
"1","CNP0000460_P03N",0.0138116367727017
"10","CNP0000460_P03N",0.0168022638839759
"11","CNP0000460_P03N",0.105294467578822
"12","CNP0000460_P03N",0.0261780104712042
"2","CNP0000460_P03N",0.0168269230769231
"3","CNP0000460_P03N",0.0253521126760563
"4","CNP0000460_P03N",0.0204311315037659
"5","CNP0000460_P03N",0.0092410538733779
"6","CNP0000460_P03N",0.0228360156589822
"7","CNP0000460_P03N",0.0181008475793708
"8","CNP0000460_P03N",0.00689995071463775
"9","CNP0000460_P03N",0.0183050847457627
"0","CNP0000460_P03T",0.00715053512174604
"1","CNP0000460_P03T",0.0297481407412037
"10","CNP0000460_P03T",0.0212239122744959
"11","CNP0000460_P03T",0.0178465199286139
"12","CNP0000460_P03T",0.0209424083769634
"2","CNP0000460_P03T",0.0104599792099792
"3","CNP0000460_P03T",0.0257433489827856
"4","CNP0000460_P03T",0.0225954462817072
"5","CNP0000460_P03T",0.0105190719622493
"6","CNP0000460_P03T",0.0345802522836016
"7","CNP0000460_P03T",0.0127855193219365
"8","CNP0000460_P03T",0.00525710530639067
"9","CNP0000460_P03T",0.0133898305084746
"0","CNP0000460_P04T",0.0227602000280413
"1","CNP0000460_P04T",0.015936503968502
"10","CNP0000460_P04T",0.0155642023346304
"11","CNP0000460_P04T",0.00416418798334325
"12","CNP0000460_P04T",0.0215968586387435
"2","CNP0000460_P04T",0.0185810810810811
"3","CNP0000460_P04T",0.0208920187793427
"4","CNP0000460_P04T",0.0213834300060601
"5","CNP0000460_P04T",0.0253637436099096
"6","CNP0000460_P04T",0.0158764680295781
"7","CNP0000460_P04T",0.0146530670880621
"8","CNP0000460_P04T",0.0244783965828816
"9","CNP0000460_P04T",0.0169491525423729
"0","CNP0000460_P05N",0.0013085946628032
"1","CNP0000460_P05N",0.00274982813574152
"10","CNP0000460_P05N",0.00495224619738238
"11","CNP0000460_P05N",0.0261748958953004
"12","CNP0000460_P05N",0.00719895287958115
"2","CNP0000460_P05N",0.00227390852390852
"3","CNP0000460_P05N",0.00383411580594679
"4","CNP0000460_P05N",0.00502121028482383
"5","CNP0000460_P05N",0.00432559968541093
"6","CNP0000460_P05N",0.00358851674641148
"7","CNP0000460_P05N",0.00186754776612556
"8","CNP0000460_P05N",0.000821422704123542
"9","CNP0000460_P05N",0.00322033898305085
"0","CNP0000460_P05T",0.00313128008599336
"1","CNP0000460_P05T",0.00481219923754765
"10","CNP0000460_P05T",0.00371418464803679
"11","CNP0000460_P05T",0.00118976799524093
"12","CNP0000460_P05T",0.00589005235602094
"2","CNP0000460_P05T",0.0120841995841996
"3","CNP0000460_P05T",0.00751173708920188
"4","CNP0000460_P05T",0.00675266210717687
"5","CNP0000460_P05T",0.00363743609909556
"6","CNP0000460_P05T",0.00500217485863419
"7","CNP0000460_P05T",0.00330412297083752
"8","CNP0000460_P05T",0.00377854443896829
"9","CNP0000460_P05T",0.0125423728813559
"0","CNP0000460_P06T",0.0241155302145161
"1","CNP0000460_P06T",0.0150615586525842
"10","CNP0000460_P06T",0.00937389458790237
"11","CNP0000460_P06T",0.00594883997620464
"12","CNP0000460_P06T",0.00916230366492147
"2","CNP0000460_P06T",0.0268321205821206
"3","CNP0000460_P06T",0.0192488262910798
"4","CNP0000460_P06T",0.013678469396589
"5","CNP0000460_P06T",0.0187770349980338
"6","CNP0000460_P06T",0.0150065245759026
"7","CNP0000460_P06T",0.0181008475793708
"8","CNP0000460_P06T",0.0279283719402004
"9","CNP0000460_P06T",0.0177966101694915
"0","CNP0000460_P07N",0.00243024723092022
"1","CNP0000460_P07N",0.00949940628710706
"10","CNP0000460_P07N",0.0159179342058719
"11","CNP0000460_P07N",0.0624628197501487
"12","CNP0000460_P07N",0.0137434554973822
"2","CNP0000460_P07N",0.0043529106029106
"3","CNP0000460_P07N",0.0140845070422535
"4","CNP0000460_P07N",0.0105618561163536
"5","CNP0000460_P07N",0.00255603617774282
"6","CNP0000460_P07N",0.0147890387124837
"7","CNP0000460_P07N",0.0106306565148686
