"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",21397,55,5,0.117913726223302,"HRA003620_BC-11",0.400009347104734,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"1",16001,54,5,0.0554965314667833,"T4450398",0.339228798200112,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"2",15392,54,5,0.0793918918918919,"T4398343",0.45452182952183,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"3",12780,57,5,0.0643974960876369,"HRA003620_NC-27",0.349217527386541,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"4",11551,55,5,0.0612068219201801,"HRA003620_NC-30",0.309150722881136,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"5",10172,53,5,0.0643924498623673,"T4471438",0.397758552890287,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"6",9196,56,5,0.067638103523271,"HRA003620_NC-11",0.35852544584602,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"7",6961,57,5,0.0778623760953886,"HRA003620_NC-11",0.387875305272231,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"8",6087,53,5,0.0961064563824544,"T4295396",0.441432561195991,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"9",5900,57,5,0.0803389830508475,"T4398343",0.425084745762712,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"10",5654,55,5,0.0912628227803325,"T4471438",0.410859568447117,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"11",1681,51,5,0.105294467578822,"CNP0000460_P03N",0.342653182629387,"CNP0000460",FALSE,FALSE,FALSE,FALSE,FALSE
"12",1528,54,5,0.0870418848167539,"HRA003620_BC-30",0.422120418848168,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"13",446,16,5,0.757847533632287,"GSE326225_BC4",0.966367713004484,"GSE326225",TRUE,TRUE,FALSE,FALSE,TRUE
