"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.42900948703636,0.191,0.026,0,"0","RYR2"
0,3.41724672043692,0.112,0.01,0,"0","LINC00158"
0,3.28319180955461,0.224,0.023,0,"0","ETV1"
0,3.05021068677666,0.131,0.018,0,"0","AC022126.1"
0,2.84312040340984,0.202,0.026,0,"0","AFAP1L2"
0,2.6735566865263,0.222,0.036,0,"0","NHS"
0,2.64942042540296,0.113,0.018,0,"0","PHEX"
0,2.56138213903659,0.271,0.055,0,"0","PELO-AS1"
0,2.52050913258737,0.227,0.038,0,"0","VCAM1"
0,2.5154186705036,0.34,0.067,0,"0","GOLIM4"
0,2.47574155332713,0.107,0.018,0,"0","AC243829.4"
0,2.47170263770773,0.18,0.038,0,"0","LINC02937"
0,2.44123143696628,0.132,0.03,0,"0","PIP5K1B"
0,2.43820861121542,0.121,0.027,0,"0","AL138720.1"
0,2.43643889428818,0.117,0.027,0,"0","ENSG00000301254"
0,2.38788009098428,0.109,0.019,0,"0","TTC24"
0,2.32652869546575,0.217,0.043,0,"0","MYO7A"
0,2.28313612025574,0.398,0.11,0,"0","MYO1E"
0,2.2803222058837,0.18,0.049,0,"0","ADAMTS6"
0,2.22179046803837,0.487,0.121,0,"0","ATP8B4"
0,2.86267892292676,0.761,0.174,0,"1","GZMK"
0,2.71520290120324,0.219,0.049,0,"1","LINC00987"
0,2.58016487637954,0.166,0.033,0,"1","PZP"
0,2.57340378405365,0.145,0.031,0,"1","AGAP1"
0,2.36769951616998,0.254,0.089,0,"1","IFNG-AS1"
0,1.90867378267439,0.115,0.04,0,"1","ENSG00000301019"
0,1.90173310785437,0.201,0.065,0,"1","A2M"
0,1.88756225188512,0.312,0.113,0,"1","KLRG1"
0,1.83771058483332,0.288,0.127,0,"1","TNFSF9"
0,1.71276716918935,0.156,0.062,0,"1","ENSG00000274767"
0,1.62645378054778,0.262,0.107,0,"1","EPHA4"
0,1.57901788051312,0.216,0.081,0,"1","EOMES"
0,1.54085970215575,0.38,0.153,0,"1","DTHD1"
0,1.50727233146387,0.258,0.101,0,"1","C1orf21"
0,1.47208716611559,0.325,0.137,0,"1","CRTAM"
0,1.42949797882943,0.134,0.055,0,"1","CCL3L3"
0,1.41439065288033,0.193,0.077,0,"1","PLEK"
0,1.40420196054283,0.479,0.263,0,"1","CMC1"
0,1.36552035313251,0.302,0.155,0,"1","ENSG00000232855"
0,1.36510839147802,0.662,0.325,0,"1","AOAH"
0,6.1401707950322,0.338,0.007,0,"2","LINC02099"
0,5.34455670177884,0.345,0.01,0,"2","IL1R2"
0,5.17062299883715,0.128,0.003,0,"2","GNG8"
0,5.15725740329397,0.217,0.006,0,"2","CCR8"
0,5.00316467593015,0.186,0.007,0,"2","LINC00519"
0,4.95678416922452,0.117,0.004,0,"2","LINC00589"
0,4.68261487202062,0.165,0.007,0,"2","AC104850.2"
0,4.42010550951292,0.537,0.025,0,"2","FOXP3"
0,4.40196914625755,0.264,0.012,0,"2","FANK1"
0,4.28759146442622,0.14,0.007,0,"2","TNFRSF8"
0,4.24413393104798,0.449,0.032,0,"2","IL1R1"
0,4.20860054281766,0.137,0.009,0,"2","IL1R1-AS1"
0,4.03052148468128,0.61,0.073,0,"2","IL2RA"
0,3.94252056406515,0.649,0.106,0,"2","TNFRSF4"
0,3.94111325504394,0.119,0.01,0,"2","ENSG00000287780"
0,3.7701361497187,0.119,0.009,0,"2","EBI3"
0,3.73951059684246,0.547,0.048,0,"2","RTKN2"
0,3.63982578532624,0.132,0.01,0,"2","CLEC7A"
0,3.40322348428748,0.119,0.011,0,"2","STAC"
0,3.31613851302041,0.105,0.021,0,"2","CACNB2"
0,1.00760984618768,0.397,0.257,0,"3","CD8B"
0,0.974121350138988,0.489,0.317,0,"3","CD8A"
0,0.783726694155838,0.846,0.64,0,"3","CCL5"
0,0.72083490858035,0.769,0.602,0,"3","RPS12"
0,0.71062866837411,0.753,0.59,0,"3","RPS3"
0,0.700117342541968,0.775,0.611,0,"3","RPS19"
0,0.687235981720439,0.764,0.597,0,"3","RPL41"
0,0.687155730941177,0.747,0.587,0,"3","RPL30"
0,0.686884059553007,0.716,0.565,0,"3","RPL14"
0,0.68206536093596,0.762,0.595,0,"3","RPS14"
0,0.676283087780409,0.68,0.536,0,"3","RPS5"
0,0.671965856949772,0.739,0.576,0,"3","RPL23A"
0,0.671900440680479,0.775,0.608,0,"3","RPS18"
0,0.661802321060523,0.742,0.581,0,"3","RPL35A"
0,0.661612615548083,0.758,0.595,0,"3","RPLP2"
0,0.660428921822504,0.766,0.6,0,"3","RPS27A"
0,0.653746159355186,0.731,0.573,0,"3","RPS25"
0,0.652997838148428,0.748,0.584,0,"3","RPS23"
0,0.650443924634776,0.714,0.567,0,"3","RPS7"
0,0.650334390625876,0.777,0.61,0,"3","RPL10"
0,2.6774569278122,0.135,0.024,0,"4","FMN1"
0,2.44274387299738,0.382,0.085,0,"4","CCR7"
0,2.26299369987765,0.255,0.069,0,"4","CMTM8"
0,2.22760352317808,0.172,0.042,0,"4","SCML1"
0,2.20931956645682,0.247,0.075,0,"4","TAF4B"
0,2.15312923687437,0.112,0.03,0,"4","ENSG00000249806"
0,2.10722642577972,0.671,0.257,0,"4","ANK3"
0,2.08602541432686,0.107,0.022,0,"4","LINC00402"
0,2.07943800624371,0.257,0.08,0,"4","ABTB3"
0,2.04505128872385,0.112,0.036,0,"4","ENSG00000271774"
0,2.03040931849407,0.454,0.157,0,"4","FAAH2"
0,2.01448098881718,0.176,0.048,0,"4","PELI2"
0,1.96099268705639,0.125,0.035,0,"4","PRKN"
0,1.88627854042649,0.342,0.111,0,"4","LEF1"
0,1.79580863963521,0.223,0.068,0,"4","RASGRF2"
0,1.72637893349163,0.158,0.056,0,"4","PASK"
0,1.69815060996384,0.267,0.086,0,"4","NR3C2"
0,1.69487333486482,0.35,0.139,0,"4","SELL"
0,1.69251146138518,0.167,0.055,0,"4","TRABD2A"
0,1.68888376743596,0.347,0.108,0,"4","PLAC8"
0,2.23370861456014,0.167,0.049,0,"5","ENSG00000297373"
0,1.68469755912281,0.321,0.135,0,"5","EGR1"
0,1.49954631163065,0.506,0.246,0,"5","ATF3"
0,1.43384578446645,0.663,0.381,0,"5","GADD45B"
0,1.41430910666436,0.583,0.319,0,"5","HSPA6"
0,1.35923026470351,0.578,0.341,0,"5","ZFAND2A"
0,1.34983247710383,0.634,0.34,0,"5","FOSB"
0,1.30401854816714,0.561,0.286,0,"5","NR4A1"
0,1.2995912590238,0.434,0.216,0,"5","NEU1"
0,1.29633280768909,0.738,0.482,0,"5","FOS"
0,1.28217116391631,0.487,0.283,0,"5","IFNG"
0,1.25537927998567,0.457,0.289,0,"5","KLF2"
0,1.201563489255,0.782,0.496,0,"5","PPP1R15A"
0,1.19338484686284,0.645,0.421,0,"5","BTG2"
0,1.17065728403919,0.508,0.295,0,"5","DNAJB4"
0,1.15217591480169,0.809,0.536,0,"5","DUSP1"
0,1.14785748141313,0.908,0.67,0,"5","JUN"
0,1.12236067342713,0.362,0.2,0,"5","IER5L"
0,1.10403927179918,0.665,0.444,0,"5","IER2"
0,1.0917587984375,0.748,0.491,0,"5","ANXA1"
0,5.45951587743529,0.152,0.006,0,"6","SLC4A10"
0,3.4130980753639,0.139,0.014,0,"6","IL26"
0,3.36079563000551,0.118,0.019,0,"6","RNF144B"
0,3.22929177014056,0.209,0.028,0,"6","IL4I1"
0,2.8902568862596,0.37,0.061,0,"6","PTPN13"
0,2.84230383331391,0.13,0.02,0,"6","IL23R"
0,2.60602400322664,0.349,0.081,0,"6","CCL20"
0,2.49947961689496,0.309,0.06,0,"6","CD40LG"
0,2.30970310068586,0.113,0.022,0,"6","NEO1"
0,2.30959333210538,0.134,0.027,0,"6","HLF"
0,2.29875982678211,0.126,0.025,0,"6","ENSG00000284825"
0,2.24870966802658,0.709,0.26,0,"6","KLRB1"
0,2.2307805347911,0.262,0.062,0,"6","CTSH"
0,2.17583758299971,0.198,0.047,0,"6","ADAM12"
0,2.15979945527624,0.154,0.038,0,"6","ENSG00000303114"
0,2.12508262317982,0.201,0.055,0,"6","TNFSF13B"
0,2.11552561058818,0.115,0.026,0,"6","LRP12"
0,2.08538361473913,0.395,0.153,0,"6","MAP3K4"
0,1.94371632344262,0.215,0.063,0,"6","DPP4"
0,1.86766377666371,0.178,0.051,0,"6","LINC00892"
0,6.11244653956373,0.2,0.004,0,"7","ADGRG3"
0,5.52406814775067,0.144,0.003,0,"7","CCNJL"
0,5.12629936195066,0.142,0.005,0,"7","B3GNT7"
0,4.97140342633163,0.248,0.011,0,"7","LDB2"
0,4.94999050616481,0.257,0.011,0,"7","LINC00996"
0,4.92473125220556,0.104,0.005,0,"7","RASSF8"
0,4.75116643754984,0.322,0.011,0,"7","SH2D1B"
0,4.64945890478392,0.16,0.009,0,"7","GAB1"
0,4.64263060746765,0.157,0.008,0,"7","PPP1R9A"
0,4.58103243323746,0.553,0.034,0,"7","FCER1G"
0,4.30859514935804,0.171,0.012,0,"7","PLXNA4"
0,4.27073270202897,0.751,0.059,0,"7","TYROBP"
0,4.26671368761286,0.189,0.01,0,"7","SYK"
0,4.16551564669375,0.608,0.036,0,"7","TRDC"
0,4.07139746221111,0.115,0.009,0,"7","BCO2"
0,3.96348632733924,0.259,0.021,0,"7","KRT81"
0,3.85471435227252,0.429,0.039,0,"7","NCAM1"
0,3.7427274780065,0.327,0.024,0,"7","KLRF1"
0,3.63874339564741,0.114,0.01,0,"7","FES"
0,3.50888483741264,0.17,0.018,0,"7","IGFBP2"
0,7.6218940293599,0.122,0.001,0,"8","IGFL2"
0,4.56590074155271,0.261,0.016,0,"8","LHFPL6"
0,4.55700191740039,0.119,0.006,0,"8","HSD11B1"
0,4.5300004661705,0.118,0.007,0,"8","AL138828.1"
0,4.50206797774047,0.203,0.011,0,"8","IL21"
0,4.11237545111878,0.285,0.023,0,"8","GNG4"
0,3.75707871369465,0.17,0.015,0,"8","AL133405.2"
0,3.67494773008986,0.114,0.012,0,"8","HSPA12A"
0,3.66629878161888,0.14,0.012,0,"8","IL21-AS1"
0,3.62351182192727,0.135,0.012,0,"8","ANKRD55"
0,3.55436892948094,0.148,0.015,0,"8","NTRK2"
0,3.54859095509249,0.299,0.033,0,"8","CD200"
0,3.51411962071034,0.307,0.054,0,"8","NMB"
0,3.49174668185713,0.698,0.144,0,"8","CXCL13"
0,3.47215080574162,0.634,0.109,0,"8","PDE7B"
0,3.44951035054117,0.307,0.038,0,"8","CPM"
0,3.43020545176045,0.456,0.065,0,"8","PTPN13"
0,3.36695512544374,0.122,0.015,0,"8","AL360178.1"
0,3.29613752303816,0.182,0.045,0,"8","G0S2"
0,3.29475716849846,0.15,0.017,0,"8","PDE7B-AS1"
0,2.4364120008904,0.388,0.096,0,"9","RTKN2"
0,2.16190204472027,0.144,0.038,0,"9","FANK1"
0,2.09884031192646,0.289,0.078,0,"9","FOXP3"
0,1.90789782690905,0.311,0.123,0,"9","LEF1"
0,1.74540544751904,0.57,0.207,0,"9","IKZF2"
0,1.67717587562161,0.347,0.149,0,"9","SELL"
0,1.56768422053763,0.463,0.207,0,"9","PLCL1"
0,1.43617083327932,0.491,0.275,0,"9","STAM"
0,1.39628311258882,0.673,0.387,0,"9","LTB"
0,1.35762512747358,0.327,0.129,0,"9","IL2RA"
0,1.21570257072943,0.471,0.253,0,"9","TBC1D4"
1.82400004455885e-297,2.44353486122737,0.112,0.027,1.64180068010787e-292,"9","LINC01727"
2.5480069059626e-274,1.64958337952323,0.231,0.093,2.293486496126e-269,"9","AL136456.1"
1.26529580968128e-255,2.39754007110242,0.152,0.051,1.13890541125222e-250,"9","TAFA2"
1.17244428715305e-247,1.34065729119165,0.427,0.267,1.05532882730934e-242,"9","SAMHD1"
4.36829593772797e-241,1.24249029721679,0.404,0.237,3.93194685650832e-236,"9","GPHN"
2.6668152448798e-238,1.0740698888894,0.342,0.176,2.40042707006876e-233,"9","FAAH2"
1.04597952564288e-237,1.47069730842596,0.238,0.105,9.41496630826414e-233,"9","ICA1"
4.97203952895978e-237,0.692095039264812,0.748,0.616,4.47538250041199e-232,"9","ARID5B"
6.44290195865187e-237,1.13358976711878,0.424,0.252,5.79932048200214e-232,"9","LINC02694"
0,7.2166474249932,0.571,0.007,0,"10","FGFBP2"
0,5.36736244105018,0.222,0.009,0,"10","CX3CR1"
0,4.87372568658196,0.188,0.007,0,"10","S1PR5"
0,4.87110733009649,0.119,0.01,0,"10","MYOM2"
0,4.85184711987871,0.45,0.026,0,"10","FCGR3A"
0,4.52410552130568,0.115,0.02,0,"10","PTGDS"
0,4.30666850622419,0.161,0.015,0,"10","LINGO2"
0,4.21721053296438,0.153,0.013,0,"10","BNC2"
0,4.20215947660978,0.371,0.025,0,"10","KLRF1"
0,4.01038762396982,0.1,0.007,0,"10","SLCO4C1"
0,3.98397416207712,0.218,0.019,0,"10","SGCD"
0,3.86338609394017,0.204,0.018,0,"10","PRSS23"
0,3.7844303957662,0.118,0.009,0,"10","ITGAM"
0,3.78356684484823,0.133,0.012,0,"10","LILRB1"
0,3.64921376829843,0.106,0.009,0,"10","ENSG00000298352"
0,3.50330664606442,0.308,0.037,0,"10","RAP1GAP2"
0,3.42241426337736,0.172,0.02,0,"10","OSBPL5"
0,3.33052666438586,0.141,0.015,0,"10","FGR"
0,3.11342980380011,0.199,0.028,0,"10","CTBP2"
0,2.98921112754336,0.586,0.099,0,"10","C1orf21"
0,6.05629711608222,0.42,0.024,0,"11","MT1G"
0,5.04709056661603,0.844,0.126,0,"11","MT1E"
0,4.83710981123308,0.921,0.244,0,"11","MT1X"
0,4.5537018413597,0.745,0.109,0,"11","MT1F"
0,4.41634078674587,0.965,0.445,0,"11","MT2A"
2.02748006096421e-311,2.78796532093521,0.28,0.06,1.8249550776745e-306,"11","SLC30A1"
1.81762932153005e-201,3.73729562385971,0.131,0.021,1.63606632860241e-196,"11","ENSG00000291105"
7.9886533055857e-149,1.01526173356008,0.98,0.926,7.19066672689074e-144,"11","FTH1"
6.93680967976783e-140,0.966224403735065,0.816,0.64,6.24389176085582e-135,"11","CREM"
5.53550754025843e-137,1.07403902980527,0.804,0.623,4.98256569206202e-132,"11","CXCR4"
9.80442764570362e-101,0.451953774110508,0.993,0.958,8.82506336817428e-96,"11","PTMA"
1.2916396883537e-96,0.524824060743994,0.935,0.864,1.16261779988405e-91,"11","SRGN"
3.83460929174636e-86,0.884211152005187,0.667,0.497,3.45157016959381e-81,"11","ATP1B3"
4.64137402844547e-86,0.687858595054061,0.844,0.726,4.17774717674405e-81,"11","LINC-PINT"
9.58272535822032e-86,0.810504398928417,0.663,0.477,8.6255069221877e-81,"11","LINC00513"
4.30618207070358e-83,0.929475873522799,0.639,0.467,3.876037543661e-78,"11","ZFP36"
1.62864270700899e-79,0.813290449218023,0.616,0.435,1.46595758700586e-74,"11","YPEL5"
8.79211333606625e-78,0.581929667413089,0.942,0.899,7.91386913492659e-73,"11","BTG1"
1.38519802882014e-75,0.858516553483804,0.637,0.486,1.24683059772129e-70,"11","RPL31"
7.54822097020929e-75,0.572749300802455,0.855,0.773,6.79422917749508e-70,"11","OAZ1"
8.28965984822058e-230,1.38624433491221,0.798,0.498,7.46160572598183e-225,"12","THEMIS"
5.94962057912708e-179,1.61808522586219,0.537,0.252,5.35531297947808e-174,"12","ITGA1"
2.0830696225172e-178,0.921209385000077,0.944,0.875,1.87499179792396e-173,"12","MBNL1"
8.51061768913414e-176,1.4641640426901,0.622,0.334,7.66049208816653e-171,"12","MGAT5"
2.2923367649818e-169,1.14073493596877,0.845,0.648,2.06335524552776e-164,"12","PARP8"
9.83588209745856e-156,1.31120153760893,0.582,0.292,8.85337583474342e-151,"12","ANK3"
2.32308719191932e-147,2.12382869556506,0.259,0.08,2.0910340123185e-142,"12","RASGRF2"
1.53361376220933e-145,1.78077322559447,0.38,0.153,1.38042108350224e-140,"12","PLCB1"
9.09401253946371e-138,0.984620083023493,0.79,0.554,8.18561162689668e-133,"12","CAMK4"
1.07661748977987e-133,1.79439791326904,0.289,0.101,9.69074168725759e-129,"12","NR3C2"
2.79330972335019e-130,1.44601603153935,0.49,0.243,2.51428601508474e-125,"12","AUTS2"
2.54793661651902e-126,1.38557775638783,0.545,0.306,2.29342322789493e-121,"12","GRAP2"
