"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",11232,341,22,641,28,503,63,160,201,13,16,22,176,15
"1",117,8446,1,542,68,101,28,97,2,39,608,35,54,11
"2",709,4988,0,1709,47,1586,20,188,3,10,475,86,103,0
"3",598,972,5,1182,542,5810,267,180,13,36,51,90,79,0
"4",663,468,0,6922,190,83,199,63,3,211,25,42,208,29
"5",27,5,6388,17,66,10,45,3,49,2226,1,1,0,0
"6",3,4,6233,5,61,3,19,3,10,2293,1,0,0,0
"7",8,62,7,833,5935,113,245,17,19,317,2,35,415,0
"8",11,172,18,326,3325,1581,1968,31,85,65,71,30,277,0
"9",7207,120,1,221,3,147,15,100,32,4,15,30,5,0
"10",65,39,52,164,667,170,5567,9,199,310,3,12,190,0
"11",98,4,3,10,0,9,8,5909,0,0,130,2,0,1
"12",2,3,0,4,0,2,1,190,0,1,4180,1,1,1
"13",86,63,51,4,463,8,172,0,3029,51,0,1,0,0
"14",271,89,27,17,86,21,535,3,2435,10,0,0,6,0
"15",2,0,2584,1,0,0,1,0,1,309,0,1,0,0
"16",101,114,0,126,9,8,32,3,5,2,60,1027,11,1
"17",190,95,0,53,57,15,6,4,1,2,14,3,3,388
"18",7,16,0,3,4,2,5,1,0,1,2,263,0,0
